time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation]
110.30915168819176 52 12.227732934067662 19.814988465543916 25.0 10 10 10 5.4 0.27 0.68 0.071 0.82 9.0 4.8 5.1 5.0 2.2 5.00 0.981 1.67 1.00 1.29 125 9.75 631 0.159 25.1 57.4 4.68 107 0.260 10.3 507 63.3 1.52e+04 2.51 123 298 18.5 2.55e+03 0.591 50.5
108.00572313950613 38 10.333850178852831 23.10305853832785 19.0 10 10 10 3.9 0.22 0.42 0.060 0.64 9.0 4.7 5.1 5.0 2.3 5.00 0.974 1.86 0.500 1.37 130 28.3 1.79e+03 4.84 42.3 74.5 6.72 202 1.39 14.2 1.08e+03 179 6.84e+04 25.1 262 298 24.2 3.17e+03 1.58 56.3
106.129581087952 42 7.013960529876109 22.40160835766511 19.0 9.0 9.0 9.0 72 2.0 1.3e+02 0.069 11 9.0 4.9 5.8 4.5 2.4 4.00 0.976 1.39 1.00 1.18 127 22.7 1.29e+03 3.48 36.0 59.2 5.82 135 1.84 11.6 955 148 7.70e+04 27.1 278 298 25.3 4.07e+03 2.04 63.8
120.32796976474002 66 9.101428590671148 18.04755691159683 31.0 9.0 9.0 9.0 6.7 0.31 0.86 0.089 0.93 10 5.1 4.0 5.0 2.0 7.00 0.985 1.86 1.00 1.36 128 11.3 663 0.0497 25.7 54.1 4.01 82.8 0.0370 9.10 745 70.2 1.80e+04 0.402 134 298 15.2 1.97e+03 0.0739 44.4
112.3980562327937 51 9.814522600332287 20.58527869522343 24.0 9.0 9.0 9.0 15 0.46 4.2 0.078 2.1 11 4.9 6.9 4.0 2.6 5.00 0.980 1.46 1.00 1.21 129 14.9 935 0.690 30.6 59.3 4.77 117 0.311 10.8 761 104 4.24e+04 4.63 206 298 21.0 3.47e+03 0.600 58.9
104.00163797716345 42 10.928699986116472 21.800043401101984 21.0 10 10 10 6.4 0.30 1.0 0.075 1.0 10 4.4 5.3 5.0 2.3 5.00 0.976 1.58 0.500 1.26 129 20.4 1.14e+03 1.08 33.7 61.8 6.06 161 0.367 12.7 858 130 6.62e+04 4.52 257 298 25.9 4.40e+03 0.915 66.3
106.01534671668904 41 9.082873516140038 20.594310543614338 18.0 9.0 9.0 9.0 3.3 0.22 0.30 0.074 0.55 9.0 4.6 3.4 5.0 1.9 6.00 0.976 1.82 1.00 1.35 125 21.3 1.20e+03 1.02 34.7 63.9 6.39 145 1.68 12.1 873 130 4.89e+04 27.4 221 298 25.8 4.00e+03 2.36 63.2
110.23707826954137 37 10.259404641842725 24.303209062993222 18.0 9.0 9.0 9.0 53 1.7 78 0.077 8.9 9.0 4.4 3.5 4.0 1.9 5.00 0.973 1.69 1.00 1.30 133 30.7 1.46e+03 12.3 38.3 62.1 6.90 194 2.75 13.9 1.14e+03 186 8.79e+04 69.9 297 298 27.0 4.19e+03 4.00 64.7
106.06686709236159 47 12.154982820070051 19.748181964177718 24.0 9.0 9.0 9.0 4.4 0.25 0.50 0.071 0.71 9.0 5.1 5.3 6.0 2.3 6.00 0.979 1.63 0.00 1.28 136 18.1 1.21e+03 0.401 34.7 62.8 5.56 192 0.316 13.8 851 116 5.98e+04 5.04 245 298 22.3 3.97e+03 0.617 63.0
104.68958034798516 32 11.747908802421216 22.70200213331146 18.0 9.0 9.0 9.0 2.8 0.20 0.24 0.090 0.49 11 4.4 5.5 4.5 2.4 4.00 0.969 1.90 0.00 1.38 126 27.8 1.84e+03 3.32 42.8 64.9 7.21 244 0.828 15.6 891 178 9.99e+04 8.59 316 298 30.3 5.10e+03 1.75 71.4
112.1854039253933 60 10.075028957581816 20.908491664359207 28.0 10 10 10 1.1e+02 2.0 2.0e+02 0.076 14 13 5.7 11 6.0 3.3 8.00 0.983 1.85 1.00 1.36 138 18.2 1.22e+03 0.483 34.9 38.9 4.49 87.1 0.110 9.33 1.09e+03 124 6.32e+04 2.30 251 298 18.9 2.71e+03 0.345 52.1
110.06420174588274 50 6.826062763075304 20.243739224239146 24.0 9.0 9.0 9.0 9.1 0.37 1.7 0.11 1.3 10 5.4 5.2 6.0 2.3 6.00 0.980 1.69 1.00 1.30 131 19.3 1.18e+03 0.754 34.4 85.2 5.22 178 0.442 13.3 966 127 5.93e+04 10.5 243 298 20.9 3.44e+03 1.23 58.6
110.00793285873496 44 11.515438211396864 21.832843866631094 23.0 9.0 9.0 9.0 10 0.38 2.4 0.066 1.5 9.0 4.5 5.7 4.0 2.4 5.00 0.977 1.84 0.00 1.36 113 20.5 1.12e+03 2.85 33.4 62.1 5.78 142 1.17 11.9 904 138 6.27e+04 12.8 250 298 25.1 4.08e+03 1.58 63.9
106.05769557900172 45 11.389601240647666 23.408646288400995 22.0 10 10 10 4.1 0.21 0.39 0.071 0.62 9.0 4.6 5.6 5.0 2.4 6.00 0.978 1.79 1.00 1.34 126 23.8 1.15e+03 5.21 33.9 55.9 5.08 113 0.832 10.6 1.07e+03 163 9.76e+04 18.3 312 298 23.7 3.75e+03 1.85 61.2
110.43295161155734 32 13.207122094173728 24.50519361952191 17.0 9.0 9.0 9.0 2.6 0.21 0.21 0.085 0.46 9.0 4.4 5.7 4.0 2.4 4.00 0.969 1.71 0.00 1.31 138 35.0 1.86e+03 8.44 43.2 55.9 7.21 158 1.98 12.6 1.12e+03 232 1.49e+05 69.3 386 298 32.6 5.08e+03 5.17 71.3
122.00456740207176 55 7.678807476645882 20.634781110355238 31.0 9.0 9.0 9.0 4.5 0.24 0.42 0.081 0.65 14 7.3 15 7.0 3.8 9.00 0.982 2.68 0.00 1.64 137 19.0 1.16e+03 0.494 34.1 36.6 4.42 72.0 0.389 8.49 1.05e+03 123 6.44e+04 5.38 254 298 20.1 3.11e+03 0.746 55.8
104.10227664496769 34 10.605252298073221 23.21007385457969 17.0 10 10 10 15 0.59 6.4 0.067 2.5 7.0 3.5 3.4 3.0 1.8 4.00 0.971 1.54 0.500 1.24 137 28.5 1.61e+03 6.50 40.1 59.6 7.23 219 1.81 14.8 970 193 1.06e+05 48.3 326 298 30.7 5.05e+03 2.67 71.1
112.03989401553139 56 11.35081383986991 21.430702800532305 28.0 10 10 10 7.9 0.31 1.2 0.065 1.1 9.0 5.0 4.9 5.0 2.2 5.00 0.982 1.55 0.500 1.24 139 21.9 1.53e+03 1.86 39.1 48.8 4.52 89.2 0.855 9.44 1.23e+03 143 8.59e+04 17.8 293 298 19.6 3.05e+03 1.33 55.2
