#####################################################################
# Alchemist log file - simulation started at: 2025-02-19T18:53+0000 #
#####################################################################
#
# seed = 362.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
16.0 11 16.749412464929005 15.922408872511797 4.0 4.0 4.0 1.2 0.22 0.13 0.088 0.35 7.0 3.6 3.7 4.0 1.9 3.00 0.909 1.89 0.00 1.38 18.4 2.21 29.5 0.180 5.43 3.38e+04 5.70e+03 1.19e+08 21.3 1.09e+04 18.8 5.46 53.6 1.27 7.32
17.0 11 16.749412464929005 15.922408872511797 4.0 4.0 4.0 1.2 0.22 0.13 0.088 0.35 7.0 3.6 3.7 4.0 1.9 3.00 0.909 1.89 0.00 1.38 18.4 2.21 29.5 0.180 5.43 6.25e+05 5.73e+04 3.54e+10 46.9 1.88e+05 18.8 5.46 53.6 1.27 7.32
18.0 11 16.749412464929005 15.922408872511797 4.0 4.0 4.0 1.2 0.22 0.13 0.088 0.35 7.0 3.6 3.7 4.0 1.9 3.00 0.909 1.89 0.00 1.38 18.4 2.21 29.5 0.180 5.43 6.25e+05 5.73e+04 3.54e+10 46.9 1.88e+05 18.8 5.46 53.6 1.27 7.32
19.0 11 16.749412464929005 15.922408872511797 4.0 4.0 4.0 1.2 0.22 0.13 0.088 0.35 7.0 3.6 3.7 4.0 1.9 3.00 0.909 1.89 0.00 1.38 18.4 2.21 29.5 0.180 5.43 6.25e+05 5.73e+04 3.54e+10 46.9 1.88e+05 18.8 5.46 53.6 1.27 7.32
20.0 11 16.749412464929005 15.922408872511797 4.0 4.0 4.0 1.2 0.22 0.13 0.088 0.35 7.0 3.6 3.7 4.0 1.9 3.00 0.909 1.89 0.00 1.38 18.4 2.21 29.5 0.180 5.43 6.25e+05 5.73e+04 3.54e+10 46.9 1.88e+05 18.8 5.46 53.6 1.27 7.32
21.0 14 15.667013695976296 17.69233417264302 5.0 5.0 5.0 1.6 0.23 0.16 0.11 0.40 7.0 3.4 4.4 3.5 2.1 3.00 0.929 1.92 0.00 1.38 141 14.6 1.41e+03 0.619 37.6 6.25e+05 4.50e+04 2.79e+10 38.0 1.67e+05 141 17.1 1.36e+03 4.31 36.9
22.0 14 15.667013695976296 17.69233417264302 5.0 5.0 5.0 1.6 0.23 0.16 0.11 0.40 7.0 3.4 4.4 3.5 2.1 3.00 0.929 1.92 0.00 1.38 141 14.6 1.41e+03 0.619 37.6 6.25e+05 4.50e+04 2.79e+10 38.0 1.67e+05 180 28.7 3.26e+03 4.31 57.1
23.0 14 15.667013695976296 17.69233417264302 5.0 5.0 5.0 1.6 0.23 0.16 0.11 0.40 7.0 3.4 4.4 3.5 2.1 3.00 0.929 1.92 0.00 1.38 141 14.6 1.41e+03 0.619 37.6 6.25e+05 4.50e+04 2.79e+10 38.0 1.67e+05 180 40.2 4.87e+03 4.31 69.8
24.0 14 15.667013695976296 17.69233417264302 5.0 5.0 5.0 1.6 0.23 0.16 0.11 0.40 7.0 3.4 4.4 3.5 2.1 3.00 0.929 1.92 0.00 1.38 141 14.6 1.41e+03 0.619 37.6 6.25e+05 4.50e+04 2.79e+10 38.0 1.67e+05 180 46.3 5.02e+03 4.31 70.9
25.0 14 15.667013695976296 17.69233417264302 5.0 5.0 5.0 1.6 0.23 0.16 0.11 0.40 7.0 3.4 4.4 3.5 2.1 3.00 0.929 1.92 0.00 1.38 141 14.6 1.41e+03 0.619 37.6 6.25e+05 4.50e+04 2.79e+10 38.0 1.67e+05 180 51.0 4.76e+03 15.2 69.0
26.0 14 15.667013695976296 17.69233417264302 5.0 5.0 5.0 1.6 0.23 0.16 0.11 0.40 7.0 3.4 4.4 3.5 2.1 3.00 0.929 1.92 0.00 1.38 141 14.6 1.41e+03 0.619 37.6 3.24e+12 2.35e+11 7.49e+23 77.5 8.65e+11 180 51.0 4.76e+03 15.2 69.0
27.0 14 15.667013695976296 17.69233417264302 5.0 5.0 5.0 1.6 0.23 0.16 0.11 0.40 7.0 3.4 4.4 3.5 2.1 3.00 0.929 1.92 0.00 1.38 141 14.6 1.41e+03 0.619 37.6 3.24e+12 2.35e+11 7.49e+23 77.5 8.65e+11 180 51.0 4.76e+03 15.2 69.0
28.0 14 15.667013695976296 17.69233417264302 5.0 5.0 5.0 1.6 0.23 0.16 0.11 0.40 7.0 3.4 4.4 3.5 2.1 3.00 0.929 1.92 0.00 1.38 141 14.6 1.41e+03 0.619 37.6 3.24e+12 2.35e+11 7.49e+23 77.5 8.65e+11 180 51.0 4.76e+03 15.2 69.0
29.0 14 15.667013695976296 17.69233417264302 5.0 5.0 5.0 1.6 0.23 0.16 0.11 0.40 7.0 3.4 4.4 3.5 2.1 3.00 0.929 1.92 0.00 1.38 141 14.6 1.41e+03 0.619 37.6 3.24e+12 2.35e+11 7.49e+23 77.5 8.65e+11 180 51.0 4.76e+03 15.2 69.0
