#####################################################################
# Alchemist log file - simulation started at: 2025-03-04T17:02+0000 #
#####################################################################
#
# seed = 203.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.534568414456241 2 7.529482559385331 10.382810103861882 1.0 1.0 1.0 1.0 0.53 0.53 0.0 0.53 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.534568414456241 2 7.529482559385331 10.382810103861882 1.0 1.0 1.0 1.0 0.53 0.53 0.0 0.53 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 1.61e-07 0.102 0.000401 70.4 39.0 1.98e+03 39.0 44.4 0.102 0.0769 0.00131 0.0769 0.0361
2.534568414456241 2 7.529482559385331 10.382810103861882 1.0 1.0 1.0 1.0 0.53 0.53 0.0 0.53 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 1.61e-07 0.102 0.000401 63.4 35.5 1.56e+03 35.5 39.5 0.102 0.0769 0.00131 0.0769 0.0361
3.534568414456241 5 3.4863543331242086 10.722021044349862 3.0 2.0 2.0 2.0 1.3 0.42 0.36 0.14 0.60 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.114 0.104 3.15e-05 0.102 0.00562 63.4 14.2 767 0.00 27.7 0.114 0.0937 0.000592 0.101 0.0243
4.534568414456241 5 3.4863543331242086 10.722021044349862 3.0 2.0 2.0 2.0 1.3 0.42 0.36 0.14 0.60 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.114 0.104 3.15e-05 0.102 0.00562 15.4 4.99 51.0 0.00 7.14 0.158 0.110 0.000858 0.101 0.0293
5.534568414456241 5 3.4863543331242086 10.722021044349862 3.0 2.0 2.0 2.0 1.3 0.42 0.36 0.14 0.60 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.114 0.104 3.15e-05 0.102 0.00562 43.0 28.5 242 37.9 15.6 0.158 0.110 0.000858 0.101 0.0293
6.534568414456241 5 3.4863543331242086 10.722021044349862 3.0 2.0 2.0 2.0 1.3 0.42 0.36 0.14 0.60 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.114 0.104 3.15e-05 0.102 0.00562 43.0 28.5 242 37.9 15.6 0.158 0.110 0.000858 0.101 0.0293
7.534568414456241 8 1.794439231234769 13.313371708689171 5.0 3.0 3.0 3.0 2.1 0.41 0.57 0.13 0.76 5.0 2.8 1.6 2.5 1.3 3.00 0.875 1.84 0.00 1.36 0.662 0.203 0.0412 0.104 0.203 43.0 17.8 356 11.7 18.9 0.662 0.208 0.0407 0.110 0.202
8.534568414456242 8 1.794439231234769 13.313371708689171 5.0 3.0 3.0 3.0 2.1 0.41 0.57 0.13 0.76 5.0 2.8 1.6 2.5 1.3 3.00 0.875 1.84 0.00 1.36 0.662 0.203 0.0412 0.104 0.203 43.0 17.8 356 11.7 18.9 0.662 0.264 0.0538 0.132 0.232
9.534568414456242 8 1.794439231234769 13.313371708689171 5.0 3.0 3.0 3.0 2.1 0.41 0.57 0.13 0.76 5.0 2.8 1.6 2.5 1.3 3.00 0.875 1.84 0.00 1.36 0.662 0.203 0.0412 0.104 0.203 43.0 19.6 358 19.0 18.9 0.662 0.306 0.0481 0.266 0.219
10.534568414456242 8 1.794439231234769 13.313371708689171 5.0 3.0 3.0 3.0 2.1 0.41 0.57 0.13 0.76 5.0 2.8 1.6 2.5 1.3 3.00 0.875 1.84 0.00 1.36 0.662 0.203 0.0412 0.104 0.203 698 158 6.20e+04 31.6 249 0.662 0.306 0.0481 0.266 0.219
11.534568414456242 8 1.794439231234769 13.313371708689171 5.0 3.0 3.0 3.0 2.1 0.41 0.57 0.13 0.76 5.0 2.8 1.6 2.5 1.3 3.00 0.875 1.84 0.00 1.36 0.662 0.203 0.0412 0.104 0.203 698 158 6.20e+04 31.6 249 0.662 0.306 0.0481 0.266 0.219
12.534568414456242 8 1.794439231234769 13.313371708689171 5.0 3.0 3.0 3.0 2.1 0.41 0.57 0.13 0.76 5.0 2.8 1.6 2.5 1.3 3.00 0.875 1.84 0.00 1.36 0.662 0.203 0.0412 0.104 0.203 698 158 6.20e+04 31.6 249 0.662 0.306 0.0481 0.266 0.219
13.534568414456242 11 1.8703913024259113 14.966780124947224 7.0 4.0 4.0 4.0 2.9 0.41 0.78 0.089 0.88 6.0 3.3 3.2 4.0 1.8 3.00 0.909 1.89 0.00 1.38 5.50 1.10 4.15 0.112 2.04 698 115 4.88e+04 11.3 221 5.50 1.18 4.01 0.341 2.00
14.534568414456242 11 1.8703913024259113 14.966780124947224 7.0 4.0 4.0 4.0 2.9 0.41 0.78 0.089 0.88 6.0 3.3 3.2 4.0 1.8 3.00 0.909 1.89 0.00 1.38 5.50 1.10 4.15 0.112 2.04 698 115 4.88e+04 11.3 221 8.20 1.86 8.40 0.341 2.90
15.534568414456242 11 1.8703913024259113 14.966780124947224 7.0 4.0 4.0 4.0 2.9 0.41 0.78 0.089 0.88 6.0 3.3 3.2 4.0 1.8 3.00 0.909 1.89 0.00 1.38 5.50 1.10 4.15 0.112 2.04 698 115 4.88e+04 11.3 221 8.20 2.21 8.73 0.341 2.96
16.534568414456242 11 1.8703913024259113 14.966780124947224 7.0 4.0 4.0 4.0 2.9 0.41 0.78 0.089 0.88 6.0 3.3 3.2 4.0 1.8 3.00 0.909 1.89 0.00 1.38 5.50 1.10 4.15 0.112 2.04 698 119 4.81e+04 12.8 219 8.20 2.47 8.03 1.15 2.83
17.534568414456242 11 1.8703913024259113 14.966780124947224 7.0 4.0 4.0 4.0 2.9 0.41 0.78 0.089 0.88 6.0 3.3 3.2 4.0 1.8 3.00 0.909 1.89 0.00 1.38 5.50 1.10 4.15 0.112 2.04 3.74e+05 6.49e+04 2.03e+10 103 1.43e+05 8.20 2.47 8.03 1.15 2.83
18.534568414456242 11 1.8703913024259113 14.966780124947224 7.0 4.0 4.0 4.0 2.9 0.41 0.78 0.089 0.88 6.0 3.3 3.2 4.0 1.8 3.00 0.909 1.89 0.00 1.38 5.50 1.10 4.15 0.112 2.04 3.74e+05 6.49e+04 2.03e+10 103 1.43e+05 8.20 2.47 8.03 1.15 2.83
19.534568414456242 11 1.8703913024259113 14.966780124947224 7.0 4.0 4.0 4.0 2.9 0.41 0.78 0.089 0.88 6.0 3.3 3.2 4.0 1.8 3.00 0.909 1.89 0.00 1.38 5.50 1.10 4.15 0.112 2.04 3.74e+05 6.49e+04 2.03e+10 103 1.43e+05 8.20 2.47 8.03 1.15 2.83
20.534568414456242 11 1.8703913024259113 14.966780124947224 7.0 4.0 4.0 4.0 2.9 0.41 0.78 0.089 0.88 6.0 3.3 3.2 4.0 1.8 3.00 0.909 1.89 0.00 1.38 5.50 1.10 4.15 0.112 2.04 3.74e+05 6.49e+04 2.03e+10 103 1.43e+05 8.20 2.47 8.03 1.15 2.83
21.534568414456242 14 3.339641848134955 16.226073364626373 9.0 5.0 5.0 5.0 3.7 0.41 0.99 0.092 1.0 6.0 3.1 2.7 3.5 1.7 3.00 0.929 1.92 0.00 1.38 64.9 6.46 296 0.227 17.2 3.74e+05 5.10e+04 1.64e+10 49.9 1.28e+05 64.9 7.53 287 1.72 16.9
22.534568414456242 14 3.339641848134955 16.226073364626373 9.0 5.0 5.0 5.0 3.7 0.41 0.99 0.092 1.0 6.0 3.1 2.7 3.5 1.7 3.00 0.929 1.92 0.00 1.38 64.9 6.46 296 0.227 17.2 3.74e+05 5.10e+04 1.64e+10 49.9 1.28e+05 78.2 12.7 642 1.72 25.3
23.534568414456242 14 3.339641848134955 16.226073364626373 9.0 5.0 5.0 5.0 3.7 0.41 0.99 0.092 1.0 6.0 3.1 2.7 3.5 1.7 3.00 0.929 1.92 0.00 1.38 64.9 6.46 296 0.227 17.2 3.74e+05 5.10e+04 1.64e+10 49.9 1.28e+05 78.2 16.8 833 1.72 28.9
24.534568414456242 14 3.339641848134955 16.226073364626373 9.0 5.0 5.0 5.0 3.7 0.41 0.99 0.092 1.0 6.0 3.1 2.7 3.5 1.7 3.00 0.929 1.92 0.00 1.38 64.9 6.46 296 0.227 17.2 3.74e+05 5.10e+04 1.64e+10 49.9 1.28e+05 78.2 18.8 837 1.72 28.9
25.534568414456242 14 3.339641848134955 16.226073364626373 9.0 5.0 5.0 5.0 3.7 0.41 0.99 0.092 1.0 6.0 3.1 2.7 3.5 1.7 3.00 0.929 1.92 0.00 1.38 64.9 6.46 296 0.227 17.2 3.74e+05 5.10e+04 1.64e+10 67.7 1.28e+05 78.2 20.4 798 6.64 28.3
26.534568414456242 14 3.339641848134955 16.226073364626373 9.0 5.0 5.0 5.0 3.7 0.41 0.99 0.092 1.0 6.0 3.1 2.7 3.5 1.7 3.00 0.929 1.92 0.00 1.38 64.9 6.46 296 0.227 17.2 5.37e+08 4.16e+07 2.05e+16 348 1.43e+08 78.2 20.4 798 6.64 28.3
27.534568414456242 14 3.339641848134955 16.226073364626373 9.0 5.0 5.0 5.0 3.7 0.41 0.99 0.092 1.0 6.0 3.1 2.7 3.5 1.7 3.00 0.929 1.92 0.00 1.38 64.9 6.46 296 0.227 17.2 5.37e+08 4.16e+07 2.05e+16 348 1.43e+08 78.2 20.4 798 6.64 28.3
28.534568414456242 14 3.339641848134955 16.226073364626373 9.0 5.0 5.0 5.0 3.7 0.41 0.99 0.092 1.0 6.0 3.1 2.7 3.5 1.7 3.00 0.929 1.92 0.00 1.38 64.9 6.46 296 0.227 17.2 5.37e+08 4.16e+07 2.05e+16 348 1.43e+08 78.2 20.4 798 6.64 28.3
29.534568414456242 14 3.339641848134955 16.226073364626373 9.0 5.0 5.0 5.0 3.7 0.41 0.99 0.092 1.0 6.0 3.1 2.7 3.5 1.7 3.00 0.929 1.92 0.00 1.38 64.9 6.46 296 0.227 17.2 5.37e+08 4.16e+07 2.05e+16 348 1.43e+08 78.2 20.4 798 6.64 28.3
30.534568414456242 14 3.339641848134955 16.226073364626373 9.0 5.0 5.0 5.0 3.7 0.41 0.99 0.092 1.0 6.0 3.1 2.7 3.5 1.7 3.00 0.929 1.92 0.00 1.38 64.9 6.46 296 0.227 17.2 5.37e+08 4.16e+07 2.05e+16 348 1.43e+08 78.2 20.4 798 6.64 28.3
31.534568414456242 17 3.37544756421548 17.957386049414804 11.0 6.0 6.0 6.0 4.5 0.42 1.2 0.078 1.1 6.0 3.6 2.6 4.0 1.6 3.00 0.941 1.93 0.00 1.39 139 16.2 1.29e+03 0.406 35.9 5.37e+08 3.42e+07 1.69e+16 34.8 1.30e+08 139 27.6 1.49e+03 12.9 38.6
32.534568414456245 17 3.37544756421548 17.957386049414804 11.0 6.0 6.0 6.0 4.5 0.42 1.2 0.078 1.1 6.0 3.6 2.6 4.0 1.6 3.00 0.941 1.93 0.00 1.39 139 16.2 1.29e+03 0.406 35.9 5.37e+08 3.42e+07 1.69e+16 34.8 1.30e+08 184 34.7 2.88e+03 12.9 53.7
33.534568414456245 17 3.37544756421548 17.957386049414804 11.0 6.0 6.0 6.0 4.5 0.42 1.2 0.078 1.1 6.0 3.6 2.6 4.0 1.6 3.00 0.941 1.93 0.00 1.39 139 16.2 1.29e+03 0.406 35.9 5.37e+08 3.42e+07 1.69e+16 34.8 1.30e+08 198 41.7 4.37e+03 12.9 66.1
34.534568414456245 17 3.37544756421548 17.957386049414804 11.0 6.0 6.0 6.0 4.5 0.42 1.2 0.078 1.1 6.0 3.6 2.6 4.0 1.6 3.00 0.941 1.93 0.00 1.39 139 16.2 1.29e+03 0.406 35.9 5.37e+08 3.42e+07 1.69e+16 34.8 1.30e+08 198 47.2 5.16e+03 12.9 71.8
35.534568414456245 17 3.37544756421548 17.957386049414804 11.0 6.0 6.0 6.0 4.5 0.42 1.2 0.078 1.1 6.0 3.6 2.6 4.0 1.6 3.00 0.941 1.93 0.00 1.39 139 16.2 1.29e+03 0.406 35.9 5.37e+08 3.42e+07 1.69e+16 34.8 1.30e+08 198 49.9 5.20e+03 12.9 72.1
36.534568414456245 17 3.37544756421548 17.957386049414804 11.0 6.0 6.0 6.0 4.5 0.42 1.2 0.078 1.1 6.0 3.6 2.6 4.0 1.6 3.00 0.941 1.93 0.00 1.39 139 16.2 1.29e+03 0.406 35.9 5.37e+08 3.42e+07 1.69e+16 34.8 1.30e+08 198 52.0 5.08e+03 13.1 71.3
37.534568414456245 17 3.37544756421548 17.957386049414804 11.0 6.0 6.0 6.0 4.5 0.42 1.2 0.078 1.1 6.0 3.6 2.6 4.0 1.6 3.00 0.941 1.93 0.00 1.39 139 16.2 1.29e+03 0.406 35.9 5.02e+20 2.95e+19 1.48e+40 30.7 1.22e+20 198 52.0 5.08e+03 13.1 71.3
38.534568414456245 17 3.37544756421548 17.957386049414804 11.0 6.0 6.0 6.0 4.5 0.42 1.2 0.078 1.1 6.0 3.6 2.6 4.0 1.6 3.00 0.941 1.93 0.00 1.39 139 16.2 1.29e+03 0.406 35.9 5.02e+20 2.95e+19 1.48e+40 30.7 1.22e+20 198 52.0 5.08e+03 13.1 71.3
39.534568414456245 17 3.37544756421548 17.957386049414804 11.0 6.0 6.0 6.0 4.5 0.42 1.2 0.078 1.1 6.0 3.6 2.6 4.0 1.6 3.00 0.941 1.93 0.00 1.39 139 16.2 1.29e+03 0.406 35.9 5.02e+20 2.95e+19 1.48e+40 30.7 1.22e+20 198 52.0 5.08e+03 13.1 71.3
40.534568414456245 17 3.37544756421548 17.957386049414804 11.0 6.0 6.0 6.0 4.5 0.42 1.2 0.078 1.1 6.0 3.6 2.6 4.0 1.6 3.00 0.941 1.93 0.00 1.39 139 16.2 1.29e+03 0.406 35.9 5.02e+20 2.95e+19 1.48e+40 30.7 1.22e+20 198 52.0 5.08e+03 13.1 71.3
41.534568414456245 17 3.37544756421548 17.957386049414804 11.0 6.0 6.0 6.0 4.5 0.42 1.2 0.078 1.1 6.0 3.6 2.6 4.0 1.6 3.00 0.941 1.93 0.00 1.39 139 16.2 1.29e+03 0.406 35.9 5.02e+20 2.95e+19 1.48e+40 30.7 1.22e+20 198 52.0 5.08e+03 13.1 71.3
42.534568414456245 17 3.37544756421548 17.957386049414804 11.0 6.0 6.0 6.0 4.5 0.42 1.2 0.078 1.1 6.0 3.6 2.6 4.0 1.6 3.00 0.941 1.93 0.00 1.39 139 16.2 1.29e+03 0.406 35.9 5.02e+20 2.95e+19 1.48e+40 30.7 1.22e+20 198 52.0 5.08e+03 13.1 71.3
43.534568414456245 20 3.327560651289299 20.242759131676927 13.0 7.0 7.0 7.0 5.3 0.42 1.4 0.092 1.2 6.0 3.6 2.5 4.0 1.6 3.00 0.950 1.94 0.00 1.39 314 43.0 7.03e+03 2.78 83.9 5.02e+20 2.51e+19 1.26e+40 12.1 1.12e+20 314 73.5 8.68e+03 26.0 93.2
44.534568414456245 20 3.327560651289299 20.242759131676927 13.0 7.0 7.0 7.0 5.3 0.42 1.4 0.092 1.2 6.0 3.6 2.5 4.0 1.6 3.00 0.950 1.94 0.00 1.39 314 43.0 7.03e+03 2.78 83.9 5.02e+20 2.51e+19 1.26e+40 12.1 1.12e+20 586 95.8 2.17e+04 26.0 147
45.534568414456245 20 3.327560651289299 20.242759131676927 13.0 7.0 7.0 7.0 5.3 0.42 1.4 0.092 1.2 6.0 3.6 2.5 4.0 1.6 3.00 0.950 1.94 0.00 1.39 314 43.0 7.03e+03 2.78 83.9 5.02e+20 2.51e+19 1.26e+40 12.1 1.12e+20 630 118 3.58e+04 26.0 189
