#####################################################################
# Alchemist log file - simulation started at: 2025-03-05T17:53+0000 #
#####################################################################
#
# seed = 235.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter[max] network-diameter[mean] network-diameter[median] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 Infinity 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.392076272483612 2 9.88827509949875 12.497502261582156 1.0 1.7919015189380871 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.392076272483612 2 9.88827509949875 12.497502261582156 1.0 1.7919015189380871 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.267 0.184 0.0136 0.184 0.117 182 94.9 1.53e+04 94.9 124 0.267 0.200 0.00887 0.200 0.0942
2.392076272483612 2 9.88827509949875 12.497502261582156 1.0 1.7919015189380871 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.267 0.184 0.0136 0.184 0.117 164 85.8 1.22e+04 85.8 111 0.267 0.200 0.00887 0.200 0.0942
3.392076272483612 5 6.989682938008903 14.470985231276615 3.0 0.13085486022322385 2.0 2.0 2.0 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.792 0.322 0.0763 0.267 0.276 164 34.3 5.27e+03 0.00 72.6 0.792 0.329 0.0730 0.267 0.270
4.392076272483612 5 6.989682938008903 14.470985231276615 3.0 0.13085486022322385 2.0 2.0 2.0 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.792 0.322 0.0763 0.267 0.276 26.7 7.24 135 0.00 11.6 0.792 0.466 0.0785 0.363 0.280
5.392076272483612 5 6.989682938008903 14.470985231276615 3.0 0.13085486022322385 2.0 2.0 2.0 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.792 0.322 0.0763 0.267 0.276 512 166 4.28e+04 90.1 207 0.792 0.466 0.0785 0.363 0.280
6.392076272483612 5 6.989682938008903 14.470985231276615 3.0 0.13085486022322385 2.0 2.0 2.0 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.792 0.322 0.0763 0.267 0.276 512 166 4.28e+04 90.1 207 0.792 0.466 0.0785 0.363 0.280
7.392076272483612 8 6.850990434046791 17.01758591930806 5.0 0.09110182194834225 3.0 3.0 3.0 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 14.2 3.44 25.7 0.550 5.07 512 104 3.19e+04 16.8 179 14.2 3.53 25.0 0.759 5.00
8.392076272483612 8 6.850990434046791 17.01758591930806 5.0 0.09110182194834225 3.0 3.0 3.0 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 14.2 3.44 25.7 0.550 5.07 512 104 3.19e+04 16.8 179 21.9 6.17 64.3 2.64 8.02
9.392076272483612 8 6.850990434046791 17.01758591930806 5.0 0.09110182194834225 3.0 3.0 3.0 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 14.2 3.44 25.7 0.550 5.07 512 126 3.16e+04 50.7 178 21.9 8.49 56.0 6.84 7.48
10.392076272483612 8 6.850990434046791 17.01758591930806 5.0 0.09110182194834225 3.0 3.0 3.0 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 14.2 3.44 25.7 0.550 5.07 1.38e+06 3.07e+05 2.51e+11 1.58e+03 5.01e+05 21.9 8.49 56.0 6.84 7.48
11.392076272483612 8 6.850990434046791 17.01758591930806 5.0 0.09110182194834225 3.0 3.0 3.0 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 14.2 3.44 25.7 0.550 5.07 1.38e+06 3.07e+05 2.51e+11 1.58e+03 5.01e+05 21.9 8.49 56.0 6.84 7.48
12.392076272483612 8 6.850990434046791 17.01758591930806 5.0 0.09110182194834225 3.0 3.0 3.0 6.0 2.8 2.8 2.5 1.7 3.00 0.875 1.84 0.00 1.36 14.2 3.44 25.7 0.550 5.07 1.38e+06 3.07e+05 2.51e+11 1.58e+03 5.01e+05 21.9 8.49 56.0 6.84 7.48
13.392076272483612 11 8.202919976946387 18.17886567836588 7.0 0.07212971708025609 4.0 4.0 4.0 6.0 3.3 3.0 3.0 1.7 3.00 0.909 1.89 0.00 1.38 75.7 10.0 493 2.14 22.2 1.38e+06 2.23e+05 1.96e+11 43.0 4.43e+05 75.7 13.7 466 6.54 21.6
