#####################################################################
# Alchemist log file - simulation started at: 2025-03-03T13:29+0000 #
#####################################################################
#
# seed = 249.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
16.0 11 6.1977330042326235 7.2873434344826 7.0 4.0 4.0 4.0 2.0 0.31 0.37 0.084 0.61 6.0 2.9 3.5 3.0 1.9 3.00 0.909 1.89 0.00 1.38 0.109 0.102 1.23e-05 0.100 0.00350 15.7 7.96 46.7 5.74 6.83 0.190 0.122 0.00127 0.100 0.0357
17.0 11 6.1977330042326235 7.2873434344826 7.0 4.0 4.0 4.0 2.0 0.31 0.37 0.084 0.61 6.0 2.9 3.5 3.0 1.9 3.00 0.909 1.89 0.00 1.38 0.109 0.102 1.23e-05 0.100 0.00350 12.8 6.36 16.5 5.83 4.06 0.190 0.122 0.00127 0.100 0.0357
18.0 11 6.1977330042326235 7.2873434344826 7.0 4.0 4.0 4.0 2.0 0.31 0.37 0.084 0.61 6.0 2.9 3.5 3.0 1.9 3.00 0.909 1.89 0.00 1.38 0.109 0.102 1.23e-05 0.100 0.00350 12.8 6.36 16.5 5.83 4.06 0.190 0.122 0.00127 0.100 0.0357
19.0 11 6.1977330042326235 7.2873434344826 7.0 4.0 4.0 4.0 2.0 0.31 0.37 0.084 0.61 6.0 2.9 3.5 3.0 1.9 3.00 0.909 1.89 0.00 1.38 0.109 0.102 1.23e-05 0.100 0.00350 12.8 6.36 16.5 5.83 4.06 0.190 0.122 0.00127 0.100 0.0357
20.0 11 6.1977330042326235 7.2873434344826 7.0 4.0 4.0 4.0 2.0 0.31 0.37 0.084 0.61 6.0 2.9 3.5 3.0 1.9 3.00 0.909 1.89 0.00 1.38 0.109 0.102 1.23e-05 0.100 0.00350 12.8 6.36 16.5 5.83 4.06 0.190 0.122 0.00127 0.100 0.0357
21.0 12 6.524219337055569 7.951869537410452 7.0 4.0 4.0 4.0 2.2 0.31 0.41 0.088 0.64 6.0 2.8 3.6 3.0 1.9 3.00 0.917 1.72 0.00 1.31 0.306 0.119 0.00350 0.100 0.0592 12.8 5.83 18.3 4.57 4.28 0.306 0.137 0.00400 0.104 0.0632
22.0 12 6.524219337055569 7.951869537410452 7.0 4.0 4.0 4.0 2.2 0.31 0.41 0.088 0.64 6.0 2.8 3.6 3.0 1.9 3.00 0.917 1.72 0.00 1.31 0.306 0.119 0.00350 0.100 0.0592 12.8 5.83 18.3 4.57 4.28 0.306 0.141 0.00394 0.104 0.0628
23.0 12 6.524219337055569 7.951869537410452 7.0 4.0 4.0 4.0 2.2 0.31 0.41 0.088 0.64 6.0 2.8 3.6 3.0 1.9 3.00 0.917 1.72 0.00 1.31 0.306 0.119 0.00350 0.100 0.0592 12.8 5.83 18.3 4.57 4.28 0.306 0.143 0.00405 0.104 0.0637
24.0 12 6.524219337055569 7.951869537410452 7.0 4.0 4.0 4.0 2.2 0.31 0.41 0.088 0.64 6.0 2.8 3.6 3.0 1.9 3.00 0.917 1.72 0.00 1.31 0.306 0.119 0.00350 0.100 0.0592 12.8 5.83 18.3 4.57 4.28 0.306 0.144 0.00414 0.104 0.0643
25.0 12 6.524219337055569 7.951869537410452 7.0 4.0 4.0 4.0 2.2 0.31 0.41 0.088 0.64 6.0 2.8 3.6 3.0 1.9 3.00 0.917 1.72 0.00 1.31 0.306 0.119 0.00350 0.100 0.0592 14.8 6.13 23.3 4.57 4.82 0.306 0.145 0.00417 0.104 0.0645
