#####################################################################
# Alchemist log file - simulation started at: 2025-03-05T17:39+0000 #
#####################################################################
#
# seed = 161.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter[max] network-diameter[mean] network-diameter[median] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 Infinity 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.8100634653915428 2 12.425380804870787 9.39375916389249 1.0 0.3400516459638822 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.8100634653915428 2 12.425380804870787 9.39375916389249 1.0 0.3400516459638822 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.17e-06 0.101 0.00108 69.0 38.3 1.89e+03 38.3 43.4 0.100 0.0753 0.00125 0.0753 0.0354
2.8100634653915426 2 12.425380804870787 9.39375916389249 1.0 0.3400516459638822 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.17e-06 0.101 0.00108 62.1 34.8 1.49e+03 34.8 38.6 0.100 0.0753 0.00125 0.0753 0.0354
3.8100634653915426 5 16.310498304379983 9.828211191859008 3.0 0.08949583318501945 2.0 2.0 2.0 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.106 0.102 5.38e-06 0.101 0.00232 62.1 13.9 736 0.00 27.1 0.106 0.0915 0.000536 0.100 0.0232
4.810063465391543 5 16.310498304379983 9.828211191859008 3.0 0.08949583318501945 2.0 2.0 2.0 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.106 0.102 5.38e-06 0.101 0.00232 15.3 4.97 50.5 0.00 7.11 0.153 0.107 0.000788 0.101 0.0281
5.810063465391543 5 16.310498304379983 9.828211191859008 3.0 0.08949583318501945 2.0 2.0 2.0 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.106 0.102 5.38e-06 0.101 0.00232 39.8 27.8 219 37.7 14.8 0.153 0.107 0.000788 0.101 0.0281
6.810063465391543 5 16.310498304379983 9.828211191859008 3.0 0.08949583318501945 2.0 2.0 2.0 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.106 0.102 5.38e-06 0.101 0.00232 39.8 27.8 219 37.7 14.8 0.153 0.107 0.000788 0.101 0.0281
7.810063465391543 8 16.29093704581955 12.119528529587512 5.0 0.07816462374696123 3.0 3.0 3.0 5.0 3.0 1.7 2.5 1.3 3.00 0.875 1.84 0.00 1.36 0.495 0.185 0.0234 0.104 0.153 39.8 17.4 332 11.6 18.2 0.495 0.189 0.0232 0.114 0.152
8.810063465391544 8 16.29093704581955 12.119528529587512 5.0 0.07816462374696123 3.0 3.0 3.0 5.0 3.0 1.7 2.5 1.3 3.00 0.875 1.84 0.00 1.36 0.495 0.185 0.0234 0.104 0.153 39.8 17.4 332 11.6 18.2 0.495 0.237 0.0325 0.138 0.180
