#####################################################################
# Alchemist log file - simulation started at: 2025-03-04T17:03+0000 #
#####################################################################
#
# seed = 364.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.267687997755957 2 10.482202155338207 7.546944541722061 1.0 1.0 1.0 1.0 0.42 0.42 0.0 0.42 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.267687997755957 2 10.482202155338207 7.546944541722061 1.0 1.0 1.0 1.0 0.42 0.42 0.0 0.42 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.72e-06 0.101 0.00131 68.8 38.2 1.87e+03 38.2 43.3 0.100 0.0751 0.00125 0.0751 0.0353
2.267687997755957 2 10.482202155338207 7.546944541722061 1.0 1.0 1.0 1.0 0.42 0.42 0.0 0.42 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.72e-06 0.101 0.00131 61.9 34.7 1.48e+03 34.7 38.4 0.100 0.0751 0.00125 0.0751 0.0353
3.267687997755957 5 12.084925309372522 4.93663075998591 3.0 2.0 2.0 2.0 1.1 0.38 0.20 0.18 0.45 4.0 2.4 0.80 2.0 0.89 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.50e-07 0.100 0.000806 61.9 13.9 731 0.00 27.0 0.100 0.0901 0.000500 0.100 0.0224
4.2676879977559565 5 12.084925309372522 4.93663075998591 3.0 2.0 2.0 2.0 1.1 0.38 0.20 0.18 0.45 4.0 2.4 0.80 2.0 0.89 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.50e-07 0.100 0.000806 15.1 4.91 49.2 0.00 7.01 0.150 0.105 0.000750 0.100 0.0274
5.2676879977559565 5 12.084925309372522 4.93663075998591 3.0 2.0 2.0 2.0 1.1 0.38 0.20 0.18 0.45 4.0 2.4 0.80 2.0 0.89 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.50e-07 0.100 0.000806 37.2 26.9 198 37.0 14.1 0.150 0.105 0.000750 0.100 0.0274
6.2676879977559565 5 12.084925309372522 4.93663075998591 3.0 2.0 2.0 2.0 1.1 0.38 0.20 0.18 0.45 4.0 2.4 0.80 2.0 0.89 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.50e-07 0.100 0.000806 37.2 26.9 198 37.0 14.1 0.150 0.105 0.000750 0.100 0.0274
7.2676879977559565 8 13.452694728971665 8.00290249007585 5.0 3.0 3.0 3.0 1.7 0.40 0.33 0.19 0.58 5.0 3.0 1.1 3.0 1.1 3.00 0.875 1.84 0.00 1.36 0.147 0.110 0.000303 0.101 0.0174 37.2 16.8 306 11.5 17.5 0.150 0.113 0.000674 0.102 0.0260
8.267687997755957 8 13.452694728971665 8.00290249007585 5.0 3.0 3.0 3.0 1.7 0.40 0.33 0.19 0.58 5.0 3.0 1.1 3.0 1.1 3.00 0.875 1.84 0.00 1.36 0.147 0.110 0.000303 0.101 0.0174 37.2 16.8 306 11.5 17.5 0.188 0.124 0.00133 0.114 0.0364
9.267687997755957 8 13.452694728971665 8.00290249007585 5.0 3.0 3.0 3.0 1.7 0.40 0.33 0.19 0.58 5.0 3.0 1.1 3.0 1.1 3.00 0.875 1.84 0.00 1.36 0.147 0.110 0.000303 0.101 0.0174 37.2 17.2 302 13.0 17.4 0.194 0.132 0.00162 0.114 0.0402
10.267687997755957 8 13.452694728971665 8.00290249007585 5.0 3.0 3.0 3.0 1.7 0.40 0.33 0.19 0.58 5.0 3.0 1.1 3.0 1.1 3.00 0.875 1.84 0.00 1.36 0.147 0.110 0.000303 0.101 0.0174 31.3 15.1 106 12.3 10.3 0.194 0.132 0.00162 0.114 0.0402
11.267687997755957 8 13.452694728971665 8.00290249007585 5.0 3.0 3.0 3.0 1.7 0.40 0.33 0.19 0.58 5.0 3.0 1.1 3.0 1.1 3.00 0.875 1.84 0.00 1.36 0.147 0.110 0.000303 0.101 0.0174 31.3 15.1 106 12.3 10.3 0.194 0.132 0.00162 0.114 0.0402
12.267687997755957 8 13.452694728971665 8.00290249007585 5.0 3.0 3.0 3.0 1.7 0.40 0.33 0.19 0.58 5.0 3.0 1.1 3.0 1.1 3.00 0.875 1.84 0.00 1.36 0.147 0.110 0.000303 0.101 0.0174 31.3 15.1 106 12.3 10.3 0.194 0.132 0.00162 0.114 0.0402
