#####################################################################
# Alchemist log file - simulation started at: 2025-03-03T13:28+0000 #
#####################################################################
#
# seed = 56.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 12.474699401508905 9.64522842254281 1.0 1.0 1.0 1.0 0.57 0.57 0.0 0.57 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 12.474699401508905 9.64522842254281 1.0 1.0 1.0 1.0 0.57 0.57 0.0 0.57 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 8.55e-07 0.101 0.000924 69.1 38.4 1.90e+03 38.4 43.5 0.101 0.0755 0.00126 0.0755 0.0355
2.0 2 12.474699401508905 9.64522842254281 1.0 1.0 1.0 1.0 0.57 0.57 0.0 0.57 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 8.55e-07 0.101 0.000924 62.2 34.9 1.49e+03 34.9 38.7 0.101 0.0755 0.00126 0.0755 0.0355
3.0 5 16.35403067830385 7.874261000393256 3.0 2.0 2.0 2.0 1.4 0.50 0.39 0.24 0.62 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.37e-07 0.100 0.000798 62.2 14.0 739 0.00 27.2 0.101 0.0902 0.000496 0.100 0.0223
4.0 5 16.35403067830385 7.874261000393256 3.0 2.0 2.0 2.0 1.4 0.50 0.39 0.24 0.62 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.37e-07 0.100 0.000798 15.0 4.90 48.7 0.00 6.98 0.150 0.105 0.000750 0.100 0.0274
5.0 5 16.35403067830385 7.874261000393256 3.0 2.0 2.0 2.0 1.4 0.50 0.39 0.24 0.62 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.37e-07 0.100 0.000798 36.8 26.7 194 36.8 13.9 0.150 0.105 0.000750 0.100 0.0274
6.0 5 16.35403067830385 7.874261000393256 3.0 2.0 2.0 2.0 1.4 0.50 0.39 0.24 0.62 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.37e-07 0.100 0.000798 36.8 26.7 194 36.8 13.9 0.150 0.105 0.000750 0.100 0.0274
7.0 8 19.189844658540885 9.00801786073127 5.0 3.0 3.0 3.0 2.3 0.49 0.65 0.18 0.81 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.66e-07 0.100 0.000682 36.8 16.7 302 11.5 17.4 0.150 0.103 0.000434 0.100 0.0208
8.0 8 19.189844658540885 9.00801786073127 5.0 3.0 3.0 3.0 2.3 0.49 0.65 0.18 0.81 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.66e-07 0.100 0.000682 36.8 16.7 302 11.5 17.4 0.151 0.110 0.000706 0.100 0.0266
9.0 8 19.189844658540885 9.00801786073127 5.0 3.0 3.0 3.0 2.3 0.49 0.65 0.18 0.81 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.66e-07 0.100 0.000682 36.8 16.9 299 12.3 17.3 0.175 0.114 0.000963 0.100 0.0310
10.0 8 19.189844658540885 9.00801786073127 5.0 3.0 3.0 3.0 2.3 0.49 0.65 0.18 0.81 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.66e-07 0.100 0.000682 15.9 10.6 27.9 11.7 5.29 0.175 0.114 0.000963 0.100 0.0310
11.0 8 19.189844658540885 9.00801786073127 5.0 3.0 3.0 3.0 2.3 0.49 0.65 0.18 0.81 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.66e-07 0.100 0.000682 15.9 10.6 27.9 11.7 5.29 0.175 0.114 0.000963 0.100 0.0310
12.0 8 19.189844658540885 9.00801786073127 5.0 3.0 3.0 3.0 2.3 0.49 0.65 0.18 0.81 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.66e-07 0.100 0.000682 15.9 10.6 27.9 11.7 5.29 0.175 0.114 0.000963 0.100 0.0310
13.0 11 19.933996646438796 10.983743981293756 7.0 4.0 4.0 4.0 3.1 0.49 0.90 0.11 0.95 6.0 3.1 2.9 3.0 1.7 3.00 0.909 1.89 0.00 1.38 0.154 0.108 0.000286 0.101 0.0169 15.9 7.67 43.9 5.77 6.62 0.175 0.118 0.000833 0.101 0.0289
14.0 11 19.933996646438796 10.983743981293756 7.0 4.0 4.0 4.0 3.1 0.49 0.90 0.11 0.95 6.0 3.1 2.9 3.0 1.7 3.00 0.909 1.89 0.00 1.38 0.154 0.108 0.000286 0.101 0.0169 15.9 7.67 43.9 5.77 6.62 0.192 0.126 0.00128 0.106 0.0358
15.0 11 19.933996646438796 10.983743981293756 7.0 4.0 4.0 4.0 3.1 0.49 0.90 0.11 0.95 6.0 3.1 2.9 3.0 1.7 3.00 0.909 1.89 0.00 1.38 0.154 0.108 0.000286 0.101 0.0169 15.9 7.67 43.9 5.77 6.62 0.196 0.131 0.00169 0.106 0.0411
16.0 11 19.933996646438796 10.983743981293756 7.0 4.0 4.0 4.0 3.1 0.49 0.90 0.11 0.95 6.0 3.1 2.9 3.0 1.7 3.00 0.909 1.89 0.00 1.38 0.154 0.108 0.000286 0.101 0.0169 15.9 8.04 47.9 5.77 6.92 0.198 0.134 0.00185 0.106 0.0430
17.0 11 19.933996646438796 10.983743981293756 7.0 4.0 4.0 4.0 3.1 0.49 0.90 0.11 0.95 6.0 3.1 2.9 3.0 1.7 3.00 0.909 1.89 0.00 1.38 0.154 0.108 0.000286 0.101 0.0169 16.5 8.08 29.1 6.58 5.39 0.198 0.134 0.00185 0.106 0.0430
18.0 11 19.933996646438796 10.983743981293756 7.0 4.0 4.0 4.0 3.1 0.49 0.90 0.11 0.95 6.0 3.1 2.9 3.0 1.7 3.00 0.909 1.89 0.00 1.38 0.154 0.108 0.000286 0.101 0.0169 16.5 8.08 29.1 6.58 5.39 0.198 0.134 0.00185 0.106 0.0430
19.0 11 19.933996646438796 10.983743981293756 7.0 4.0 4.0 4.0 3.1 0.49 0.90 0.11 0.95 6.0 3.1 2.9 3.0 1.7 3.00 0.909 1.89 0.00 1.38 0.154 0.108 0.000286 0.101 0.0169 16.5 8.08 29.1 6.58 5.39 0.198 0.134 0.00185 0.106 0.0430
20.0 11 19.933996646438796 10.983743981293756 7.0 4.0 4.0 4.0 3.1 0.49 0.90 0.11 0.95 6.0 3.1 2.9 3.0 1.7 3.00 0.909 1.89 0.00 1.38 0.154 0.108 0.000286 0.101 0.0169 16.5 8.08 29.1 6.58 5.39 0.198 0.134 0.00185 0.106 0.0430
21.0 14 20.450587812004922 13.054645537067879 9.0 5.0 5.0 5.0 4.0 0.50 1.2 0.13 1.1 6.0 3.1 2.6 3.0 1.6 3.00 0.929 1.92 0.00 1.38 2.45 0.440 0.715 0.101 0.845 16.5 6.35 34.2 3.69 5.85 2.45 0.460 0.701 0.115 0.837
22.0 14 20.450587812004922 13.054645537067879 9.0 5.0 5.0 5.0 4.0 0.50 1.2 0.13 1.1 6.0 3.1 2.6 3.0 1.6 3.00 0.929 1.92 0.00 1.38 2.45 0.440 0.715 0.101 0.845 16.5 6.35 34.2 3.69 5.85 2.62 0.637 1.02 0.115 1.01
