#####################################################################
# Alchemist log file - simulation started at: 2025-03-06T14:45+0000 #
#####################################################################
#
# seed = 410.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.33870498392964676 2 12.427716845189074 10.596817325138279 1.0 0.3450885507988698 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.3387049839296468 2 12.427716845189074 10.596817325138279 1.0 0.3450885507988698 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.104 0.103 1.74e-06 0.103 0.00132 71.3 39.4 2.03e+03 39.4 45.1 0.104 0.0778 0.00134 0.0778 0.0366
2.338704983929647 2 12.427716845189074 10.596817325138279 1.0 0.3450885507988698 1.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.104 0.103 1.74e-06 0.103 0.00132 64.2 35.9 1.60e+03 35.9 40.0 0.104 0.0778 0.00134 0.0778 0.0366
3.338704983929647 5 13.24176323074263 11.3577371843689 3.0 0.07805005677180651 2.0 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.377 0.162 0.0146 0.104 0.121 64.2 14.3 787 0.00 28.0 0.377 0.152 0.0166 0.104 0.129
4.338704983929647 5 13.24176323074263 11.3577371843689 3.0 0.07805005677180651 2.0 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.377 0.162 0.0146 0.104 0.121 28.5 7.60 153 0.00 12.4 0.377 0.212 0.0147 0.152 0.121
5.338704983929647 5 13.24176323074263 11.3577371843689 3.0 0.07805005677180651 2.0 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.377 0.162 0.0146 0.104 0.121 262 91.3 1.01e+04 70.0 101 0.377 0.212 0.0147 0.152 0.121
6.338704983929647 5 13.24176323074263 11.3577371843689 3.0 0.07805005677180651 2.0 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.377 0.162 0.0146 0.104 0.121 262 91.3 1.01e+04 70.0 101 0.377 0.212 0.0147 0.152 0.121
7.338704983929647 8 13.747145305080316 14.994259459898805 5.0 0.08240221484457654 3.0 4.0 2.8 1.1 3.0 1.0 3.00 0.875 1.84 0.00 1.36 8.17 2.67 13.1 0.253 3.62 262 57.1 8.03e+03 17.6 89.6 8.17 2.70 12.9 0.340 3.60
8.338704983929647 8 13.747145305080316 14.994259459898805 5.0 0.08240221484457654 3.0 4.0 2.8 1.1 3.0 1.0 3.00 0.875 1.84 0.00 1.36 8.17 2.67 13.1 0.253 3.62 262 57.1 8.03e+03 17.6 89.6 13.1 4.30 24.8 2.46 4.98
9.338704983929647 8 13.747145305080316 14.994259459898805 5.0 0.08240221484457654 3.0 4.0 2.8 1.1 3.0 1.0 3.00 0.875 1.84 0.00 1.36 8.17 2.67 13.1 0.253 3.62 262 84.3 1.19e+04 40.6 109 13.1 5.50 19.4 5.66 4.40
10.338704983929647 8 13.747145305080316 14.994259459898805 5.0 0.08240221484457654 3.0 4.0 2.8 1.1 3.0 1.0 3.00 0.875 1.84 0.00 1.36 8.17 2.67 13.1 0.253 3.62 9.92e+05 3.11e+05 2.00e+11 2.23e+03 4.48e+05 13.1 5.50 19.4 5.66 4.40
11.338704983929647 8 13.747145305080316 14.994259459898805 5.0 0.08240221484457654 3.0 4.0 2.8 1.1 3.0 1.0 3.00 0.875 1.84 0.00 1.36 8.17 2.67 13.1 0.253 3.62 9.92e+05 3.11e+05 2.00e+11 2.23e+03 4.48e+05 13.1 5.50 19.4 5.66 4.40
12.338704983929647 8 13.747145305080316 14.994259459898805 5.0 0.08240221484457654 3.0 4.0 2.8 1.1 3.0 1.0 3.00 0.875 1.84 0.00 1.36 8.17 2.67 13.1 0.253 3.62 9.92e+05 3.11e+05 2.00e+11 2.23e+03 4.48e+05 13.1 5.50 19.4 5.66 4.40
13.338704983929647 11 12.905423757652063 17.57477986826787 7.0 0.0756041051701581 4.0 6.0 3.3 1.8 3.0 1.3 3.00 0.909 1.89 0.00 1.38 77.9 15.9 629 4.61 25.1 9.92e+05 2.26e+05 1.61e+11 45.4 4.02e+05 77.9 17.9 576 7.80 24.0
14.338704983929647 11 12.905423757652063 17.57477986826787 7.0 0.0756041051701581 4.0 6.0 3.3 1.8 3.0 1.3 3.00 0.909 1.89 0.00 1.38 77.9 15.9 629 4.61 25.1 9.92e+05 2.26e+05 1.61e+11 45.4 4.02e+05 153 31.1 2.21e+03 7.80 47.0
15.338704983929647 11 12.905423757652063 17.57477986826787 7.0 0.0756041051701581 4.0 6.0 3.3 1.8 3.0 1.3 3.00 0.909 1.89 0.00 1.38 77.9 15.9 629 4.61 25.1 9.92e+05 2.26e+05 1.61e+11 45.4 4.02e+05 153 39.6 2.66e+03 7.80 51.5
16.338704983929645 11 12.905423757652063 17.57477986826787 7.0 0.0756041051701581 4.0 6.0 3.3 1.8 3.0 1.3 3.00 0.909 1.89 0.00 1.38 77.9 15.9 629 4.61 25.1 9.92e+05 2.26e+05 1.61e+11 45.4 4.02e+05 153 45.9 2.41e+03 37.5 49.1
17.338704983929645 11 12.905423757652063 17.57477986826787 7.0 0.0756041051701581 4.0 6.0 3.3 1.8 3.0 1.3 3.00 0.909 1.89 0.00 1.38 77.9 15.9 629 4.61 25.1 3.45e+08 4.83e+07 1.11e+16 250 1.05e+08 153 45.9 2.41e+03 37.5 49.1
18.338704983929645 11 12.905423757652063 17.57477986826787 7.0 0.0756041051701581 4.0 6.0 3.3 1.8 3.0 1.3 3.00 0.909 1.89 0.00 1.38 77.9 15.9 629 4.61 25.1 3.45e+08 4.83e+07 1.11e+16 250 1.05e+08 153 45.9 2.41e+03 37.5 49.1
19.338704983929645 11 12.905423757652063 17.57477986826787 7.0 0.0756041051701581 4.0 6.0 3.3 1.8 3.0 1.3 3.00 0.909 1.89 0.00 1.38 77.9 15.9 629 4.61 25.1 3.45e+08 4.83e+07 1.11e+16 250 1.05e+08 153 45.9 2.41e+03 37.5 49.1
20.338704983929645 11 12.905423757652063 17.57477986826787 7.0 0.0756041051701581 4.0 6.0 3.3 1.8 3.0 1.3 3.00 0.909 1.89 0.00 1.38 77.9 15.9 629 4.61 25.1 3.45e+08 4.83e+07 1.11e+16 250 1.05e+08 153 45.9 2.41e+03 37.5 49.1
21.338704983929645 14 13.809678179459349 19.779636420129727 9.0 0.06252857592461868 5.0 7.0 3.4 2.6 3.0 1.6 3.00 0.929 1.92 0.00 1.38 222 33.1 3.54e+03 7.98 59.5 3.45e+08 3.80e+07 8.96e+15 119 9.47e+07 222 56.7 4.19e+03 37.7 64.8
