#####################################################################
# Alchemist log file - simulation started at: 2025-02-19T18:53+0000 #
#####################################################################
#
# seed = 47.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 11.813808355655489 11.720493896808218 1.0 1.0 1.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 11.813808355655489 11.720493896808218 1.0 1.0 1.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.135 0.119 0.000558 0.119 0.0236 92.8 50.2 3.63e+03 50.2 60.3 0.135 0.102 0.00228 0.102 0.0477
2.0 2 11.813808355655489 11.720493896808218 1.0 1.0 1.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.135 0.119 0.000558 0.119 0.0236 83.5 45.5 2.88e+03 45.5 53.7 0.135 0.102 0.00228 0.102 0.0477
3.0 5 15.841440823553208 12.65527321194279 2.0 2.0 2.0 0.40 0.22 0.015 0.16 0.12 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.135 0.115 0.000184 0.116 0.0136 83.5 18.2 1.34e+03 0.00 36.6 0.135 0.108 0.000633 0.116 0.0252
4.0 5 15.841440823553208 12.65527321194279 2.0 2.0 2.0 0.40 0.22 0.015 0.16 0.12 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.135 0.115 0.000184 0.116 0.0136 13.1 4.51 39.8 0.00 6.31 0.174 0.119 0.00107 0.116 0.0328
5.0 5 15.841440823553208 12.65527321194279 2.0 2.0 2.0 0.40 0.22 0.015 0.16 0.12 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.135 0.115 0.000184 0.116 0.0136 37.1 25.6 191 32.7 13.8 0.174 0.119 0.00107 0.116 0.0328
6.0 5 15.841440823553208 12.65527321194279 2.0 2.0 2.0 0.40 0.22 0.015 0.16 0.12 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.135 0.115 0.000184 0.116 0.0136 37.1 25.6 191 32.7 13.8 0.174 0.119 0.00107 0.116 0.0328
7.0 8 17.75031039882283 13.97154993521126 3.0 3.0 3.0 0.64 0.23 0.039 0.23 0.20 6.0 3.5 3.1 3.0 1.8 3.00 0.875 1.84 0.00 1.36 0.976 0.220 0.0934 0.112 0.306 37.1 16.0 285 10.6 16.9 0.976 0.223 0.0932 0.112 0.305
8.0 8 17.75031039882283 13.97154993521126 3.0 3.0 3.0 0.64 0.23 0.039 0.23 0.20 6.0 3.5 3.1 3.0 1.8 3.00 0.875 1.84 0.00 1.36 0.976 0.220 0.0934 0.112 0.306 37.1 16.0 285 10.6 16.9 0.976 0.284 0.108 0.112 0.329
9.0 8 17.75031039882283 13.97154993521126 3.0 3.0 3.0 0.64 0.23 0.039 0.23 0.20 6.0 3.5 3.1 3.0 1.8 3.00 0.875 1.84 0.00 1.36 0.976 0.220 0.0934 0.112 0.306 37.1 18.1 291 19.0 17.0 0.976 0.331 0.102 0.165 0.319
10.0 8 17.75031039882283 13.97154993521126 3.0 3.0 3.0 0.64 0.23 0.039 0.23 0.20 6.0 3.5 3.1 3.0 1.8 3.00 0.875 1.84 0.00 1.36 0.976 0.220 0.0934 0.112 0.306 1.04e+03 170 1.26e+05 31.7 355 0.976 0.331 0.102 0.165 0.319
11.0 8 17.75031039882283 13.97154993521126 3.0 3.0 3.0 0.64 0.23 0.039 0.23 0.20 6.0 3.5 3.1 3.0 1.8 3.00 0.875 1.84 0.00 1.36 0.976 0.220 0.0934 0.112 0.306 1.04e+03 170 1.26e+05 31.7 355 0.976 0.331 0.102 0.165 0.319
