#####################################################################
# Alchemist log file - simulation started at: 2025-03-03T13:30+0000 #
#####################################################################
#
# seed = 404.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 1.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 7.931670972625956 11.40428452762321 1.0 1.0 1.0 1.0 0.17 0.17 0.0 0.17 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 7.931670972625956 11.40428452762321 1.0 1.0 1.0 1.0 0.17 0.17 0.0 0.17 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.119 0.110 0.000142 0.110 0.0119 81.5 44.5 2.73e+03 44.5 52.3 0.119 0.0891 0.00176 0.0891 0.0419
2.0 2 7.931670972625956 11.40428452762321 1.0 1.0 1.0 1.0 0.17 0.17 0.0 0.17 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.119 0.110 0.000142 0.110 0.0119 73.4 40.5 2.17e+03 40.5 46.5 0.119 0.0891 0.00176 0.0891 0.0419
3.0 5 5.338615178770863 13.822906658719209 3.0 2.0 2.0 2.0 0.43 0.19 0.027 0.13 0.17 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.883 0.271 0.117 0.125 0.342 73.4 16.2 1.03e+03 0.00 32.1 0.883 0.263 0.121 0.125 0.348
4.0 5 5.338615178770863 13.822906658719209 3.0 2.0 2.0 2.0 0.43 0.19 0.027 0.13 0.17 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.883 0.271 0.117 0.125 0.342 46.8 11.3 411 0.00 20.3 0.883 0.400 0.107 0.289 0.327
5.0 5 5.338615178770863 13.822906658719209 3.0 2.0 2.0 2.0 0.43 0.19 0.027 0.13 0.17 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.883 0.271 0.117 0.125 0.342 1.00e+03 269 1.73e+05 142 416 0.883 0.400 0.107 0.289 0.327
6.0 5 5.338615178770863 13.822906658719209 3.0 2.0 2.0 2.0 0.43 0.19 0.027 0.13 0.17 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.883 0.271 0.117 0.125 0.342 1.00e+03 269 1.73e+05 142 416 0.883 0.400 0.107 0.289 0.327
7.0 8 6.500921558460352 15.693086868524555 5.0 3.0 3.0 3.0 0.69 0.21 0.050 0.13 0.22 5.0 2.8 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 17.3 4.44 60.5 0.126 7.78 1.00e+03 168 1.18e+05 25.8 344 17.3 4.52 59.7 0.434 7.73
8.0 8 6.500921558460352 15.693086868524555 5.0 3.0 3.0 3.0 0.69 0.21 0.050 0.13 0.22 5.0 2.8 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 17.3 4.44 60.5 0.126 7.78 1.00e+03 168 1.18e+05 25.8 344 30.5 8.22 138 0.434 11.8
9.0 8 6.500921558460352 15.693086868524555 5.0 3.0 3.0 3.0 0.69 0.21 0.050 0.13 0.22 5.0 2.8 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 17.3 4.44 60.5 0.126 7.78 1.00e+03 200 1.17e+05 76.8 342 30.5 11.0 120 11.7 10.9
10.0 8 6.500921558460352 15.693086868524555 5.0 3.0 3.0 3.0 0.69 0.21 0.050 0.13 0.22 5.0 2.8 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 17.3 4.44 60.5 0.126 7.78 3.85e+06 9.46e+05 3.04e+12 3.42e+03 1.74e+06 30.5 11.0 120 11.7 10.9
11.0 8 6.500921558460352 15.693086868524555 5.0 3.0 3.0 3.0 0.69 0.21 0.050 0.13 0.22 5.0 2.8 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 17.3 4.44 60.5 0.126 7.78 3.85e+06 9.46e+05 3.04e+12 3.42e+03 1.74e+06 30.5 11.0 120 11.7 10.9
12.0 8 6.500921558460352 15.693086868524555 5.0 3.0 3.0 3.0 0.69 0.21 0.050 0.13 0.22 5.0 2.8 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 17.3 4.44 60.5 0.126 7.78 3.85e+06 9.46e+05 3.04e+12 3.42e+03 1.74e+06 30.5 11.0 120 11.7 10.9
13.0 11 7.342201711606973 18.50693132729111 7.0 4.0 4.0 4.0 0.95 0.22 0.074 0.10 0.27 5.0 3.1 1.7 3.0 1.3 3.00 0.909 1.89 0.00 1.38 108 26.8 1.68e+03 0.883 41.0 3.85e+06 6.88e+05 2.32e+12 29.8 1.52e+06 108 31.6 1.50e+03 16.7 38.7
14.0 11 7.342201711606973 18.50693132729111 7.0 4.0 4.0 4.0 0.95 0.22 0.074 0.10 0.27 5.0 3.1 1.7 3.0 1.3 3.00 0.909 1.89 0.00 1.38 108 26.8 1.68e+03 0.883 41.0 3.85e+06 6.88e+05 2.32e+12 29.8 1.52e+06 260 53.6 6.14e+03 16.7 78.4
15.0 11 7.342201711606973 18.50693132729111 7.0 4.0 4.0 4.0 0.95 0.22 0.074 0.10 0.27 5.0 3.1 1.7 3.0 1.3 3.00 0.909 1.89 0.00 1.38 108 26.8 1.68e+03 0.883 41.0 3.85e+06 6.88e+05 2.32e+12 29.8 1.52e+06 260 73.3 9.38e+03 16.7 96.8
16.0 11 7.342201711606973 18.50693132729111 7.0 4.0 4.0 4.0 0.95 0.22 0.074 0.10 0.27 5.0 3.1 1.7 3.0 1.3 3.00 0.909 1.89 0.00 1.38 108 26.8 1.68e+03 0.883 41.0 3.85e+06 6.88e+05 2.32e+12 29.8 1.52e+06 260 88.3 8.65e+03 62.9 93.0
17.0 11 7.342201711606973 18.50693132729111 7.0 4.0 4.0 4.0 0.95 0.22 0.074 0.10 0.27 5.0 3.1 1.7 3.0 1.3 3.00 0.909 1.89 0.00 1.38 108 26.8 1.68e+03 0.883 41.0 5.41e+10 9.54e+09 3.84e+20 331 1.96e+10 260 88.3 8.65e+03 62.9 93.0
