#####################################################################
# Alchemist log file - simulation started at: 2025-03-05T18:45+0000 #
#####################################################################
#
# seed = 427.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter[max] network-diameter[mean] network-diameter[median] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 Infinity 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.9994837925364402 2 12.487826678004664 9.75358892028101 1.0 0.8156233529154231 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00121 0.00121 0.00 0.00121 0.00 NaN NaN NaN NaN NaN 0.00121 0.00121 0.00 0.00121 0.00 272 272 0.00 272 0.00
1.0546054270058458 2 12.487826678004664 9.75358892028101 1.0 0.8156233529154231 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00121 0.000826 2.88e-07 0.000826 0.000536 0.00 0.00 0.00 0.00 0.00 0.00121 0.000826 2.88e-07 0.000826 0.000536 272 136 3.71e+04 136 193
2.0054404180224155 4 7.755302592985603 9.571751823194106 3.0 0.09944839752995105 3.0 3.0 3.0 2.0 1.5 0.33 1.5 0.58 1.00 0.250 0.250 0.00 0.500 0.00167 0.00125 3.34e-07 0.00144 0.000578 504 336 8.46e+04 504 291 0.00167 0.00136 3.71e-07 0.00166 0.000609 504 320 5.74e+04 388 240
3.0054404180224155 7 8.473250603036075 10.596415047359756 4.0 0.05564031441373558 4.0 4.0 4.0 4.0 2.0 1.3 2.0 1.2 2.00 0.857 0.810 1.00 0.900 0.00167 0.000892 5.20e-07 0.00121 0.000721 136 55.9 3.30e+03 71.7 57.4 0.00332 0.00150 2.03e-06 0.00170 0.00143 272 138 1.24e+04 143 111
4.005440418022415 11 8.95029534409255 10.421308552764037 5.0 0.036314366326308564 5.0 5.0 5.0 4.0 2.4 1.3 2.0 1.1 3.00 0.545 1.07 0.00 1.04 0.737 0.0734 0.0488 0.000699 0.221 285 39.7 7.93e+03 0.981 89.0 0.737 0.0796 0.0481 0.000699 0.219 285 63.0 1.19e+04 5.89 109
5.005440418022415 13 8.973417575918035 11.221702253955575 7.0 0.04291697838563739 5.0 5.0 5.0 5.0 2.8 1.2 3.0 1.1 3.00 0.769 1.03 0.00 1.01 0.737 0.0865 0.0445 0.00121 0.211 98.4 16.9 1.45e+03 0.292 38.1 0.807 0.206 0.113 0.00949 0.336 272 44.4 8.09e+03 0.968 89.9
6.005440418022415 15 8.247954141282056 12.433628537635238 8.0 0.038499526852883215 5.0 5.0 5.0 5.0 2.8 1.3 3.0 1.1 3.00 0.800 1.31 0.00 1.15 1.91 0.282 0.324 0.00167 0.569 67.1 11.1 502 0.0365 22.4 1.91 0.427 0.387 0.0112 0.622 272 40.8 7.18e+03 0.0445 84.7
7.005440418022415 18 7.512738363596816 13.718697355989011 9.0 0.03960245719915268 6.0 6.0 6.0 5.0 3.1 1.9 3.0 1.4 4.00 0.778 1.48 0.00 1.22 11.1 0.889 6.72 0.0184 2.59 67.3 12.0 470 0.0693 21.7 11.1 1.19 6.73 0.0385 2.59 272 37.8 6.05e+03 0.309 77.8
8.005440418022415 22 7.12740840481732 15.514514202209034 11.0 0.03842482598362708 7.0 7.0 7.0 6.0 3.3 2.0 3.0 1.4 4.00 0.818 1.49 0.00 1.22 62.5 4.66 189 0.0379 13.8 65.8 9.51 319 0.135 17.9 62.5 5.72 188 0.361 13.7 272 32.0 4.91e+03 0.931 70.1
