#####################################################################
# Alchemist log file - simulation started at: 2025-03-05T18:45+0000 #
#####################################################################
#
# seed = 330.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter[max] network-diameter[mean] network-diameter[median] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 Infinity 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.9712949622495959 2 11.186107252447197 7.799284301484592 1.0 0.19154997581517796 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00121 0.00121 0.00 0.00121 0.00 NaN NaN NaN NaN NaN 0.00121 0.00121 0.00 0.00121 0.00 272 272 0.00 272 0.00
1.9712949622495959 3 9.449970179276256 9.522865785484754 2.0 0.06364435453520866 2.0 2.0 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00121 0.000806 4.77e-07 0.00121 0.000691 0.00 0.00 0.00 0.00 0.00 0.00121 0.000812 4.84e-07 0.00121 0.000696 272 182 2.47e+04 272 157
2.0225070245506838 5 9.153767915186792 9.309547437725573 4.0 0.027074500101959748 4.0 4.0 4.0 2.0 1.6 0.30 2.0 0.55 1.00 0.200 0.200 0.00 0.447 0.0142 0.00594 5.77e-05 0.00121 0.00760 1.85e+04 9.30e+03 1.12e+08 9.30e+03 1.06e+04 0.0142 0.00595 5.77e-05 0.00121 0.00760 1.85e+04 7.49e+03 1.00e+08 272 1.00e+04
3.015139499052244 7 8.838329026872662 11.550009819424742 4.0 0.03223362963454356 4.0 4.0 4.0 3.0 2.0 1.0 2.0 1.0 2.00 0.429 0.619 0.00 0.787 0.163 0.0474 0.00381 0.0142 0.0617 1.85e+04 3.14e+03 5.63e+07 98.5 7.50e+03 0.163 0.0495 0.00361 0.0155 0.0601 1.85e+04 2.73e+03 4.81e+07 197 6.93e+03
4.015139499052244 10 8.502678541097598 12.411020985467859 5.0 0.03939289411750327 5.0 5.0 5.0 5.0 2.4 2.0 2.0 1.4 3.00 0.700 0.900 0.500 0.949 3.13 0.612 1.46 0.0455 1.21 90.8 27.0 1.48e+03 0.0571 38.4 3.13 1.19 1.99 0.216 1.41 272 66.8 8.71e+03 30.9 93.3
5.015139499052244 14 6.889473715928637 14.254286332048595 7.0 0.03745760685942016 6.0 6.0 6.0 6.0 3.1 2.6 3.0 1.6 4.00 0.714 1.45 0.00 1.20 7.25 1.10 4.28 0.0473 2.07 68.2 18.6 657 0.000336 25.6 7.25 1.74 4.42 1.06 2.10 272 56.6 7.98e+03 0.00214 89.3
6.015139499052244 15 7.222027763643313 14.409608963488889 8.0 0.0401331502065216 6.0 6.0 6.0 6.0 3.5 2.8 3.0 1.7 5.00 0.867 1.84 0.00 1.36 7.25 1.05 4.02 0.0768 2.00 67.8 9.42 465 0.0105 21.6 10.4 2.80 10.5 1.75 3.24 272 36.1 6.00e+03 0.0153 77.4
7.015139499052244 19 6.358111872254471 16.05243026650709 10.0 0.04587187450735241 6.0 6.0 6.0 6.0 3.5 2.9 3.0 1.7 5.00 0.789 1.73 0.00 1.32 27.8 3.23 49.5 0.163 7.04 57.3 11.5 270 0.191 16.4 27.8 5.13 52.6 2.40 7.25 272 38.7 4.83e+03 0.666 69.5
8.015139499052244 23 5.751265019327536 17.20685199478957 12.0 0.04399104174484244 7.0 7.0 7.0 7.0 3.9 3.1 4.0 1.8 5.00 0.783 1.72 0.00 1.31 27.8 3.95 66.3 0.316 8.14 28.6 7.96 109 1.30 10.5 35.1 8.83 117 2.00 10.8 272 29.6 3.62e+03 2.26 60.1
