#####################################################################
# Alchemist log file - simulation started at: 2025-03-05T18:45+0000 #
#####################################################################
#
# seed = 466.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter[max] network-diameter[mean] network-diameter[median] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 Infinity 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.450603632359347 2 12.154887030243673 11.26746277534593 1.0 0.1830670924229296 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00121 0.00121 0.00 0.00121 0.00 NaN NaN NaN NaN NaN 0.00121 0.00121 0.00 0.00121 0.00 272 272 0.00 272 0.00
1.450603632359347 3 10.742561488597557 9.329686325158688 2.0 0.06628448821988643 2.0 2.0 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00922 0.00388 2.14e-05 0.00121 0.00463 0.00 0.00 0.00 0.00 0.00 0.0104 0.0100 4.84e-07 0.0104 0.000696 272 182 2.47e+04 272 157
2.450603632359347 6 8.911911790788103 9.304737621875462 3.0 0.04343069566788105 4.0 4.0 4.0 3.0 1.7 0.67 1.5 0.82 2.00 0.667 1.07 0.00 1.03 0.238 0.0416 0.00925 0.00121 0.0962 154 72.6 7.07e+03 68.1 84.1 0.238 0.0446 0.00897 0.00983 0.0947 272 139 1.49e+04 145 122
3.450603632359347 9 8.670619865922347 11.053576851318793 4.0 0.03307984147099629 5.0 5.0 5.0 3.0 1.8 0.69 2.0 0.83 3.00 0.556 1.03 0.00 1.01 0.238 0.0504 0.00801 0.00175 0.0895 205 48.4 5.70e+03 0.0763 75.5 0.250 0.104 0.0140 0.0309 0.118 272 83.4 1.19e+04 0.153 109
4.450603632359347 13 10.16358827138795 13.046849655289284 6.0 0.03632747497077253 6.0 6.0 6.0 4.0 2.2 0.81 2.0 0.90 3.00 0.615 0.923 0.00 0.961 1.82 0.308 0.306 0.00922 0.553 67.7 17.0 775 0.311 27.8 1.82 0.363 0.288 0.171 0.536 272 51.7 8.24e+03 0.620 90.8
5.450603632359347 15 10.253623648126199 13.864688479250539 7.0 0.0345146004984524 6.0 6.0 6.0 4.0 2.4 1.1 3.0 1.1 3.00 0.800 1.17 0.00 1.08 18.1 1.48 21.5 0.0309 4.63 85.7 14.6 708 2.61 26.6 18.1 1.78 20.9 0.454 4.57 272 48.8 7.61e+03 4.03 87.3
6.450603632359347 21 10.264353461000676 15.798119019734502 10.0 0.0418284814348208 7.0 7.0 7.0 5.0 2.9 1.5 3.0 1.2 3.00 0.667 1.13 0.00 1.06 18.1 2.81 25.7 0.156 5.07 50.7 10.2 208 0.380 14.4 19.9 4.19 36.8 0.957 6.07 272 36.7 5.26e+03 0.735 72.5
7.450603632359347 28 11.682990448381114 17.60154964120111 12.0 0.04180499172097892 8.0 8.0 8.0 7.0 3.4 2.9 3.0 1.7 3.00 0.750 1.01 0.00 1.00 116 11.0 711 0.205 26.7 51.0 7.43 172 0.000247 13.1 116 14.1 705 4.05 26.6 272 28.8 4.27e+03 0.00346 65.4
8.450603632359346 29 11.440015306308698 17.759194178391045 13.0 0.04329802713958531 8.0 8.0 8.0 7.0 3.5 2.8 3.0 1.7 4.00 0.931 1.14 1.00 1.07 116 10.8 686 0.238 26.2 51.6 4.17 153 0.00215 12.4 145 25.2 1.43e+03 7.65 37.8 272 22.9 4.44e+03 0.00231 66.6
9.450603632359346 30 11.14342488439673 18.057669212816513 13.0 0.04479106255819171 8.0 8.0 8.0 7.0 3.5 2.7 3.5 1.6 5.00 1.00 1.59 1.00 1.26 116 11.4 671 0.512 25.9 61.6 6.07 209 0.0125 14.5 244 38.3 3.54e+03 8.79 59.5 272 24.6 3.97e+03 0.0335 63.0
10.450603632359346 36 11.118957866848593 18.22428618184156 18.0 0.04570673308181744 8.0 8.0 8.0 10 4.6 5.9 4.0 2.4 5.00 0.806 1.30 0.00 1.14 221 15.8 1.81e+03 0.796 42.5 41.5 5.30 90.0 1.10 9.49 340 47.8 6.52e+03 7.67 80.7 272 23.0 3.20e+03 1.10 56.5
11.450603632359346 39 11.079318682966822 18.963221907380014 19.0 0.04951562750530223 8.0 8.0 8.0 10 4.9 5.4 5.0 2.3 5.00 0.897 1.57 0.00 1.25 255 22.8 3.17e+03 0.875 56.3 37.9 5.31 86.2 1.27 9.29 345 67.4 1.16e+04 7.69 108 272 23.9 3.39e+03 1.46 58.2
12.450603632359346 39 11.079318682966822 18.963221907380014 18.0 0.04951562750530223 8.0 8.0 8.0 10 4.9 5.4 5.0 2.3 5.00 1.03 1.60 1.00 1.27 255 22.8 3.17e+03 0.875 56.3 43.4 3.22 90.0 0.00836 9.48 426 97.8 1.98e+04 11.9 141 272 20.4 3.68e+03 0.0167 60.7
13.450603632359346 40 11.091993395810778 18.790770742737216 19.0 0.05078525897979715 8.0 8.0 8.0 10 5.1 5.4 5.0 2.3 5.00 0.950 1.59 1.00 1.26 255 22.2 3.11e+03 0.841 55.7 42.2 3.74 100 0.0948 10.0 763 114 3.16e+04 9.77 178 272 19.7 3.41e+03 0.172 58.4
14.450603632359346 41 11.110177463914896 19.249908920813084 19.0 0.04556305442789958 9.0 9.0 9.0 10 5.0 5.6 5.0 2.4 5.00 0.976 1.72 1.00 1.31 264 28.1 4.45e+03 0.875 66.7 29.9 4.51 59.6 0.596 7.72 811 145 5.35e+04 11.9 231 272 22.0 3.01e+03 1.13 54.9
15.450603632359346 43 10.907550795430144 19.907122759547796 19.0 0.04778564244877273 9.0 9.0 9.0 10 4.9 5.4 5.0 2.3 5.00 0.930 1.69 1.00 1.30 274 37.0 6.03e+03 0.938 77.7 34.4 2.59 54.7 0.00 7.40 1.18e+03 161 6.94e+04 26.9 263 272 17.1 3.22e+03 0.00 56.8
16.450603632359346 43 10.907550795430144 19.907122759547796 19.0 0.04778564244877273 9.0 9.0 9.0 10 4.9 5.4 5.0 2.3 4.00 1.05 1.28 1.00 1.13 274 37.0 6.03e+03 0.938 77.7 36.1 2.32 65.0 7.75e-07 8.06 1.30e+03 177 7.70e+04 33.7 278 272 14.1 2.44e+03 1.98e-06 49.4
17.450603632359346 44 10.969310879829136 19.91888244726285 19.0 0.048896936459209304 9.0 9.0 9.0 11 5.2 7.1 5.0 2.7 4.00 0.955 1.21 1.00 1.10 274 36.2 5.92e+03 1.04 76.9 55.7 3.40 111 0.00606 10.5 1.21e+03 199 1.01e+05 9.77 318 272 15.4 2.44e+03 0.0162 49.4
18.450603632359346 45 11.247239005649082 19.89943329225095 20.0 0.050008230469645885 9.0 9.0 9.0 11 5.2 7.1 5.0 2.7 4.00 0.978 1.29 1.00 1.14 274 35.4 5.81e+03 0.938 76.2 52.4 3.42 81.7 0.208 9.04 1.36e+03 217 1.31e+05 7.32 361 272 15.8 2.57e+03 0.276 50.7
19.450603632359346 45 11.247239005649082 19.89943329225095 20.0 0.050008230469645885 9.0 9.0 9.0 11 5.2 7.1 5.0 2.7 4.00 0.978 1.29 1.00 1.14 274 35.4 5.81e+03 0.938 76.2 54.4 3.45 82.3 0.162 9.07 1.60e+03 233 1.63e+05 7.32 403 272 17.6 2.82e+03 0.317 53.1
20.450603632359346 47 10.931100011514987 20.467684091023656 21.0 0.05223081849051903 9.0 9.0 9.0 11 5.2 6.9 5.0 2.6 4.00 0.936 1.28 1.00 1.13 274 38.5 5.78e+03 1.15 76.0 54.3 4.90 108 0.219 10.4 1.59e+03 227 1.56e+05 7.65 395 272 20.0 2.78e+03 0.419 52.7
21.450603632359346 47 10.931100011514987 20.467684091023656 21.0 0.05223081849051903 9.0 9.0 9.0 11 5.2 6.9 5.0 2.6 4.00 0.979 1.33 1.00 1.15 274 38.5 5.78e+03 1.15 76.0 54.4 4.74 99.9 0.279 10.0 1.59e+03 232 1.60e+05 7.65 400 272 19.8 2.76e+03 0.419 52.5
22.450603632359346 47 10.931100011514987 20.467684091023656 21.0 0.05223081849051903 9.0 9.0 9.0 11 5.2 6.9 5.0 2.6 4.00 0.979 1.33 1.00 1.15 274 38.5 5.78e+03 1.15 76.0 54.4 4.73 100 0.278 10.0 1.71e+03 244 1.82e+05 7.65 426 272 19.8 2.76e+03 0.419 52.5
