#####################################################################
# Alchemist log file - simulation started at: 2025-03-07T10:42+0000 #
#####################################################################
#
# seed = 430.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.7099586257658193 2 11.040094304490129 7.726631609754548 1.0 0.21145963051281313 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00134 0.00134 0.00 0.00134 0.00 NaN NaN NaN NaN NaN 0.00134 0.00134 0.00 0.00134 0.00 262 262 0.00 262 0.00
1.7099586257658193 3 10.82940552148356 10.145528909242246 2.0 0.15132925456632867 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00134 0.000893 5.87e-07 0.00134 0.000766 0.00 0.00 0.00 0.00 0.00 0.00134 0.000899 5.94e-07 0.00134 0.000771 262 175 2.29e+04 262 151
2.709958625765819 6 10.283318769574446 11.395188822575852 3.0 0.08127717182200851 4.0 3.0 2.0 0.80 2.0 0.89 2.00 0.667 1.07 0.00 1.03 3.49 0.602 2.01 0.00134 1.42 2.05e+04 5.16e+03 1.05e+08 65.5 1.02e+04 3.49 0.641 1.95 0.119 1.40 2.05e+04 3.53e+03 6.92e+07 197 8.32e+03
3.709958625765819 9 10.54405292410202 13.604773572170176 4.0 0.05191660323396202 5.0 4.0 2.2 1.4 2.0 1.2 3.00 0.556 1.03 0.00 1.01 33.3 4.20 120 0.118 11.0 177 43.9 4.43e+03 0.00634 66.6 33.3 5.00 115 0.774 10.7 262 77.9 1.04e+04 0.0127 102
4.709958625765819 12 10.274002162480418 14.804936761599983 6.0 0.06436842362917984 6.0 6.0 3.0 2.4 3.0 1.5 4.00 0.750 1.48 0.00 1.22 72.4 9.27 485 0.119 22.0 63.4 17.9 855 0.000238 29.2 72.4 12.8 526 0.969 22.9 262 54.3 8.14e+03 1.58 90.2
5.709958625765819 18 10.068277258613204 16.867084257119473 10.0 0.04886424271649673 7.0 7.0 3.7 3.9 3.5 2.0 5.00 0.667 1.65 0.00 1.28 237 26.7 3.71e+03 0.447 60.9 56.0 12.2 342 0.000210 18.5 237 36.8 3.87e+03 1.05 62.2 262 39.6 5.29e+03 0.000315 72.7
6.709958625765819 23 10.936837781472091 17.879770079633392 12.0 0.045755007942665564 7.0 8.0 4.6 3.7 5.0 1.9 7.00 0.826 2.60 0.00 1.61 237 23.6 2.93e+03 1.04 54.2 107 9.93 559 0.423 23.6 309 50.9 7.93e+03 5.57 89.0 262 30.9 4.92e+03 0.820 70.2
7.070229766297384 26 10.57902248152504 18.81805767538551 15.0 0.04900507127759965 8.0 9.0 4.5 4.7 5.0 2.2 7.00 0.846 2.30 0.00 1.52 237 31.4 4.17e+03 1.18 64.6 109 8.90 495 2.38 22.2 457 74.9 1.54e+04 7.03 124 262 29.2 4.49e+03 2.41 67.0
8.070229766297384 27 10.924903107869092 19.197012407694015 14.0 0.05059579905390262 8.0 9.0 4.5 4.5 5.0 2.1 8.00 0.963 2.88 0.00 1.70 237 31.2 4.01e+03 1.30 63.4 75.8 6.95 283 0.493 16.8 517 115 3.04e+04 15.3 174 262 29.3 5.03e+03 0.716 70.9
9.070229766297384 28 11.173770347158314 19.700057651296607 14.0 0.05036381676961855 8.0 9.0 4.5 4.6 5.0 2.1 8.00 0.929 2.66 0.00 1.63 237 33.5 4.02e+03 2.40 63.4 76.8 8.63 397 0.135 19.9 590 148 4.38e+04 29.5 209 262 30.1 4.98e+03 0.357 70.6
