#####################################################################
# Alchemist log file - simulation started at: 2025-03-05T18:45+0000 #
#####################################################################
#
# seed = 403.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter[max] network-diameter[mean] network-diameter[median] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 Infinity 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.7917517742178328 2 7.607160166499913 10.72409773595508 1.0 0.2885753193912431 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00121 0.00121 0.00 0.00121 0.00 NaN NaN NaN NaN NaN 0.00121 0.00121 0.00 0.00121 0.00 272 272 0.00 272 0.00
1.7917517742178328 3 10.023255426820848 10.084870227254717 2.0 0.11778685402516374 2.0 2.0 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00311 0.00184 1.21e-06 0.00121 0.00110 0.00 0.00 0.00 0.00 0.00 0.00432 0.00391 4.84e-07 0.00432 0.000696 272 182 2.47e+04 272 157
2.7917517742178326 6 10.557878987899729 10.682452799720018 3.0 0.0556392134074163 4.0 4.0 4.0 3.0 1.7 0.67 1.5 0.82 2.00 0.667 1.07 0.00 1.03 0.00311 0.00116 1.19e-06 0.00119 0.00109 189 81.3 9.28e+03 68.1 96.3 0.00454 0.00227 4.28e-06 0.00214 0.00207 272 145 1.53e+04 163 124
3.0412857087418192 9 9.377147874682754 11.448666494973992 4.0 0.030990611508846026 5.0 5.0 5.0 3.0 2.0 0.75 2.0 0.87 2.00 0.444 0.528 0.00 0.726 0.879 0.119 0.0833 0.00121 0.289 247 53.6 7.52e+03 6.04 86.7 0.879 0.119 0.0832 0.00315 0.288 272 88.0 1.27e+04 12.1 113
4.024301590669641 11 10.794080238948949 12.230672329497168 5.0 0.03082280372003894 6.0 6.0 6.0 4.0 2.4 0.85 2.0 0.92 3.00 0.727 1.02 0.00 1.01 1.71 0.252 0.301 0.00121 0.548 93.5 19.6 1.52e+03 1.33 39.0 1.71 0.349 0.324 0.0547 0.570 272 52.1 8.83e+03 2.65 94.0
5.024301590669641 15 10.833446100880149 14.15526742898001 8.0 0.029816479085275342 7.0 7.0 7.0 4.0 2.5 0.98 3.0 0.99 3.00 0.667 1.10 0.00 1.05 14.7 1.39 14.0 0.00311 3.75 57.8 18.3 605 3.35 24.6 14.7 1.65 13.8 0.134 3.71 272 49.3 6.48e+03 13.1 80.5
6.024301590669641 17 11.241865799586362 15.076944310820988 8.0 0.03379200962997872 7.0 7.0 7.0 4.0 2.7 1.3 3.0 1.2 3.00 0.941 1.18 1.00 1.09 14.7 1.77 15.1 0.0489 3.89 86.6 15.9 722 2.04 26.9 17.3 4.12 38.9 1.64 6.24 272 51.9 7.48e+03 3.76 86.5
7.017031958096271 20 11.287700015497347 15.970425065920006 10.0 0.03371232270005061 7.0 7.0 7.0 5.0 3.0 1.8 3.0 1.3 3.00 0.850 1.19 0.500 1.09 14.7 2.48 21.3 0.107 4.62 51.0 11.4 287 0.132 17.0 23.0 5.66 74.2 1.81 8.62 272 41.4 5.90e+03 2.64 76.8
8.017031958096272 23 12.25835663626712 16.837403537930815 13.0 0.03839809616573888 7.0 7.0 7.0 6.0 3.1 2.2 3.0 1.5 3.00 0.913 1.26 0.00 1.12 75.9 5.50 254 0.134 15.9 51.1 8.56 201 0.0172 14.2 98.8 16.3 968 1.74 31.1 272 36.8 5.40e+03 0.0352 73.5
