#####################################################################
# Alchemist log file - simulation started at: 2025-03-06T15:51+0000 #
#####################################################################
#
# seed = 59.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 NaN 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.9130352425159232 2 10.410921518309264 7.534002533296027 1.0 0.4934219827491592 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00134 0.00134 0.00 0.00134 0.00 NaN NaN NaN NaN NaN 0.00134 0.00134 0.00 0.00134 0.00 262 262 0.00 262 0.00
1.9130352425159232 3 11.722368959160194 9.180534024548026 2.0 0.09322777622372101 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00134 0.000892 5.89e-07 0.00134 0.000768 0.00 0.00 0.00 0.00 0.00 0.00134 0.000896 5.94e-07 0.00134 0.000771 262 175 2.29e+04 262 151
2.056328687241533 5 11.954961833005235 9.183317096572008 2.0 0.03276179230970506 4.0 2.0 1.6 0.30 2.0 0.55 1.00 0.200 0.200 0.00 0.447 0.0528 0.0128 0.000518 0.00134 0.0228 3.01e+04 7.55e+03 2.26e+08 65.5 1.50e+04 0.0528 0.0128 0.000518 0.00134 0.0228 3.01e+04 6.10e+03 1.80e+08 131 1.34e+04
3.0269651073515704 9 11.1670539982676 9.88051535306179 5.0 0.02588153623793713 5.0 4.0 2.4 1.0 3.0 1.0 2.00 0.444 0.528 0.00 0.726 0.231 0.0328 0.00581 9.37e-05 0.0762 199 71.6 7.63e+03 43.7 87.4 0.231 0.0397 0.00573 9.37e-05 0.0757 262 102 1.14e+04 87.3 107
4.004585769086218 12 13.514492589255147 11.971275898462617 7.0 0.026311403284095546 6.0 4.0 3.0 1.3 3.0 1.1 3.00 0.667 0.970 0.00 0.985 1.84 0.203 0.274 0.00547 0.523 98.2 22.3 1.14e+03 0.0531 33.7 1.84 0.232 0.268 0.0631 0.518 262 54.6 7.81e+03 0.137 88.4
5.004585769086218 16 13.968609539693114 13.256871557434128 10.0 0.035081871045460726 6.0 7.0 4.0 3.6 4.0 1.9 4.00 0.688 1.30 0.00 1.14 1.84 0.314 0.380 0.0312 0.616 69.5 19.9 757 0.183 27.5 2.13 0.470 0.560 0.0682 0.748 262 48.7 6.48e+03 4.34 80.5
6.004585769086218 19 14.43488326215009 14.061078447619911 11.0 0.03618881390849792 6.0 8.0 4.2 5.0 4.0 2.2 4.00 0.737 1.54 0.00 1.24 1.84 0.307 0.324 0.0528 0.570 69.3 17.1 598 3.06 24.4 2.75 0.603 0.810 0.238 0.900 262 43.5 5.75e+03 4.16 75.8
7.004585769086218 20 14.096634982619634 14.230763199579144 11.0 0.03809348832473465 6.0 8.0 4.2 4.7 4.0 2.2 5.00 1.00 2.00 1.00 1.41 1.84 0.296 0.258 0.0605 0.508 34.9 6.00 105 0.0317 10.3 3.77 0.874 1.50 0.288 1.22 262 33.5 5.53e+03 0.0430 74.4
8.002787139091135 23 13.398353413149657 14.550744403136067 12.0 0.043807511573444854 6.0 8.0 4.3 4.5 4.0 2.1 5.00 0.826 1.97 0.00 1.40 7.80 0.606 2.69 0.0682 1.64 34.9 6.09 92.1 0.326 9.60 7.80 1.37 5.20 0.238 2.28 262 28.1 4.56e+03 0.644 67.5
9.002787139091135 25 14.13342790040651 15.087604689830155 14.0 0.03476587670711826 7.0 8.0 4.2 4.6 4.0 2.2 5.00 0.880 2.11 0.00 1.45 7.80 0.870 4.57 0.0682 2.14 43.4 8.21 172 2.41 13.1 8.78 1.96 9.22 0.238 3.04 262 29.4 4.41e+03 2.81 66.4
10.002787139091135 28 14.762949992374406 16.136864123088607 15.0 0.03892903029185146 7.0 8.0 4.2 4.2 4.0 2.1 5.00 0.893 1.95 0.00 1.40 61.2 3.32 136 0.0701 11.6 52.6 8.90 246 0.752 15.7 69.0 8.94 424 0.391 20.6 262 29.6 3.86e+03 1.32 62.1
11.002787139091135 32 14.80799381207724 17.49113384719937 16.0 0.03895356590175819 7.0 8.0 4.1 4.2 4.0 2.0 5.00 0.906 1.89 0.00 1.38 67.9 7.37 332 0.161 18.2 39.7 6.99 123 0.682 11.1 137 19.6 1.39e+03 0.666 37.3 262 24.9 3.26e+03 1.22 57.1
12.002787139091135 34 14.495538840832996 17.891305654992493 17.0 0.03983935325250151 7.0 8.0 4.2 3.9 4.0 2.0 5.00 0.912 1.84 0.00 1.36 125 12.6 840 0.225 29.0 68.5 7.32 238 0.888 15.4 269 30.5 3.37e+03 0.972 58.1 262 26.0 3.71e+03 1.53 60.9
13.002787139091135 38 14.781952867700332 19.199386628707153 17.0 0.03887414029214162 8.0 8.0 4.3 4.4 4.5 2.1 5.00 0.868 1.74 0.00 1.32 277 23.9 3.35e+03 0.297 57.9 65.7 6.78 161 1.43 12.7 394 54.4 9.50e+03 3.66 97.5 262 23.0 3.00e+03 2.09 54.8
14.002787139091135 40 14.600303814036039 19.624189097922134 18.0 0.040920147675938545 8.0 9.0 4.7 4.6 5.0 2.1 5.00 0.925 1.61 1.00 1.27 277 29.4 4.10e+03 0.377 64.0 74.9 5.76 184 0.229 13.6 596 83.7 2.07e+04 9.05 144 262 21.9 3.12e+03 0.430 55.8
15.002787139091135 40 14.600303814036039 19.624189097922134 18.0 0.040920147675938545 8.0 9.0 4.7 4.6 5.0 2.1 5.00 1.03 1.61 1.00 1.27 277 29.4 4.10e+03 0.377 64.0 79.4 5.41 204 0.185 14.3 1.02e+03 129 5.06e+04 13.0 225 262 21.4 3.27e+03 0.570 57.2
16.002787139091133 41 14.637087557270997 20.03276230396785 19.0 0.040911264489666595 8.0 9.0 4.6 4.5 5.0 2.1 5.00 0.951 1.60 1.00 1.26 277 32.7 4.44e+03 0.402 66.6 79.9 5.56 217 0.523 14.7 1.02e+03 142 5.45e+04 16.1 233 262 20.5 3.26e+03 0.899 57.1
17.002787139091133 42 14.625720481415867 20.284036073022065 19.0 0.041909100208926756 8.0 10 4.9 5.1 5.0 2.2 5.00 0.952 1.61 1.00 1.27 277 36.0 4.79e+03 0.416 69.2 72.5 5.03 174 0.235 13.2 1.11e+03 169 6.62e+04 61.6 257 262 19.3 2.96e+03 0.519 54.4
18.002787139091133 42 14.625720481415867 20.284036073022065 19.0 0.041909100208926756 8.0 10 4.9 5.1 5.0 2.2 5.00 0.976 1.58 1.00 1.26 277 36.0 4.79e+03 0.416 69.2 53.4 4.33 99.0 0.276 9.95 1.58e+03 202 1.03e+05 62.6 321 262 17.6 2.36e+03 0.452 48.6
19.002787139091133 43 14.392750145286318 20.437604578080485 19.0 0.042906935928186916 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.55 1.00 1.24 277 36.4 4.68e+03 0.429 68.4 45.6 4.47 85.0 0.294 9.22 1.18e+03 207 9.12e+04 57.3 302 262 18.2 2.18e+03 0.785 46.7
20.002787139091133 44 14.127716234737557 20.41388499607643 20.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.955 1.53 1.00 1.24 277 35.6 4.60e+03 0.486 67.8 46.9 4.99 94.9 0.973 9.74 1.40e+03 221 1.20e+05 55.5 347 262 19.2 2.23e+03 1.21 47.2
21.002787139091133 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.60 1.00 1.27 277 35.6 4.60e+03 0.486 67.8 51.7 5.23 107 1.24 10.3 1.40e+03 220 1.27e+05 55.5 357 262 19.9 2.32e+03 1.48 48.2
22.002787139091133 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 54.6 5.22 108 1.01 10.4 1.56e+03 226 1.43e+05 55.5 378 262 19.6 2.32e+03 1.51 48.2
23.002787139091133 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 58.9 5.32 121 0.909 11.0 2.02e+03 227 1.54e+05 55.5 392 262 20.0 2.45e+03 1.36 49.5
24.002787139091133 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 4.83 94.8 0.651 9.74 1.57e+03 216 1.21e+05 55.5 348 262 18.5 2.24e+03 0.976 47.3
25.002787139091133 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.05 102 1.03 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.2 2.29e+03 1.54 47.9
26.002787139091133 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.08 102 0.930 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.3 2.29e+03 1.40 47.9
27.002787139091133 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.08 102 0.930 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.3 2.29e+03 1.40 47.9
28.002787139091133 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.08 102 0.930 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.3 2.29e+03 1.40 47.9
29.002787139091133 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.08 102 0.930 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.3 2.29e+03 1.40 47.9
30.002787139091133 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.08 102 0.930 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.3 2.29e+03 1.40 47.9
31.002787139091133 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.08 102 0.930 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.3 2.29e+03 1.40 47.9
32.00278713909113 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.08 102 0.930 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.3 2.29e+03 1.40 47.9
33.00278713909113 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.08 102 0.930 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.3 2.29e+03 1.40 47.9
34.00278713909113 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.08 102 0.930 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.3 2.29e+03 1.40 47.9
35.00278713909113 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.08 102 0.930 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.3 2.29e+03 1.40 47.9
36.00278713909113 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.08 102 0.930 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.3 2.29e+03 1.40 47.9
37.00278713909113 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.08 102 0.930 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.3 2.29e+03 1.40 47.9
38.00278713909113 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.08 102 0.930 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.3 2.29e+03 1.40 47.9
39.00278713909113 44 14.127716234737557 20.41388499607643 19.0 0.04390477164744708 8.0 10 4.8 4.9 5.0 2.2 5.00 0.977 1.51 1.00 1.23 277 35.6 4.60e+03 0.486 67.8 53.0 5.08 102 0.930 10.1 1.57e+03 216 1.21e+05 55.5 348 262 19.3 2.29e+03 1.40 47.9
