#####################################################################
# Alchemist log file - simulation started at: 2025-03-05T18:45+0000 #
#####################################################################
#
# seed = 362.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-density network-diameter[max] network-diameter[mean] network-diameter[median] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 Infinity 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.06420174588274308 2 7.564490498294944 10.564175032329853 1.0 0.3638868098939762 1.0 1.0 1.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00121 0.00121 0.00 0.00121 0.00 NaN NaN NaN NaN NaN 0.00121 0.00121 0.00 0.00121 0.00 272 272 0.00 272 0.00
1.064201745882743 3 9.507625966186698 9.152212923902306 2.0 0.07561988748400998 2.0 2.0 2.0 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00226 0.00156 3.70e-07 0.00121 0.000609 0.00 0.00 0.00 0.00 0.00 0.00346 0.00306 4.84e-07 0.00346 0.000696 272 182 2.47e+04 272 157
2.064201745882743 6 9.146164643546618 8.200929964116325 3.0 0.07116569320485121 4.0 4.0 4.0 3.0 1.7 0.67 1.5 0.82 2.00 0.667 1.07 0.00 1.03 0.00226 0.000791 8.51e-07 0.000617 0.000922 209 86.3 1.08e+04 68.1 104 0.00348 0.00155 2.99e-06 0.00114 0.00173 272 148 1.57e+04 173 125
3.064201745882743 9 6.3360986574074065 7.642947661957071 4.0 0.0500667658052016 5.0 5.0 5.0 4.0 2.4 0.78 2.0 0.88 3.00 0.556 1.03 0.00 1.01 0.00266 0.000691 1.17e-06 2.94e-05 0.00108 278 57.4 9.57e+03 0.741 97.8 0.00356 0.000959 2.09e-06 2.97e-05 0.00144 278 91.4 1.46e+04 1.48 121
4.064201745882743 11 6.379478989996849 7.918790188307835 5.0 0.06119271376191306 5.0 5.0 5.0 5.0 3.1 1.5 3.0 1.2 3.00 0.727 1.02 0.00 1.01 0.00273 0.000817 1.37e-06 2.97e-05 0.00117 131 20.4 1.93e+03 0.724 44.0 0.00622 0.00152 5.22e-06 4.65e-05 0.00229 272 55.7 9.68e+03 1.45 98.4
5.064201745882743 12 6.220803416437074 8.567098118942045 6.0 0.0509692896838618 5.0 5.0 5.0 6.0 3.3 1.9 3.0 1.4 5.00 1.00 2.36 0.500 1.54 0.102 0.00925 0.000855 3.81e-05 0.0292 73.6 11.7 646 0.814 25.4 0.102 0.0104 0.000842 4.74e-05 0.0290 272 52.3 9.43e+03 0.899 97.1
6.064201745882743 13 6.357578956054447 9.388552041536071 6.0 0.04287044320716711 5.0 5.0 5.0 6.0 3.2 2.2 3.0 1.5 5.00 0.923 2.08 0.00 1.44 2.09 0.169 0.332 4.65e-05 0.577 51.4 10.8 388 0.481 19.7 2.09 0.186 0.328 4.83e-05 0.573 272 42.5 6.72e+03 0.700 82.0
7.064201745882743 15 6.370649602350835 10.349554927510418 7.0 0.04850684389851909 6.0 6.0 6.0 6.0 3.2 2.5 3.0 1.6 5.00 0.800 1.74 0.00 1.32 2.30 0.300 0.592 0.00121 0.770 70.6 16.1 840 0.715 29.0 2.30 0.453 0.811 0.00229 0.901 272 47.9 7.76e+03 1.34 88.1
8.064201745882743 18 6.892137262771343 11.478125385605729 9.0 0.05396732265381591 6.0 6.0 6.0 7.0 3.7 2.9 3.5 1.7 5.00 0.778 1.59 0.00 1.26 5.45 0.638 2.02 0.00246 1.42 74.0 13.6 603 0.217 24.6 5.45 1.13 2.83 0.00362 1.68 272 44.6 7.16e+03 0.700 84.6
