#####################################################################
# Alchemist log file - simulation started at: 2025-02-18T11:24+0000 #
#####################################################################
#
# seed = 4.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
16.0 11 17.045167066313734 5.511554135975863 4.0 4.0 4.0 1.0 0.21 0.083 0.094 0.29 5.0 2.9 1.3 3.0 1.1 3.00 0.909 1.89 0.00 1.38 0.102 0.100 4.40e-07 0.100 0.000663 15.7 7.94 46.5 5.74 6.82 0.188 0.119 0.00120 0.100 0.0346
17.0 11 17.045167066313734 5.511554135975863 4.0 4.0 4.0 1.0 0.21 0.083 0.094 0.29 5.0 2.9 1.3 3.0 1.1 3.00 0.909 1.89 0.00 1.38 0.102 0.100 4.40e-07 0.100 0.000663 12.8 6.02 15.5 5.66 3.94 0.188 0.119 0.00120 0.100 0.0346
18.0 11 17.045167066313734 5.511554135975863 4.0 4.0 4.0 1.0 0.21 0.083 0.094 0.29 5.0 2.9 1.3 3.0 1.1 3.00 0.909 1.89 0.00 1.38 0.102 0.100 4.40e-07 0.100 0.000663 12.8 6.02 15.5 5.66 3.94 0.188 0.119 0.00120 0.100 0.0346
19.0 11 17.045167066313734 5.511554135975863 4.0 4.0 4.0 1.0 0.21 0.083 0.094 0.29 5.0 2.9 1.3 3.0 1.1 3.00 0.909 1.89 0.00 1.38 0.102 0.100 4.40e-07 0.100 0.000663 12.8 6.02 15.5 5.66 3.94 0.188 0.119 0.00120 0.100 0.0346
20.0 11 17.045167066313734 5.511554135975863 4.0 4.0 4.0 1.0 0.21 0.083 0.094 0.29 5.0 2.9 1.3 3.0 1.1 3.00 0.909 1.89 0.00 1.38 0.102 0.100 4.40e-07 0.100 0.000663 12.8 6.02 15.5 5.66 3.94 0.188 0.119 0.00120 0.100 0.0346
21.0 12 17.570366895312873 6.364005129463464 5.0 5.0 5.0 1.1 0.21 0.092 0.092 0.30 5.0 2.8 1.6 3.0 1.3 3.00 0.917 1.72 0.00 1.31 0.109 0.101 5.99e-06 0.100 0.00245 12.8 5.52 17.1 4.47 4.14 0.188 0.118 0.00110 0.100 0.0332
22.0 12 17.570366895312873 6.364005129463464 5.0 5.0 5.0 1.1 0.21 0.092 0.092 0.30 5.0 2.8 1.6 3.0 1.3 3.00 0.917 1.72 0.00 1.31 0.109 0.101 5.99e-06 0.100 0.00245 12.8 5.52 17.1 4.47 4.14 0.188 0.114 0.00143 0.100 0.0378
23.0 12 17.570366895312873 6.364005129463464 5.0 5.0 5.0 1.1 0.21 0.092 0.092 0.30 5.0 2.8 1.6 3.0 1.3 3.00 0.917 1.72 0.00 1.31 0.109 0.101 5.99e-06 0.100 0.00245 12.8 5.52 17.1 4.47 4.14 0.188 0.112 0.00132 0.100 0.0363
24.0 12 17.570366895312873 6.364005129463464 5.0 5.0 5.0 1.1 0.21 0.092 0.092 0.30 5.0 2.8 1.6 3.0 1.3 3.00 0.917 1.72 0.00 1.31 0.109 0.101 5.99e-06 0.100 0.00245 12.8 5.52 17.1 4.47 4.14 0.188 0.111 0.00119 0.100 0.0346
25.0 12 17.570366895312873 6.364005129463464 5.0 5.0 5.0 1.1 0.21 0.092 0.092 0.30 5.0 2.8 1.6 3.0 1.3 3.00 0.917 1.72 0.00 1.31 0.109 0.101 5.99e-06 0.100 0.00245 14.2 5.76 21.2 4.47 4.60 0.182 0.111 0.00113 0.100 0.0336
26.0 12 17.570366895312873 6.364005129463464 5.0 5.0 5.0 1.1 0.21 0.092 0.092 0.30 5.0 2.8 1.6 3.0 1.3 3.00 0.917 1.72 0.00 1.31 0.109 0.101 5.99e-06 0.100 0.00245 14.2 3.87 21.7 2.28 4.66 0.182 0.111 0.00113 0.100 0.0336
27.0 12 17.570366895312873 6.364005129463464 5.0 5.0 5.0 1.1 0.21 0.092 0.092 0.30 5.0 2.8 1.6 3.0 1.3 3.00 0.917 1.72 0.00 1.31 0.109 0.101 5.99e-06 0.100 0.00245 14.2 3.87 21.7 2.28 4.66 0.182 0.111 0.00113 0.100 0.0336
28.0 12 17.570366895312873 6.364005129463464 5.0 5.0 5.0 1.1 0.21 0.092 0.092 0.30 5.0 2.8 1.6 3.0 1.3 3.00 0.917 1.72 0.00 1.31 0.109 0.101 5.99e-06 0.100 0.00245 14.2 3.87 21.7 2.28 4.66 0.182 0.111 0.00113 0.100 0.0336
29.0 12 17.570366895312873 6.364005129463464 5.0 5.0 5.0 1.1 0.21 0.092 0.092 0.30 5.0 2.8 1.6 3.0 1.3 3.00 0.917 1.72 0.00 1.31 0.109 0.101 5.99e-06 0.100 0.00245 14.2 3.87 21.7 2.28 4.66 0.182 0.111 0.00113 0.100 0.0336
30.0 12 17.570366895312873 6.364005129463464 5.0 5.0 5.0 1.1 0.21 0.092 0.092 0.30 5.0 2.8 1.6 3.0 1.3 3.00 0.917 1.72 0.00 1.31 0.109 0.101 5.99e-06 0.100 0.00245 14.2 3.87 21.7 2.28 4.66 0.182 0.111 0.00113 0.100 0.0336
31.0 13 17.486638027965927 5.608655397201621 5.0 5.0 5.0 1.2 0.22 0.10 0.10 0.32 5.0 2.9 1.6 3.0 1.3 3.00 0.923 1.58 0.00 1.26 0.109 0.101 5.57e-06 0.100 0.00236 14.2 3.57 21.1 1.69 4.59 0.182 0.110 0.00104 0.100 0.0323
32.0 13 17.486638027965927 5.608655397201621 5.0 5.0 5.0 1.2 0.22 0.10 0.10 0.32 5.0 2.9 1.6 3.0 1.3 3.00 0.923 1.58 0.00 1.26 0.109 0.101 5.57e-06 0.100 0.00236 14.2 3.57 21.1 1.69 4.59 0.182 0.106 0.00131 0.100 0.0362
33.0 13 17.486638027965927 5.608655397201621 5.0 5.0 5.0 1.2 0.22 0.10 0.10 0.32 5.0 2.9 1.6 3.0 1.3 3.00 0.923 1.58 0.00 1.26 0.109 0.101 5.57e-06 0.100 0.00236 14.2 3.57 21.1 1.69 4.59 0.182 0.106 0.00131 0.100 0.0362
34.0 13 17.486638027965927 5.608655397201621 5.0 5.0 5.0 1.2 0.22 0.10 0.10 0.32 5.0 2.9 1.6 3.0 1.3 3.00 0.923 1.58 0.00 1.26 0.109 0.101 5.57e-06 0.100 0.00236 14.2 3.57 21.1 1.69 4.59 0.182 0.106 0.00131 0.100 0.0362
35.0 13 17.486638027965927 5.608655397201621 5.0 5.0 5.0 1.2 0.22 0.10 0.10 0.32 5.0 2.9 1.6 3.0 1.3 3.00 0.923 1.58 0.00 1.26 0.109 0.101 5.57e-06 0.100 0.00236 14.2 3.57 21.1 1.69 4.59 0.182 0.106 0.00131 0.100 0.0362
36.0 13 17.486638027965927 5.608655397201621 5.0 5.0 5.0 1.2 0.22 0.10 0.10 0.32 5.0 2.9 1.6 3.0 1.3 3.00 0.923 1.58 0.00 1.26 0.109 0.101 5.57e-06 0.100 0.00236 15.5 3.75 25.1 1.69 5.01 0.164 0.103 0.00108 0.100 0.0329
37.0 13 17.486638027965927 5.608655397201621 5.0 5.0 5.0 1.2 0.22 0.10 0.10 0.32 5.0 2.9 1.6 3.0 1.3 3.00 0.923 1.58 0.00 1.26 0.109 0.101 5.57e-06 0.100 0.00236 15.5 4.40 30.5 1.66 5.53 0.164 0.103 0.00108 0.100 0.0329
38.0 13 17.486638027965927 5.608655397201621 5.0 5.0 5.0 1.2 0.22 0.10 0.10 0.32 5.0 2.9 1.6 3.0 1.3 3.00 0.923 1.58 0.00 1.26 0.109 0.101 5.57e-06 0.100 0.00236 15.5 4.40 30.5 1.66 5.53 0.164 0.103 0.00108 0.100 0.0329
39.0 13 17.486638027965927 5.608655397201621 5.0 5.0 5.0 1.2 0.22 0.10 0.10 0.32 5.0 2.9 1.6 3.0 1.3 3.00 0.923 1.58 0.00 1.26 0.109 0.101 5.57e-06 0.100 0.00236 15.5 4.40 30.5 1.66 5.53 0.164 0.103 0.00108 0.100 0.0329
40.0 13 17.486638027965927 5.608655397201621 5.0 5.0 5.0 1.2 0.22 0.10 0.10 0.32 5.0 2.9 1.6 3.0 1.3 3.00 0.923 1.58 0.00 1.26 0.109 0.101 5.57e-06 0.100 0.00236 15.5 4.40 30.5 1.66 5.53 0.164 0.103 0.00108 0.100 0.0329
41.0 13 17.486638027965927 5.608655397201621 5.0 5.0 5.0 1.2 0.22 0.10 0.10 0.32 5.0 2.9 1.6 3.0 1.3 3.00 0.923 1.58 0.00 1.26 0.109 0.101 5.57e-06 0.100 0.00236 15.5 4.40 30.5 1.66 5.53 0.164 0.103 0.00108 0.100 0.0329
42.0 15 17.140813783525648 4.144160766349713 6.0 6.0 6.0 1.4 0.22 0.12 0.11 0.34 5.0 3.1 1.8 3.0 1.3 3.00 0.933 1.50 0.00 1.22 0.109 0.101 4.88e-06 0.100 0.00221 15.5 3.81 28.6 1.35 5.35 0.164 0.103 0.000931 0.100 0.0305
43.0 15 17.140813783525648 4.144160766349713 6.0 6.0 6.0 1.4 0.22 0.12 0.11 0.34 5.0 3.1 1.8 3.0 1.3 3.00 0.933 1.50 0.00 1.22 0.109 0.101 4.88e-06 0.100 0.00221 15.5 3.81 28.6 1.35 5.35 0.164 0.103 0.000931 0.100 0.0305
44.0 15 17.140813783525648 4.144160766349713 6.0 6.0 6.0 1.4 0.22 0.12 0.11 0.34 5.0 3.1 1.8 3.0 1.3 3.00 0.933 1.50 0.00 1.22 0.109 0.101 4.88e-06 0.100 0.00221 15.5 3.81 28.6 1.35 5.35 0.164 0.103 0.000931 0.100 0.0305
45.0 15 17.140813783525648 4.144160766349713 6.0 6.0 6.0 1.4 0.22 0.12 0.11 0.34 5.0 3.1 1.8 3.0 1.3 3.00 0.933 1.50 0.00 1.22 0.109 0.101 4.88e-06 0.100 0.00221 15.5 3.81 28.6 1.35 5.35 0.164 0.103 0.000931 0.100 0.0305
