#####################################################################
# Alchemist log file - simulation started at: 2025-02-17T17:17+0000 #
#####################################################################
#
# maxResource = 423.26904261900836, maxSuccess = 702.3922332879557, resourceLowerBound = 5.1292413176645155, seed = 7
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.8081671403801955 2 10.526625669296887 12.44390372241576 1.0 1.0 1.0 0.39 0.39 0.0 0.39 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00262 0.00262 0.00 0.00262 0.00 NaN NaN NaN NaN NaN 0.00262 0.00262 0.00 0.00262 0.00 423 423 0.00 423 0.00
1.8081671403801955 3 8.995251704458399 10.659992530390719 2.0 2.0 2.0 0.58 0.33 0.13 0.33 0.36 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.211 0.0720 0.0144 0.00262 0.120 0.00 0.00 0.00 0.00 0.00 0.213 0.212 2.28e-06 0.213 0.00151 423 282 5.97e+04 423 244
2.8081671403801955 6 9.148987407851305 11.161404693520282 4.0 4.0 4.0 1.2 0.29 0.24 0.061 0.49 3.0 2.0 0.80 2.0 0.89 2.00 0.667 1.07 0.00 1.03 1.12 0.223 0.201 0.00262 0.448 214 106 1.51e+04 106 123 1.12 0.293 0.175 0.212 0.419 423 212 3.58e+04 213 189
3.8081671403801955 9 10.490450504319947 13.304492792099003 5.0 5.0 5.0 1.7 0.29 0.35 0.054 0.59 4.0 2.2 1.4 2.0 1.2 3.00 0.556 1.03 0.00 1.01 7.49 1.64 8.28 0.191 2.88 286 71.0 1.16e+04 0.0580 108 7.49 1.93 7.60 1.12 2.76 423 126 2.72e+04 0.116 165
4.8081671403801955 14 11.539289000117739 15.602808020836767 6.0 6.0 6.0 2.7 0.29 0.54 0.074 0.73 5.0 2.6 1.6 2.0 1.3 4.00 0.643 1.32 0.00 1.15 24.5 4.93 70.3 0.381 8.39 92.5 24.4 1.55e+03 0.00905 39.4 24.5 6.48 63.9 5.85 7.99 423 74.1 1.72e+04 0.0136 131
5.8081671403801955 18 11.801702243366137 16.991935648386143 6.0 6.0 6.0 3.5 0.30 0.69 0.068 0.83 7.0 3.3 4.1 3.5 2.0 4.00 0.722 1.27 0.00 1.13 187 18.3 2.08e+03 0.894 45.6 92.1 19.9 1.23e+03 2.49 35.0 187 23.4 1.99e+03 7.85 44.6 423 61.6 1.38e+04 2.76 118
6.0279360482492965 23 11.94442274873787 18.4378003690117 7.0 7.0 7.0 4.5 0.31 0.88 0.085 0.94 7.0 3.7 3.6 4.0 1.9 4.00 0.739 1.38 0.00 1.18 187 17.4 1.65e+03 2.55 40.6 51.7 15.2 362 2.75 19.0 211 35.1 3.32e+03 15.2 57.6 423 52.8 9.74e+03 3.01 98.7
7.0279360482492965 25 11.44130537038519 19.158177537458936 7.0 7.0 7.0 4.9 0.31 0.95 0.077 0.98 7.0 3.7 3.4 4.0 1.8 4.00 0.920 1.83 0.00 1.35 448 36.8 8.97e+03 4.07 94.7 51.3 14.1 314 2.20 17.7 448 68.7 1.11e+04 22.9 105 423 51.1 8.97e+03 4.82 94.7
8.027936048249297 28 10.966957707168806 19.963234358202364 7.0 7.0 7.0 5.4 0.31 1.1 0.071 1.0 8.0 4.1 4.3 4.0 2.1 5.00 0.857 1.98 0.00 1.41 448 42.7 9.38e+03 5.90 96.9 79.5 12.4 435 1.19 20.8 635 99.8 2.26e+04 27.8 150 423 43.8 8.65e+03 2.33 93.0
9.004079161874714 32 10.646642540744024 20.969440718274935 7.0 7.0 7.0 6.2 0.32 1.2 0.073 1.1 8.0 4.6 3.5 4.0 1.9 5.00 0.906 1.77 0.00 1.33 448 53.5 1.17e+04 6.91 108 55.2 10.5 239 4.80 15.5 683 146 4.18e+04 33.6 204 423 41.8 7.54e+03 7.21 86.8
10.004079161874714 32 10.646642540744024 20.969440718274935 7.0 7.0 7.0 6.2 0.32 1.2 0.073 1.1 8.0 4.6 3.5 4.0 1.9 5.00 1.03 1.90 0.500 1.38 448 61.7 1.41e+04 6.91 119 55.4 8.28 233 1.50 15.3 953 264 9.94e+04 50.1 315 423 38.5 7.75e+03 1.66 88.0
