#####################################################################
# Alchemist log file - simulation started at: 2024-12-05T09:41+0000 #
#####################################################################
#
# seed = 14.0
#
# The columns have the following meaning: 
# time children-count[min] children-count[max] children-count[mean] local-success[min] local-success[max] local-success[mean] resource[min] resource[max] resource[mean] success[min] success[max] success[mean] local-resource[min] local-resource[max] local-resource[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.9773208638491293 0.00 0.00 0.00 0.00373 0.00373 0.00373 NaN NaN NaN 0.00373 0.00373 0.00373 1.00e+03 1.00e+03 1.00e+03
1.9773208638491293 0.00 1.00 0.500 0.00373 0.244 0.124 0.00 0.00 0.00 0.244 0.247 0.246 0.00 1.00e+03 500
2.9773208638491293 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
3.9773208638491293 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
4.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
5.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
6.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
7.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
8.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
9.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
10.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
11.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
12.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
13.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
14.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
15.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
16.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
17.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
18.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
19.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
20.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
21.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
22.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
23.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
24.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
25.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
26.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
27.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
28.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
29.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
30.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
31.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
32.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
33.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
34.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
35.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
36.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
37.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
38.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
39.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
40.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
41.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
42.97732086384913 0.00 1.00 0.500 0.00373 0.244 0.124 500 500 500 0.244 0.247 0.246 500 1.00e+03 750
43.97732086384913 0.00 1.00 0.667 0.00373 0.244 0.0837 500 500 500 0.244 0.247 0.246 500 1.00e+03 833
44.02253042591884 0.00 1.00 0.250 4.10e-05 0.244 0.123 500 508 503 4.10e-05 0.247 0.184 500 1.00e+03 627
45.02253042591884 0.00 2.00 0.750 4.10e-05 6.55 1.70 0.00 333 111 4.10e-05 6.79 3.40 0.00 1.00e+03 417
46.02253042591884 0.00 2.00 0.750 4.10e-05 6.55 1.70 0.00402 333 222 4.10e-05 6.80 5.04 0.00402 1.00e+03 500
47.02253042591884 0.00 2.00 0.750 4.10e-05 6.55 1.70 0.00402 333 222 4.10e-05 6.80 5.04 0.00402 1.00e+03 500
48.08999060007932 0.00 2.00 1.00 0.00373 6.55 2.27 333 333 333 6.55 6.80 6.71 333 1.00e+03 667
49.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
50.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
51.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
52.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
53.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
54.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
55.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
56.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
57.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
58.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
59.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
60.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
61.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
62.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
63.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
64.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
65.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
66.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
67.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
68.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
69.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
70.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
71.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
72.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
73.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
74.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
75.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
76.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
77.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
78.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
79.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
80.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
81.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
82.08999060007932 0.00 1.00 0.667 0.00373 6.55 2.27 250 250 250 6.55 6.80 6.71 250 1.00e+03 583
