#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T15:28+0000 #
#####################################################################
#
# maxResource = 3.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 3.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[variance] network-diameter[median] network-diameter[StandardDeviation] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
15.0 11 -0.892462883841689 9.396034589586604 4.0 4.0 0.0 4.0 0.0 2.9 0.41 0.77 0.083 0.88 5.0 2.7 1.8 2.0 1.3 3.00 0.909 1.89 0.00 1.38 120 24.1 1.56e+03 3.99 39.6 4.24e+06 6.69e+05 1.92e+12 33.8 1.39e+06 230 65.0 7.02e+03 19.1 83.8
16.0 11 -0.892462883841689 9.396034589586604 4.0 4.0 0.0 4.0 0.0 2.9 0.41 0.77 0.083 0.88 5.0 2.7 1.8 2.0 1.3 3.00 0.909 1.89 0.00 1.38 120 24.1 1.56e+03 3.99 39.6 4.24e+06 6.69e+05 1.92e+12 33.8 1.39e+06 230 78.6 6.96e+03 67.0 83.4
17.0 11 -0.892462883841689 9.396034589586604 4.0 4.0 0.0 4.0 0.0 2.9 0.41 0.77 0.083 0.88 5.0 2.7 1.8 2.0 1.3 3.00 0.909 1.89 0.00 1.38 120 24.1 1.56e+03 3.99 39.6 6.05e+12 6.52e+11 3.31e+24 54.7 1.82e+12 230 78.6 6.96e+03 67.0 83.4
18.0 11 -0.892462883841689 9.396034589586604 4.0 4.0 0.0 4.0 0.0 2.9 0.41 0.77 0.083 0.88 5.0 2.7 1.8 2.0 1.3 3.00 0.909 1.89 0.00 1.38 120 24.1 1.56e+03 3.99 39.6 6.05e+12 6.52e+11 3.31e+24 54.7 1.82e+12 230 78.6 6.96e+03 67.0 83.4
19.0 11 -0.892462883841689 9.396034589586604 4.0 4.0 0.0 4.0 0.0 2.9 0.41 0.77 0.083 0.88 5.0 2.7 1.8 2.0 1.3 3.00 0.909 1.89 0.00 1.38 120 24.1 1.56e+03 3.99 39.6 6.05e+12 6.52e+11 3.31e+24 54.7 1.82e+12 230 78.6 6.96e+03 67.0 83.4
20.0 11 -0.892462883841689 9.396034589586604 4.0 4.0 0.0 4.0 0.0 2.9 0.41 0.77 0.083 0.88 5.0 2.7 1.8 2.0 1.3 3.00 0.909 1.89 0.00 1.38 120 24.1 1.56e+03 3.99 39.6 6.05e+12 6.52e+11 3.31e+24 54.7 1.82e+12 230 78.6 6.96e+03 67.0 83.4
21.0 14 0.20336549008019636 11.96939750347428 5.0 5.0 0.0 5.0 0.0 3.7 0.41 0.97 0.097 0.99 5.0 3.0 1.2 3.0 1.1 3.00 0.929 1.92 0.00 1.38 357 77.1 1.36e+04 13.5 117 6.05e+12 5.12e+11 2.63e+24 32.2 1.62e+12 357 120 1.34e+04 99.5 116
22.0 14 0.20336549008019636 11.96939750347428 5.0 5.0 0.0 5.0 0.0 3.7 0.41 0.97 0.097 0.99 5.0 3.0 1.2 3.0 1.1 3.00 0.929 1.92 0.00 1.38 357 77.1 1.36e+04 13.5 117 6.05e+12 5.12e+11 2.63e+24 32.2 1.62e+12 815 170 4.79e+04 106 219
23.0 14 0.20336549008019636 11.96939750347428 5.0 5.0 0.0 5.0 0.0 3.7 0.41 0.97 0.097 0.99 5.0 3.0 1.2 3.0 1.1 3.00 0.929 1.92 0.00 1.38 357 77.1 1.36e+04 13.5 117 6.05e+12 5.12e+11 2.63e+24 32.2 1.62e+12 898 219 8.59e+04 106 293
24.0 14 0.20336549008019636 11.96939750347428 5.0 5.0 0.0 5.0 0.0 3.7 0.41 0.97 0.097 0.99 5.0 3.0 1.2 3.0 1.1 3.00 0.929 1.92 0.00 1.38 357 77.1 1.36e+04 13.5 117 6.05e+12 5.12e+11 2.63e+24 32.2 1.62e+12 925 269 1.22e+05 106 349
25.0 14 0.20336549008019636 11.96939750347428 5.0 5.0 0.0 5.0 0.0 3.7 0.41 0.97 0.097 0.99 5.0 3.0 1.2 3.0 1.1 3.00 0.929 1.92 0.00 1.38 357 77.1 1.36e+04 13.5 117 6.05e+12 5.12e+11 2.63e+24 36.2 1.62e+12 925 312 1.20e+05 222 347
26.0 14 0.20336549008019636 11.96939750347428 5.0 5.0 0.0 5.0 0.0 3.7 0.41 0.97 0.097 0.99 5.0 3.0 1.2 3.0 1.1 3.00 0.929 1.92 0.00 1.38 357 77.1 1.36e+04 13.5 117 7.40e+40 5.54e+39 3.89e+80 110 1.97e+40 925 312 1.20e+05 222 347
27.0 14 0.20336549008019636 11.96939750347428 5.0 5.0 0.0 5.0 0.0 3.7 0.41 0.97 0.097 0.99 5.0 3.0 1.2 3.0 1.1 3.00 0.929 1.92 0.00 1.38 357 77.1 1.36e+04 13.5 117 7.40e+40 5.54e+39 3.89e+80 110 1.97e+40 925 312 1.20e+05 222 347
28.0 14 0.20336549008019636 11.96939750347428 5.0 5.0 0.0 5.0 0.0 3.7 0.41 0.97 0.097 0.99 5.0 3.0 1.2 3.0 1.1 3.00 0.929 1.92 0.00 1.38 357 77.1 1.36e+04 13.5 117 7.40e+40 5.54e+39 3.89e+80 110 1.97e+40 925 312 1.20e+05 222 347
29.0 14 0.20336549008019636 11.96939750347428 5.0 5.0 0.0 5.0 0.0 3.7 0.41 0.97 0.097 0.99 5.0 3.0 1.2 3.0 1.1 3.00 0.929 1.92 0.00 1.38 357 77.1 1.36e+04 13.5 117 7.40e+40 5.54e+39 3.89e+80 110 1.97e+40 925 312 1.20e+05 222 347
30.0 14 0.20336549008019636 11.96939750347428 5.0 5.0 0.0 5.0 0.0 3.7 0.41 0.97 0.097 0.99 5.0 3.0 1.2 3.0 1.1 3.00 0.929 1.92 0.00 1.38 357 77.1 1.36e+04 13.5 117 7.40e+40 5.54e+39 3.89e+80 110 1.97e+40 925 312 1.20e+05 222 347
31.0 17 0.32342292590003163 13.66420775145813 6.0 6.0 0.0 6.0 0.0 4.5 0.42 1.2 0.092 1.1 6.0 3.3 2.0 4.0 1.4 3.00 0.941 1.93 0.00 1.39 470 118 2.39e+04 30.1 154 7.40e+40 4.56e+39 3.21e+80 14.2 1.79e+40 925 311 1.02e+05 268 320
32.0 17 0.32342292590003163 13.66420775145813 6.0 6.0 0.0 6.0 0.0 4.5 0.42 1.2 0.092 1.1 6.0 3.3 2.0 4.0 1.4 3.00 0.941 1.93 0.00 1.39 470 118 2.39e+04 30.1 154 7.40e+40 4.56e+39 3.21e+80 14.2 1.79e+40 925 345 1.25e+05 268 353
33.0 17 0.32342292590003163 13.66420775145813 6.0 6.0 0.0 6.0 0.0 4.5 0.42 1.2 0.092 1.1 6.0 3.3 2.0 4.0 1.4 3.00 0.941 1.93 0.00 1.39 470 118 2.39e+04 30.1 154 7.40e+40 4.56e+39 3.21e+80 14.2 1.79e+40 1.38e+03 378 1.77e+05 268 420
34.0 17 0.32342292590003163 13.66420775145813 6.0 6.0 0.0 6.0 0.0 4.5 0.42 1.2 0.092 1.1 6.0 3.3 2.0 4.0 1.4 3.00 0.941 1.93 0.00 1.39 470 118 2.39e+04 30.1 154 7.40e+40 4.56e+39 3.21e+80 14.2 1.79e+40 1.46e+03 411 2.32e+05 268 482
35.0 17 0.32342292590003163 13.66420775145813 6.0 6.0 0.0 6.0 0.0 4.5 0.42 1.2 0.092 1.1 6.0 3.3 2.0 4.0 1.4 3.00 0.941 1.93 0.00 1.39 470 118 2.39e+04 30.1 154 7.40e+40 4.56e+39 3.21e+80 14.2 1.79e+40 1.49e+03 445 2.88e+05 268 536
36.0 17 0.32342292590003163 13.66420775145813 6.0 6.0 0.0 6.0 0.0 4.5 0.42 1.2 0.092 1.1 6.0 3.3 2.0 4.0 1.4 3.00 0.941 1.93 0.00 1.39 470 118 2.39e+04 30.1 154 7.40e+40 4.56e+39 3.21e+80 15.5 1.79e+40 1.49e+03 474 2.95e+05 282 544
37.0 17 0.32342292590003163 13.66420775145813 6.0 6.0 0.0 6.0 0.0 4.5 0.42 1.2 0.092 1.1 6.0 3.3 2.0 4.0 1.4 3.00 0.941 1.93 0.00 1.39 470 118 2.39e+04 30.1 154 2.96e+107 1.74e+106 5.15e+213 20.8 7.17e+106 1.49e+03 474 2.95e+05 282 544
38.0 17 0.32342292590003163 13.66420775145813 6.0 6.0 0.0 6.0 0.0 4.5 0.42 1.2 0.092 1.1 6.0 3.3 2.0 4.0 1.4 3.00 0.941 1.93 0.00 1.39 470 118 2.39e+04 30.1 154 2.96e+107 1.74e+106 5.15e+213 20.8 7.17e+106 1.49e+03 474 2.95e+05 282 544
39.0 17 0.32342292590003163 13.66420775145813 6.0 6.0 0.0 6.0 0.0 4.5 0.42 1.2 0.092 1.1 6.0 3.3 2.0 4.0 1.4 3.00 0.941 1.93 0.00 1.39 470 118 2.39e+04 30.1 154 2.96e+107 1.74e+106 5.15e+213 20.8 7.17e+106 1.49e+03 474 2.95e+05 282 544
40.0 17 0.32342292590003163 13.66420775145813 6.0 6.0 0.0 6.0 0.0 4.5 0.42 1.2 0.092 1.1 6.0 3.3 2.0 4.0 1.4 3.00 0.941 1.93 0.00 1.39 470 118 2.39e+04 30.1 154 2.96e+107 1.74e+106 5.15e+213 20.8 7.17e+106 1.49e+03 474 2.95e+05 282 544
41.0 17 0.32342292590003163 13.66420775145813 6.0 6.0 0.0 6.0 0.0 4.5 0.42 1.2 0.092 1.1 6.0 3.3 2.0 4.0 1.4 3.00 0.941 1.93 0.00 1.39 470 118 2.39e+04 30.1 154 2.96e+107 1.74e+106 5.15e+213 20.8 7.17e+106 1.49e+03 474 2.95e+05 282 544
42.0 17 0.32342292590003163 13.66420775145813 6.0 6.0 0.0 6.0 0.0 4.5 0.42 1.2 0.092 1.1 6.0 3.3 2.0 4.0 1.4 3.00 0.941 1.93 0.00 1.39 470 118 2.39e+04 30.1 154 2.96e+107 1.74e+106 5.15e+213 20.8 7.17e+106 1.49e+03 474 2.95e+05 282 544
43.0 20 -0.3991882664527898 15.852949289319056 7.0 7.0 0.0 7.0 0.0 5.2 0.43 1.4 0.11 1.2 6.0 3.4 1.7 3.5 1.3 3.00 0.950 1.94 0.00 1.39 470 139 2.30e+04 87.7 152 2.96e+107 1.48e+106 4.38e+213 7.88 6.61e+106 1.49e+03 442 2.55e+05 264 505
44.0 20 -0.3991882664527898 15.852949289319056 7.0 7.0 0.0 7.0 0.0 5.2 0.43 1.4 0.11 1.2 6.0 3.4 1.7 3.5 1.3 3.00 0.950 1.94 0.00 1.39 470 139 2.30e+04 87.7 152 2.96e+107 1.48e+106 4.38e+213 7.88 6.61e+106 1.49e+03 458 2.61e+05 264 511
45.0 20 -0.3991882664527898 15.852949289319056 7.0 7.0 0.0 7.0 0.0 5.2 0.43 1.4 0.11 1.2 6.0 3.4 1.7 3.5 1.3 3.00 0.950 1.94 0.00 1.39 470 139 2.30e+04 87.7 152 2.96e+107 1.48e+106 4.38e+213 7.88 6.61e+106 1.49e+03 473 2.81e+05 264 530
46.0 20 -0.3991882664527898 15.852949289319056 7.0 7.0 0.0 7.0 0.0 5.2 0.43 1.4 0.11 1.2 6.0 3.4 1.7 3.5 1.3 3.00 0.950 1.94 0.00 1.39 470 139 2.30e+04 87.7 152 2.96e+107 1.48e+106 4.38e+213 7.88 6.61e+106 1.70e+03 489 3.17e+05 264 563
47.0 20 -0.3991882664527898 15.852949289319056 7.0 7.0 0.0 7.0 0.0 5.2 0.43 1.4 0.11 1.2 6.0 3.4 1.7 3.5 1.3 3.00 0.950 1.94 0.00 1.39 470 139 2.30e+04 87.7 152 2.96e+107 1.48e+106 4.38e+213 7.88 6.61e+106 1.78e+03 505 3.54e+05 264 595
48.0 20 -0.3991882664527898 15.852949289319056 7.0 7.0 0.0 7.0 0.0 5.2 0.43 1.4 0.11 1.2 6.0 3.4 1.7 3.5 1.3 3.00 0.950 1.94 0.00 1.39 470 139 2.30e+04 87.7 152 2.96e+107 1.48e+106 4.38e+213 7.88 6.61e+106 1.81e+03 521 3.92e+05 264 626
49.0 20 -0.3991882664527898 15.852949289319056 7.0 7.0 0.0 7.0 0.0 5.2 0.43 1.4 0.11 1.2 6.0 3.4 1.7 3.5 1.3 3.00 0.950 1.94 0.00 1.39 470 139 2.30e+04 87.7 152 2.96e+107 1.48e+106 4.38e+213 8.46 6.61e+106 1.81e+03 535 4.00e+05 264 632
50.0 20 -0.3991882664527898 15.852949289319056 7.0 7.0 0.0 7.0 0.0 5.2 0.43 1.4 0.11 1.2 6.0 3.4 1.7 3.5 1.3 3.00 0.950 1.94 0.00 1.39 470 139 2.30e+04 87.7 152 3.36e+131 1.68e+130 5.65e+261 8.38 7.52e+130 1.81e+03 535 4.00e+05 264 632
