#####################################################################
# Alchemist log file - simulation started at: 2025-02-17T17:16+0000 #
#####################################################################
#
# seed = 10.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 7.745781329357656 8.919029054540566 1.0 1.0 1.0 0.21 0.21 0.0 0.21 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 7.745781329357656 8.919029054540566 1.0 1.0 1.0 0.21 0.21 0.0 0.21 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.50e-06 0.101 0.00123 68.9 38.2 1.88e+03 38.2 43.3 0.100 0.0751 0.00125 0.0751 0.0353
2.0 2 7.745781329357656 8.919029054540566 1.0 1.0 1.0 0.21 0.21 0.0 0.21 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.101 1.50e-06 0.101 0.00123 62.0 34.8 1.48e+03 34.8 38.5 0.100 0.0751 0.00125 0.0751 0.0353
3.0 5 5.281232052640428 5.761461609031817 2.0 2.0 2.0 0.51 0.20 0.044 0.098 0.21 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.73e-07 0.100 0.000820 62.0 13.9 733 0.00 27.1 0.100 0.0901 0.000497 0.100 0.0223
4.0 5 5.281232052640428 5.761461609031817 2.0 2.0 2.0 0.51 0.20 0.044 0.098 0.21 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.73e-07 0.100 0.000820 15.0 4.91 49.0 0.00 7.00 0.150 0.105 0.000748 0.100 0.0274
5.0 5 5.281232052640428 5.761461609031817 2.0 2.0 2.0 0.51 0.20 0.044 0.098 0.21 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.73e-07 0.100 0.000820 36.9 26.8 196 36.9 14.0 0.150 0.105 0.000748 0.100 0.0274
6.0 5 5.281232052640428 5.761461609031817 2.0 2.0 2.0 0.51 0.20 0.044 0.098 0.21 4.0 2.8 1.2 3.0 1.1 3.00 0.800 1.70 0.00 1.30 0.102 0.100 6.73e-07 0.100 0.000820 36.9 26.8 196 36.9 14.0 0.150 0.105 0.000748 0.100 0.0274
7.0 8 2.207767740214801 5.335677515318818 3.0 3.0 3.0 0.82 0.22 0.071 0.14 0.27 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.27e-07 0.100 0.000654 36.9 16.7 304 11.5 17.4 0.150 0.103 0.000434 0.100 0.0208
8.0 8 2.207767740214801 5.335677515318818 3.0 3.0 3.0 0.82 0.22 0.071 0.14 0.27 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.27e-07 0.100 0.000654 36.9 16.7 304 11.5 17.4 0.150 0.109 0.000702 0.100 0.0265
9.0 8 2.207767740214801 5.335677515318818 3.0 3.0 3.0 0.82 0.22 0.071 0.14 0.27 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.27e-07 0.100 0.000654 36.9 16.9 301 12.3 17.3 0.175 0.114 0.000956 0.100 0.0309
10.0 8 2.207767740214801 5.335677515318818 3.0 3.0 3.0 0.82 0.22 0.071 0.14 0.27 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.27e-07 0.100 0.000654 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
11.0 8 2.207767740214801 5.335677515318818 3.0 3.0 3.0 0.82 0.22 0.071 0.14 0.27 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.27e-07 0.100 0.000654 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
12.0 8 2.207767740214801 5.335677515318818 3.0 3.0 3.0 0.82 0.22 0.071 0.14 0.27 6.0 3.3 1.9 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.102 0.100 4.27e-07 0.100 0.000654 15.7 10.5 27.4 11.7 5.23 0.175 0.114 0.000956 0.100 0.0309
13.0 11 0.3376504180343494 6.642422617866731 4.0 4.0 4.0 1.1 0.24 0.10 0.12 0.32 6.0 3.5 2.1 3.0 1.4 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.06e-07 0.100 0.000553 15.7 7.63 43.2 5.74 6.57 0.175 0.110 0.000712 0.100 0.0267
14.0 11 0.3376504180343494 6.642422617866731 4.0 4.0 4.0 1.1 0.24 0.10 0.12 0.32 6.0 3.5 2.1 3.0 1.4 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.06e-07 0.100 0.000553 15.7 7.63 43.2 5.74 6.57 0.175 0.115 0.000838 0.100 0.0289
15.0 11 0.3376504180343494 6.642422617866731 4.0 4.0 4.0 1.1 0.24 0.10 0.12 0.32 6.0 3.5 2.1 3.0 1.4 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.06e-07 0.100 0.000553 15.7 7.63 43.2 5.74 6.57 0.175 0.117 0.00107 0.100 0.0327
16.0 11 0.3376504180343494 6.642422617866731 4.0 4.0 4.0 1.1 0.24 0.10 0.12 0.32 6.0 3.5 2.1 3.0 1.4 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.06e-07 0.100 0.000553 15.7 7.94 46.4 5.74 6.81 0.188 0.119 0.00120 0.100 0.0346
17.0 11 0.3376504180343494 6.642422617866731 4.0 4.0 4.0 1.1 0.24 0.10 0.12 0.32 6.0 3.5 2.1 3.0 1.4 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.06e-07 0.100 0.000553 12.8 5.99 15.5 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
18.0 11 0.3376504180343494 6.642422617866731 4.0 4.0 4.0 1.1 0.24 0.10 0.12 0.32 6.0 3.5 2.1 3.0 1.4 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.06e-07 0.100 0.000553 12.8 5.99 15.5 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
19.0 11 0.3376504180343494 6.642422617866731 4.0 4.0 4.0 1.1 0.24 0.10 0.12 0.32 6.0 3.5 2.1 3.0 1.4 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.06e-07 0.100 0.000553 12.8 5.99 15.5 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
20.0 11 0.3376504180343494 6.642422617866731 4.0 4.0 4.0 1.1 0.24 0.10 0.12 0.32 6.0 3.5 2.1 3.0 1.4 3.00 0.909 1.89 0.00 1.38 0.102 0.100 3.06e-07 0.100 0.000553 12.8 5.99 15.5 5.65 3.93 0.188 0.119 0.00120 0.100 0.0346
21.0 12 -0.33984160437116406 6.864478736472301 5.0 5.0 5.0 1.2 0.24 0.11 0.13 0.33 6.0 3.7 1.9 3.5 1.4 3.00 0.917 1.72 0.00 1.31 0.102 0.100 2.82e-07 0.100 0.000531 12.8 5.49 17.0 4.46 4.13 0.188 0.117 0.00112 0.100 0.0334
22.0 12 -0.33984160437116406 6.864478736472301 5.0 5.0 5.0 1.2 0.24 0.11 0.13 0.33 6.0 3.7 1.9 3.5 1.4 3.00 0.917 1.72 0.00 1.31 0.102 0.100 2.82e-07 0.100 0.000531 12.8 5.49 17.0 4.46 4.13 0.188 0.113 0.00148 0.100 0.0385
23.0 12 -0.33984160437116406 6.864478736472301 5.0 5.0 5.0 1.2 0.24 0.11 0.13 0.33 6.0 3.7 1.9 3.5 1.4 3.00 0.917 1.72 0.00 1.31 0.102 0.100 2.82e-07 0.100 0.000531 12.8 5.49 17.0 4.46 4.13 0.188 0.111 0.00137 0.100 0.0369
