#####################################################################
# Alchemist log file - simulation started at: 2025-02-17T17:17+0000 #
#####################################################################
#
# maxResource = 456.3834763058477, maxSuccess = 660.6850272128371, resourceLowerBound = 5.638322449807623, seed = 10
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.5711645232847797 2 7.580938148657321 9.369016831144815 1.0 1.0 1.0 0.33 0.33 0.0 0.33 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00246 0.00246 0.00 0.00246 0.00 NaN NaN NaN NaN NaN 0.00246 0.00246 0.00 0.00246 0.00 456 456 0.00 456 0.00
1.5711645232847797 3 9.513821135369396 8.351048943003384 2.0 2.0 2.0 0.49 0.30 0.077 0.30 0.28 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00246 0.00178 1.39e-06 0.00246 0.00118 0.00 0.00 0.00 0.00 0.00 0.00288 0.00206 2.02e-06 0.00288 0.00142 456 304 6.94e+04 456 263
2.5711645232847795 6 9.912987799688155 8.695205688143949 3.0 3.0 3.0 0.98 0.29 0.15 0.11 0.39 4.0 2.7 1.1 3.0 1.0 2.00 0.667 1.07 0.00 1.03 0.00491 0.00172 3.75e-06 0.00144 0.00194 1.56e+03 446 5.60e+05 114 748 0.00491 0.00187 4.08e-06 0.00167 0.00202 1.56e+03 450 3.36e+05 342 580
3.5711645232847795 10 9.40787394767393 8.386344294268868 5.0 5.0 5.0 1.6 0.31 0.25 0.13 0.50 5.0 3.2 0.84 3.0 0.92 4.00 0.600 1.60 0.00 1.26 0.00491 0.00103 2.75e-06 9.96e-05 0.00166 1.93e+03 247 4.03e+05 0.00 635 0.0150 0.00278 2.24e-05 0.000281 0.00473 1.93e+03 283 3.60e+05 12.4 600
4.5711645232847795 15 11.714391289923958 8.011309434317372 6.0 6.0 6.0 2.5 0.33 0.39 0.14 0.62 7.0 3.7 2.6 3.0 1.6 4.00 0.600 1.26 0.00 1.12 0.00989 0.00136 7.53e-06 0.000103 0.00274 143 26.1 1.81e+03 2.14 42.6 0.0103 0.00190 1.28e-05 0.000103 0.00358 456 62.3 1.44e+04 8.04 120
5.5711645232847795 20 11.473536857106035 8.357542516803372 6.0 6.0 6.0 3.3 0.34 0.53 0.15 0.73 10 5.2 6.3 5.0 2.5 5.00 0.750 1.57 0.00 1.25 0.00989 0.00128 5.87e-06 0.000119 0.00242 114 15.4 1.29e+03 0.230 35.9 0.0302 0.00319 5.22e-05 0.000137 0.00723 456 47.8 1.27e+04 0.490 112
6.5711645232847795 26 12.864954871868415 8.976687829649261 7.0 7.0 7.0 4.3 0.35 0.70 0.097 0.83 12 6.2 11 7.0 3.3 8.00 0.846 3.02 0.00 1.74 0.635 0.0256 0.0155 0.000134 0.124 136 13.8 905 0.0458 30.1 0.635 0.0267 0.0154 0.000306 0.124 456 39.2 9.18e+03 0.358 95.8
7.5711645232847795 30 12.881976011116386 9.810869923535636 7.0 7.0 7.0 4.9 0.36 0.81 0.11 0.90 12 6.1 11 6.5 3.3 9.00 0.933 3.17 0.00 1.78 14.4 0.515 6.94 0.000274 2.63 92.9 10.7 572 3.06 23.9 14.4 0.558 6.92 0.00201 2.63 456 34.1 7.98e+03 3.15 89.3
8.571164523284779 32 12.483384750368886 10.576914860348621 7.0 7.0 7.0 5.2 0.36 0.86 0.10 0.93 12 5.9 11 6.0 3.3 10.0 0.938 3.35 0.500 1.83 77.9 3.01 193 0.000417 13.9 133 14.0 1.57e+03 0.186 39.7 77.9 3.52 197 0.00244 14.0 456 40.5 1.30e+04 0.338 114
9.571164523284779 36 12.237835251975827 11.869505015846213 7.0 7.0 7.0 5.9 0.36 0.98 0.11 0.99 12 5.7 10 5.5 3.2 10.0 0.861 3.04 0.00 1.74 77.9 5.04 230 0.00201 15.2 136 11.9 828 0.214 28.8 92.3 8.54 441 0.00272 21.0 456 33.6 8.32e+03 0.298 91.2
10.571164523284779 38 11.960220894063113 12.708844502817902 8.0 8.0 8.0 6.2 0.37 1.0 0.12 1.0 12 5.7 9.7 5.0 3.1 10.0 0.921 2.89 1.00 1.70 179 13.0 1.42e+03 0.00205 37.6 203 10.4 1.26e+03 0.0238 35.5 179 20.7 2.03e+03 0.00275 45.1 456 34.4 1.06e+04 0.0508 103
11.002735918955286 41 11.713005348827156 13.778446282062074 9.0 9.0 9.0 6.7 0.37 1.1 0.13 1.1 12 5.5 9.6 5.0 3.1 10.0 0.902 2.79 1.00 1.67 317 21.0 3.57e+03 0.00224 59.8 204 10.1 1.16e+03 0.0253 34.0 317 39.8 6.32e+03 0.00288 79.5 456 32.8 9.82e+03 0.0400 99.1
12.002735918955286 45 11.539863250327048 14.995910924969458 10 10 10 7.4 0.37 1.2 0.12 1.1 12 5.4 9.1 5.0 3.0 10.0 0.889 2.74 0.00 1.65 317 34.9 6.59e+03 0.00259 81.2 188 9.71 888 0.00587 29.8 609 70.8 1.92e+04 0.00294 139 456 30.4 8.26e+03 0.0104 90.9
13.002735918955286 48 11.169027761515451 15.859086558821566 10 10 10 7.9 0.38 1.3 0.12 1.1 12 5.5 8.9 5.0 3.0 10.0 0.958 2.64 1.00 1.62 445 45.6 9.41e+03 0.00275 97.0 193 9.05 867 0.00528 29.4 634 114 4.00e+04 0.791 200 456 29.5 7.97e+03 0.00843 89.3
14.002735918955286 50 11.003358391214743 16.534918326144062 10 10 10 8.2 0.38 1.4 0.12 1.2 12 5.6 9.0 6.0 3.0 10.0 0.960 2.53 1.00 1.59 445 54.7 1.29e+04 0.00384 114 198 8.87 881 0.00380 29.7 1.09e+03 149 6.67e+04 3.17 258 456 28.7 7.89e+03 0.0104 88.8
15.002735918955286 51 10.989929989776973 16.85413345908515 10 10 10 8.4 0.38 1.4 0.12 1.2 12 5.6 8.7 6.0 3.0 10.0 0.941 2.54 1.00 1.59 639 60.8 1.64e+04 0.00491 128 204 8.32 912 0.00134 30.2 1.81e+03 199 1.39e+05 4.77 372 456 27.9 8.00e+03 0.00251 89.4
16.00273591895529 51 10.989929989776973 16.85413345908515 10 10 10 8.4 0.38 1.4 0.12 1.2 12 5.6 8.7 6.0 3.0 10.0 1.00 2.52 1.00 1.59 639 67.6 2.14e+04 0.00491 146 203 7.78 904 0.00151 30.1 2.14e+03 270 2.49e+05 4.77 499 456 27.4 7.98e+03 0.00228 89.3
17.00273591895529 52 10.992588829068808 17.305400255342636 10 10 10 8.5 0.38 1.4 0.12 1.2 12 5.5 8.8 5.5 3.0 10.0 0.962 2.47 1.00 1.57 639 73.3 2.27e+04 0.00740 151 205 7.97 908 0.00101 30.1 3.05e+03 330 4.38e+05 5.48 661 456 27.3 7.93e+03 0.102 89.0
18.00273591895529 53 11.134125053586066 17.498044058085743 10 10 10 8.7 0.38 1.5 0.12 1.2 12 5.5 8.8 5.0 3.0 10.0 0.962 2.42 1.00 1.56 639 72.9 2.23e+04 0.00989 149 206 7.89 897 0.151 30.0 3.79e+03 383 6.58e+05 6.20 811 456 27.0 7.83e+03 0.179 88.5
19.00273591895529 53 11.134125053586066 17.498044058085743 10 10 10 8.7 0.38 1.5 0.12 1.2 12 5.5 8.8 5.0 3.0 10.0 0.981 2.44 1.00 1.56 639 72.9 2.23e+04 0.00989 149 206 7.94 900 0.155 30.0 3.81e+03 421 8.23e+05 6.20 907 456 27.3 7.84e+03 0.188 88.6
