#####################################################################
# Alchemist log file - simulation started at: 2024-12-05T09:41+0000 #
#####################################################################
#
# seed = 6.0
#
# The columns have the following meaning: 
# time children-count[min] children-count[max] children-count[mean] local-success[min] local-success[max] local-success[mean] resource[min] resource[max] resource[mean] success[min] success[max] success[mean] local-resource[min] local-resource[max] local-resource[mean] 
38.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
39.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
40.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
41.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
42.06460426246408 0.00 1.00 0.500 0.000221 0.00373 0.00197 500 500 500 0.000221 0.00395 0.00208 500 1.00e+03 750
43.06460426246408 0.00 1.00 0.667 0.000221 0.00373 0.00256 500 500 500 0.000221 0.00395 0.00271 500 1.00e+03 833
44.06460426246408 0.00 2.00 0.500 1.50e-05 0.260 0.0660 0.00 8.93e+03 3.14e+03 1.50e-05 0.264 0.131 0.00 8.93e+03 2.61e+03
45.06460426246408 0.00 2.00 0.750 1.50e-05 0.260 0.0660 0.283 666 222 1.50e-05 0.264 0.131 0.283 1.00e+03 417
46.06460426246408 0.00 2.00 0.750 1.50e-05 0.260 0.0660 0.302 666 222 1.50e-05 0.264 0.131 0.302 1.00e+03 417
47.06460426246408 0.00 2.00 1.00 0.000221 0.260 0.0880 0.302 666 333 0.000236 0.264 0.175 0.605 1.00e+03 556
48.06460426246408 0.00 2.00 1.00 0.000221 0.260 0.0880 0.302 666 333 0.000236 0.264 0.175 0.605 1.00e+03 556
49.06460426246408 0.00 2.00 0.667 0.000221 0.260 0.0880 0.605 666 333 0.000221 0.264 0.175 0.605 1.00e+03 556
50.06460426246408 0.00 2.00 0.667 0.000221 0.260 0.0880 0.566 666 333 0.000221 0.264 0.175 0.566 1.00e+03 556
51.06460426246408 0.00 2.00 1.00 0.00373 0.260 0.132 666 666 666 0.260 0.264 0.262 666 1.00e+03 833
52.06460426246408 0.00 1.00 0.500 0.00373 0.260 0.132 666 666 666 0.260 0.264 0.262 666 1.00e+03 833
53.06460426246408 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
54.06460426246408 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
55.06460426246408 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
56.06460426246408 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
57.06460426246408 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
58.06460426246408 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
59.06460426246408 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
60.06460426246408 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
61.06460426246408 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
62.06460426246408 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
63.06460426246408 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
64.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
65.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
66.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
67.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
68.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
69.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
70.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
71.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
72.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
73.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
74.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
75.06460426246409 0.00 1.00 0.500 0.00373 0.260 0.132 500 500 500 0.260 0.264 0.262 500 1.00e+03 750
