#####################################################################
# Alchemist log file - simulation started at: 2025-02-17T17:17+0000 #
#####################################################################
#
# maxResource = 466.0349922296696, maxSuccess = 659.2283138009277, resourceLowerBound = 5.76117188997679, seed = 11
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.5748783522118297 2 12.070575707243588 11.400969750056266 1.0 1.0 1.0 0.17 0.17 0.0 0.17 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00246 0.00246 0.00 0.00246 0.00 NaN NaN NaN NaN NaN 0.00246 0.00246 0.00 0.00246 0.00 466 466 0.00 466 0.00
1.5748783522118297 3 9.769800958446597 11.362699640140187 2.0 2.0 2.0 0.26 0.19 0.0097 0.19 0.098 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.0246 0.00982 0.000163 0.00246 0.0128 0.00 0.00 0.00 0.00 0.00 0.0270 0.0262 2.01e-06 0.0270 0.00142 466 311 7.24e+04 466 269
2.5748783522118295 6 9.808132870043623 11.883786582110472 4.0 4.0 4.0 0.52 0.21 0.035 0.13 0.19 3.0 2.0 0.80 2.0 0.89 2.00 0.667 1.07 0.00 1.03 0.0246 0.00746 8.04e-05 0.00392 0.00897 256 122 2.00e+04 117 142 0.0324 0.0174 0.000200 0.0171 0.0141 466 237 4.35e+04 245 209
3.5748783522118295 11 9.066678983781486 11.670194833502201 6.0 6.0 6.0 0.95 0.22 0.079 0.11 0.28 5.0 2.4 1.7 2.0 1.3 3.00 0.455 0.873 0.00 0.934 0.382 0.0826 0.0196 0.00539 0.140 336 64.7 1.17e+04 14.0 108 0.382 0.103 0.0203 0.0150 0.142 466 115 2.69e+04 28.0 164
4.5748783522118295 13 9.311185422434413 12.154170376203655 6.0 6.0 6.0 1.1 0.23 0.097 0.11 0.31 6.0 2.9 2.2 3.0 1.5 3.00 0.769 1.03 0.00 1.01 0.382 0.0862 0.0167 0.00960 0.129 143 17.2 1.63e+03 4.01 40.4 0.907 0.209 0.0784 0.0623 0.280 466 66.6 2.04e+04 7.97 143
5.5748783522118295 16 9.277726425159418 13.429336863986862 6.0 6.0 6.0 1.4 0.24 0.12 0.081 0.35 7.0 3.5 3.2 3.5 1.8 3.00 0.813 1.36 0.00 1.17 5.61 0.770 2.71 0.0434 1.65 108 14.4 921 0.0222 30.3 5.61 0.906 2.60 0.204 1.61 466 57.0 1.55e+04 0.0955 125
6.5748783522118295 20 9.35189455551306 14.884088850605178 6.0 6.0 6.0 1.7 0.24 0.16 0.078 0.40 7.0 3.6 4.3 4.0 2.1 4.00 0.750 1.46 0.00 1.21 72.1 4.65 256 0.164 16.0 44.9 14.7 361 1.31 19.0 72.1 5.60 251 0.993 15.8 466 54.2 1.23e+04 3.34 111
7.5748783522118295 23 9.49180261955111 15.602276494574033 6.0 6.0 6.0 2.0 0.25 0.19 0.090 0.44 7.0 3.9 3.7 4.0 1.9 4.00 0.826 1.42 0.00 1.19 131 9.75 917 0.179 30.3 98.1 17.3 875 0.729 29.6 131 14.7 1.08e+03 0.735 32.9 466 50.1 1.24e+04 1.46 112
8.57487835221183 28 9.651864932005783 16.647348605587084 7.0 7.0 7.0 2.4 0.26 0.24 0.088 0.49 8.0 4.5 4.7 4.0 2.2 4.00 0.786 1.21 0.00 1.10 131 12.5 927 0.343 30.4 69.8 12.9 429 2.95 20.7 203 26.7 2.47e+03 1.87 49.7 466 44.7 9.60e+03 4.13 98.0
9.57487835221183 31 10.369756969148835 17.307144973157023 8.0 8.0 8.0 2.7 0.26 0.27 0.096 0.52 8.0 4.7 4.9 4.0 2.2 4.00 0.903 1.56 0.00 1.25 131 13.0 866 0.659 29.4 104 11.6 696 0.875 26.4 208 34.2 3.54e+03 3.97 59.5 466 40.7 1.05e+04 1.27 103
10.57487835221183 34 10.228271235603088 17.727899244917232 8.0 8.0 8.0 2.9 0.26 0.29 0.10 0.54 9.0 4.8 5.7 4.5 2.4 4.00 0.912 1.36 0.500 1.16 329 23.1 3.76e+03 0.697 61.3 109 9.29 594 0.562 24.4 329 59.8 8.35e+03 8.67 91.4 466 37.4 1.04e+04 0.951 102
11.57487835221183 35 10.383855442960845 18.15155032896819 8.0 8.0 8.0 3.0 0.27 0.30 0.10 0.55 9.0 4.7 5.8 4.0 2.4 5.00 0.971 1.50 1.00 1.22 329 31.2 5.95e+03 0.735 77.2 118 10.6 641 0.328 25.3 405 88.1 1.61e+04 10.0 127 466 37.9 1.02e+04 0.620 101
12.57487835221183 37 10.410068248459977 18.733127612286022 8.0 8.0 8.0 3.2 0.27 0.32 0.093 0.57 9.0 4.8 5.5 5.0 2.4 5.00 0.946 1.44 1.00 1.20 342 42.5 8.49e+03 1.06 92.2 91.6 8.01 300 0.245 17.3 647 124 3.43e+04 19.3 185 466 33.4 8.01e+03 0.353 89.5
13.57487835221183 41 10.491507079990859 18.92696077646695 8.0 8.0 8.0 3.5 0.27 0.36 0.084 0.60 10 5.0 6.0 5.0 2.5 5.00 0.878 1.26 1.00 1.12 633 56.1 1.63e+04 1.06 128 90.6 9.07 277 1.20 16.6 978 156 6.68e+04 12.9 258 466 32.6 7.09e+03 2.32 84.2
14.57487835221183 43 10.679925200306865 19.080900953673712 8.0 8.0 8.0 3.7 0.27 0.38 0.082 0.62 10 5.1 5.7 5.0 2.4 5.00 0.953 1.43 1.00 1.19 633 65.0 2.01e+04 1.06 142 113 8.69 409 0.685 20.2 1.75e+03 205 1.29e+05 12.9 359 466 32.6 7.96e+03 1.17 89.2
15.57487835221183 45 10.554671134234331 19.644467157056603 8.0 8.0 8.0 3.9 0.28 0.40 0.086 0.63 10 5.1 5.9 5.0 2.4 5.00 0.956 1.41 1.00 1.19 633 74.5 2.21e+04 1.50 149 113 8.84 424 0.516 20.6 1.82e+03 278 1.92e+05 19.3 438 466 32.0 7.79e+03 1.20 88.2
16.57487835221183 46 10.344733104983863 20.04374380952407 9.0 9.0 9.0 4.0 0.28 0.41 0.088 0.64 10 5.0 6.0 5.0 2.4 5.00 0.978 1.40 1.00 1.18 633 75.2 2.16e+04 1.56 147 118 8.44 431 0.735 20.8 1.99e+03 352 2.94e+05 49.2 543 466 31.7 7.83e+03 1.09 88.5
17.57487835221183 46 10.344733104983863 20.04374380952407 9.0 9.0 9.0 4.0 0.28 0.41 0.088 0.64 10 5.0 6.0 5.0 2.4 5.00 0.978 1.36 1.00 1.16 633 75.2 2.16e+04 1.56 147 121 8.77 453 1.04 21.3 2.74e+03 419 4.83e+05 49.2 695 466 32.1 7.98e+03 1.58 89.3
18.57487835221183 46 10.344733104983863 20.04374380952407 9.0 9.0 9.0 4.0 0.28 0.41 0.088 0.64 10 5.0 6.0 5.0 2.4 5.00 0.978 1.36 1.00 1.16 633 75.2 2.16e+04 1.56 147 125 8.38 433 0.722 20.8 2.93e+03 438 5.45e+05 49.2 738 466 31.5 7.98e+03 1.84 89.3
19.57487835221183 47 10.237277136221909 20.21745238485946 9.0 9.0 9.0 4.1 0.28 0.42 0.090 0.65 10 5.1 5.7 5.0 2.4 5.00 0.957 1.35 1.00 1.16 633 77.2 2.13e+04 1.62 146 125 8.22 424 0.548 20.6 3.28e+03 451 6.21e+05 79.0 788 466 31.0 7.85e+03 0.711 88.6
20.57487835221183 47 10.237277136221909 20.21745238485946 9.0 9.0 9.0 4.1 0.28 0.42 0.090 0.65 10 5.1 5.7 5.0 2.4 5.00 0.979 1.37 1.00 1.17 633 77.2 2.13e+04 1.62 146 126 8.47 427 1.41 20.7 3.35e+03 460 6.45e+05 79.0 803 466 31.5 7.86e+03 2.15 88.6
21.57487835221183 47 10.237277136221909 20.21745238485946 9.0 9.0 9.0 4.1 0.28 0.42 0.090 0.65 10 5.1 5.7 5.0 2.4 5.00 0.979 1.37 1.00 1.17 633 77.2 2.13e+04 1.62 146 126 8.50 428 1.34 20.7 3.35e+03 466 6.60e+05 79.0 812 466 31.6 7.86e+03 2.02 88.7
