#####################################################################
# Alchemist log file - simulation started at: 2025-02-18T11:24+0000 #
#####################################################################
#
# seed = 6.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 12.2968482318837 10.987161688728206 1.0 1.0 1.0 0.22 0.22 0.0 0.22 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 12.2968482318837 10.987161688728206 1.0 1.0 1.0 0.22 0.22 0.0 0.22 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.108 0.105 1.97e-05 0.105 0.00444 74.3 40.9 2.23e+03 40.9 47.2 0.108 0.0812 0.00146 0.0812 0.0382
2.0 2 12.2968482318837 10.987161688728206 1.0 1.0 1.0 0.22 0.22 0.0 0.22 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.108 0.105 1.97e-05 0.105 0.00444 66.9 37.2 1.76e+03 37.2 41.9 0.108 0.0812 0.00146 0.0812 0.0382
3.0 5 14.12431968803553 11.234258089928073 2.0 2.0 2.0 0.55 0.21 0.052 0.10 0.23 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.134 0.110 0.000187 0.106 0.0137 66.9 14.9 855 0.00 29.2 0.134 0.100 0.000836 0.106 0.0289
4.0 5 14.12431968803553 11.234258089928073 2.0 2.0 2.0 0.55 0.21 0.052 0.10 0.23 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.134 0.110 0.000187 0.106 0.0137 15.9 5.07 53.3 0.00 7.30 0.171 0.120 0.00115 0.106 0.0339
5.0 5 14.12431968803553 11.234258089928073 2.0 2.0 2.0 0.55 0.21 0.052 0.10 0.23 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.134 0.110 0.000187 0.106 0.0137 51.9 31.2 337 38.9 18.4 0.171 0.120 0.00115 0.106 0.0339
6.0 5 14.12431968803553 11.234258089928073 2.0 2.0 2.0 0.55 0.21 0.052 0.10 0.23 4.0 2.0 1.5 2.0 1.2 3.00 0.800 1.70 0.00 1.30 0.134 0.110 0.000187 0.106 0.0137 51.9 31.2 337 38.9 18.4 0.171 0.120 0.00115 0.106 0.0339
7.0 8 16.763413100313798 12.41647347361456 3.0 3.0 3.0 0.88 0.22 0.086 0.13 0.29 4.0 2.3 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 1.27 0.253 0.170 0.104 0.413 51.9 19.5 454 11.9 21.3 1.27 0.259 0.169 0.103 0.411
8.0 8 16.763413100313798 12.41647347361456 3.0 3.0 3.0 0.88 0.22 0.086 0.13 0.29 4.0 2.3 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 1.27 0.253 0.170 0.104 0.413 51.9 19.5 454 11.9 21.3 1.27 0.338 0.196 0.103 0.443
9.0 8 16.763413100313798 12.41647347361456 3.0 3.0 3.0 0.88 0.22 0.086 0.13 0.29 4.0 2.3 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 1.27 0.253 0.170 0.104 0.413 51.9 21.8 459 21.3 21.4 1.27 0.397 0.183 0.175 0.428
10.0 8 16.763413100313798 12.41647347361456 3.0 3.0 3.0 0.88 0.22 0.086 0.13 0.29 4.0 2.3 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 1.27 0.253 0.170 0.104 0.413 1.97e+03 300 4.61e+05 42.7 679 1.27 0.397 0.183 0.175 0.428
11.0 8 16.763413100313798 12.41647347361456 3.0 3.0 3.0 0.88 0.22 0.086 0.13 0.29 4.0 2.3 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 1.27 0.253 0.170 0.104 0.413 1.97e+03 300 4.61e+05 42.7 679 1.27 0.397 0.183 0.175 0.428
12.0 8 16.763413100313798 12.41647347361456 3.0 3.0 3.0 0.88 0.22 0.086 0.13 0.29 4.0 2.3 1.4 2.0 1.2 3.00 0.875 1.84 0.00 1.36 1.27 0.253 0.170 0.104 0.413 1.97e+03 300 4.61e+05 42.7 679 1.27 0.397 0.183 0.175 0.428
13.0 11 18.091296492970095 14.717682968417762 4.0 4.0 4.0 1.2 0.23 0.12 0.12 0.35 5.0 2.9 1.5 3.0 1.2 3.00 0.909 1.89 0.00 1.38 3.52 0.637 1.15 0.108 1.07 1.97e+03 218 3.43e+05 11.3 585 3.52 0.742 1.07 0.245 1.03
