#####################################################################
# Alchemist log file - simulation started at: 2025-02-17T17:17+0000 #
#####################################################################
#
# maxResource = 459.76247019842737, maxSuccess = 676.5504630310642, resourceLowerBound = 5.6230811156714395, seed = 5
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.6003942962212285 2 12.413157430179773 9.346799252015003 1.0 1.0 1.0 0.32 0.32 0.0 0.32 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00252 0.00252 0.00 0.00252 0.00 NaN NaN NaN NaN NaN 0.00252 0.00252 0.00 0.00252 0.00 460 460 0.00 460 0.00
1.6003942962212285 3 9.942710275157115 9.519617663534328 2.0 2.0 2.0 0.48 0.35 0.029 0.35 0.17 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00252 0.00182 1.48e-06 0.00252 0.00122 0.00 0.00 0.00 0.00 0.00 0.00294 0.00209 2.12e-06 0.00294 0.00146 460 307 7.05e+04 460 265
2.6003942962212285 6 9.2439341212769 8.802631811462872 4.0 4.0 4.0 0.95 0.32 0.15 0.089 0.39 3.0 2.0 0.40 2.0 0.63 2.00 0.667 1.07 0.00 1.03 0.0668 0.0123 0.000715 0.00193 0.0267 1.63e+03 465 6.15e+05 115 784 0.0668 0.0129 0.000702 0.00280 0.0265 1.63e+03 463 3.69e+05 345 607
3.6003942962212285 10 8.61499819947542 8.377945223599074 5.0 5.0 5.0 1.6 0.33 0.28 0.088 0.53 4.0 2.4 0.93 2.5 0.97 3.00 0.500 0.944 0.00 0.972 0.0668 0.00764 0.000435 0.000245 0.0209 748 113 5.91e+04 0.00 243 0.0711 0.0212 0.00108 0.000249 0.0328 748 163 6.43e+04 36.3 254
4.6003942962212285 13 7.734545537412909 8.838835943407346 6.0 6.0 6.0 2.1 0.33 0.37 0.097 0.61 6.0 3.1 2.4 3.0 1.6 3.00 0.692 1.23 0.00 1.11 0.390 0.0359 0.0117 7.67e-05 0.108 171 28.7 3.10e+03 0.0184 55.7 0.390 0.0467 0.0116 7.67e-05 0.108 460 81.7 2.32e+04 0.0527 152
5.6003942962212285 16 7.309155247776372 9.465683313948157 5.0 5.0 5.0 2.5 0.34 0.46 0.088 0.68 7.0 3.6 2.4 3.0 1.5 4.00 0.813 1.63 0.00 1.28 0.694 0.0729 0.0369 0.000284 0.192 150 22.9 2.39e+03 0.00 48.8 0.694 0.107 0.0451 0.000323 0.212 460 74.1 2.10e+04 0.0724 145
6.6003942962212285 18 7.823699463694279 10.238255901094446 5.0 5.0 5.0 2.9 0.34 0.52 0.077 0.72 7.0 3.9 2.5 4.0 1.6 5.00 0.889 2.10 0.00 1.45 4.20 0.302 0.980 0.000875 0.990 122 19.7 1.65e+03 0.137 40.7 4.20 0.415 0.999 0.00282 1.00 460 69.7 1.96e+04 0.228 140
7.6003942962212285 18 7.823699463694279 10.238255901094446 5.0 5.0 5.0 2.9 0.34 0.52 0.077 0.72 7.0 3.9 2.5 4.0 1.6 6.00 1.11 2.58 0.500 1.60 4.20 0.302 0.980 0.000875 0.990 126 11.3 1.11e+03 0.0202 33.3 6.59 1.32 4.48 0.00286 2.12 460 60.9 2.07e+04 0.0348 144
8.600394296221229 21 7.555261286589164 10.79679531636404 6.0 6.0 6.0 3.3 0.35 0.61 0.085 0.78 7.0 4.2 4.5 4.0 2.1 6.00 0.810 2.06 0.00 1.44 4.20 0.275 0.840 0.00134 0.917 140 11.7 992 0.00369 31.5 6.53 1.09 4.00 0.00524 2.00 460 44.2 1.29e+04 0.00737 114
9.600394296221229 26 6.982725086518915 12.35039342825081 7.0 7.0 7.0 4.1 0.35 0.77 0.095 0.88 7.0 4.2 5.2 4.0 2.3 7.00 0.808 2.32 0.00 1.52 12.9 1.27 11.2 0.00384 3.34 139 15.8 1.08e+03 0.0148 32.8 12.9 1.87 12.3 0.0315 3.51 460 46.1 1.09e+04 0.0449 104
10.600394296221229 30 7.857063053865016 12.715661817964603 7.0 7.0 7.0 4.8 0.36 0.89 0.10 0.94 11 5.3 7.9 5.0 2.8 7.00 0.867 2.05 0.00 1.43 12.9 1.20 9.84 0.00520 3.14 161 12.9 1.10e+03 0.00146 33.1 20.2 3.49 34.1 0.0831 5.84 460 38.5 1.04e+04 0.00341 102
11.600394296221229 31 8.12149592564533 13.008226943868967 7.0 7.0 7.0 4.9 0.36 0.92 0.11 0.96 11 5.4 8.1 5.0 2.8 8.00 1.03 2.43 1.00 1.56 12.9 1.48 11.9 0.00524 3.46 80.9 7.89 443 0.00489 21.1 50.4 6.56 112 0.0926 10.6 460 34.7 9.12e+03 0.00791 95.5
12.600394296221229 32 8.151561358523503 13.391616124873423 7.0 7.0 7.0 5.1 0.36 0.95 0.11 0.98 11 5.3 8.2 5.0 2.9 8.00 0.969 2.87 0.00 1.69 100 4.57 317 0.0128 17.8 80.3 13.3 741 0.0460 27.2 100 8.37 367 0.119 19.2 460 37.3 8.18e+03 0.0690 90.4
13.600394296221229 35 8.260723834955614 14.257218493012378 7.0 7.0 7.0 5.6 0.37 1.0 0.10 1.0 11 5.3 7.5 5.0 2.7 8.00 0.886 2.69 0.00 1.64 128 9.33 776 0.0426 27.9 71.5 12.7 480 0.103 21.9 128 16.4 1.12e+03 0.289 33.4 460 37.9 7.89e+03 0.261 88.8
14.600394296221229 41 8.664210693670922 15.632807745157118 8.0 8.0 8.0 6.5 0.37 1.2 0.10 1.1 12 5.8 9.4 6.0 3.1 8.00 0.829 2.40 0.00 1.55 345 20.0 3.61e+03 0.145 60.1 69.7 9.67 272 0.133 16.5 345 42.8 5.31e+03 1.42 72.9 460 34.3 7.80e+03 0.338 88.3
15.030903050623532 45 9.265360776393003 16.69469667613459 9.0 9.0 9.0 7.1 0.38 1.4 0.092 1.2 12 5.6 9.8 5.0 3.1 8.00 0.889 2.28 0.00 1.51 480 34.1 8.86e+03 0.289 94.1 77.8 8.27 292 0.0462 17.1 480 71.1 1.41e+04 2.78 119 460 29.1 6.24e+03 0.0924 79.0
16.030903050623532 47 9.155727350463241 17.180013086505866 9.0 9.0 9.0 7.5 0.38 1.4 0.088 1.2 12 5.7 10 5.0 3.2 8.00 0.957 2.52 0.00 1.59 480 36.9 8.69e+03 0.390 93.2 161 10.8 766 0.00709 27.7 671 102 2.98e+04 2.94 173 460 31.4 6.41e+03 0.0189 80.1
17.030903050623532 47 9.155727350463241 17.180013086505866 9.0 9.0 9.0 7.5 0.38 1.4 0.088 1.2 12 5.7 10 5.0 3.2 8.00 1.00 2.52 0.00 1.59 480 36.9 8.69e+03 0.390 93.2 68.6 6.34 207 0.102 14.4 842 158 5.97e+04 2.94 244 460 28.5 6.64e+03 0.185 81.5
18.01578995010511 50 9.443207538449341 17.842133316284695 9.0 9.0 9.0 7.9 0.38 1.5 0.091 1.2 12 5.8 11 5.0 3.4 8.00 0.920 2.40 0.00 1.55 637 49.1 1.54e+04 1.06 124 76.8 7.88 247 0.0612 15.7 1.19e+03 200 9.57e+04 3.99 309 460 29.1 5.86e+03 0.121 76.5
19.01578995010511 52 9.13803055527649 18.25690464908971 9.0 9.0 9.0 8.2 0.38 1.6 0.095 1.3 12 5.7 11 5.0 3.4 8.00 0.962 2.43 0.00 1.56 637 50.6 1.49e+04 1.91 122 76.8 7.86 243 0.426 15.6 1.60e+03 235 1.47e+05 5.80 383 460 30.3 6.18e+03 0.482 78.6
20.00772913706481 55 9.355047756543563 18.805960576077904 10 10 10 8.7 0.38 1.7 0.10 1.3 12 5.8 12 5.0 3.4 8.00 0.927 2.29 0.00 1.51 637 60.0 2.05e+04 2.40 143 58.8 7.64 222 0.141 14.9 1.95e+03 241 1.81e+05 6.29 425 460 29.5 6.07e+03 0.291 77.9
21.00772913706481 56 9.347924969401868 18.886049280436342 10 10 10 8.9 0.39 1.7 0.10 1.3 12 6.0 12 6.0 3.5 8.00 1.00 2.36 1.00 1.54 637 54.9 1.58e+04 2.45 126 60.4 6.32 195 0.0546 14.0 1.92e+03 290 2.42e+05 12.8 492 460 27.9 6.31e+03 0.101 79.4
