#####################################################################
# Alchemist log file - simulation started at: 2025-02-10T09:23+0000 #
#####################################################################
#
# maxChildren = 3.0, maxResource = 3.0, maxSuccess = 500.0, resourceLowerBound = 5.0, seed = 0.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[variance] network-diameter[median] network-diameter[StandardDeviation] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] network-degree[max] network-degree[mean] network-degree[variance] network-degree[median] network-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
15.0 11 -1.3752017821920703 9.683166182093185 4.0 4.0 0.0 4.0 0.0 0.93 0.24 0.073 0.12 0.27 6.0 2.9 3.1 2.0 1.8 3.00 0.909 1.89 0.00 1.38 75.5 19.0 728 8.12 27.0 1.53e+05 3.72e+04 4.10e+09 31.2 6.40e+04 195 53.9 4.92e+03 15.0 70.2
16.0 11 -1.3752017821920703 9.683166182093185 4.0 4.0 0.0 4.0 0.0 0.93 0.24 0.073 0.12 0.27 6.0 2.9 3.1 2.0 1.8 3.00 0.909 1.89 0.00 1.38 75.5 19.0 728 8.12 27.0 1.53e+05 3.72e+04 4.10e+09 31.2 6.40e+04 195 66.1 4.65e+03 52.5 68.2
17.0 11 -1.3752017821920703 9.683166182093185 4.0 4.0 0.0 4.0 0.0 0.93 0.24 0.073 0.12 0.27 6.0 2.9 3.1 2.0 1.8 3.00 0.909 1.89 0.00 1.38 75.5 19.0 728 8.12 27.0 6.80e+08 1.21e+08 5.15e+16 160 2.27e+08 195 66.1 4.65e+03 52.5 68.2
18.0 11 -1.3752017821920703 9.683166182093185 4.0 4.0 0.0 4.0 0.0 0.93 0.24 0.073 0.12 0.27 6.0 2.9 3.1 2.0 1.8 3.00 0.909 1.89 0.00 1.38 75.5 19.0 728 8.12 27.0 6.80e+08 1.21e+08 5.15e+16 160 2.27e+08 195 66.1 4.65e+03 52.5 68.2
19.0 11 -1.3752017821920703 9.683166182093185 4.0 4.0 0.0 4.0 0.0 0.93 0.24 0.073 0.12 0.27 6.0 2.9 3.1 2.0 1.8 3.00 0.909 1.89 0.00 1.38 75.5 19.0 728 8.12 27.0 6.80e+08 1.21e+08 5.15e+16 160 2.27e+08 195 66.1 4.65e+03 52.5 68.2
20.0 11 -1.3752017821920703 9.683166182093185 4.0 4.0 0.0 4.0 0.0 0.93 0.24 0.073 0.12 0.27 6.0 2.9 3.1 2.0 1.8 3.00 0.909 1.89 0.00 1.38 75.5 19.0 728 8.12 27.0 6.80e+08 1.21e+08 5.15e+16 160 2.27e+08 195 66.1 4.65e+03 52.5 68.2
21.0 14 -1.0759130674265927 11.600961729663018 5.0 5.0 0.0 5.0 0.0 1.2 0.25 0.098 0.15 0.31 6.0 3.6 2.3 4.0 1.5 3.00 0.929 1.92 0.00 1.38 233 62.6 8.09e+03 8.90 90.0 6.80e+08 9.49e+07 4.22e+16 119 2.06e+08 233 99.6 8.04e+03 64.9 89.6
22.0 14 -1.0759130674265927 11.600961729663018 5.0 5.0 0.0 5.0 0.0 1.2 0.25 0.098 0.15 0.31 6.0 3.6 2.3 4.0 1.5 3.00 0.929 1.92 0.00 1.38 233 62.6 8.09e+03 8.90 90.0 6.80e+08 9.49e+07 4.22e+16 119 2.06e+08 667 142 3.09e+04 79.6 176
23.0 14 -1.0759130674265927 11.600961729663018 5.0 5.0 0.0 5.0 0.0 1.2 0.25 0.098 0.15 0.31 6.0 3.6 2.3 4.0 1.5 3.00 0.929 1.92 0.00 1.38 233 62.6 8.09e+03 8.90 90.0 6.80e+08 9.49e+07 4.22e+16 119 2.06e+08 770 184 5.92e+04 79.6 243
24.0 14 -1.0759130674265927 11.600961729663018 5.0 5.0 0.0 5.0 0.0 1.2 0.25 0.098 0.15 0.31 6.0 3.6 2.3 4.0 1.5 3.00 0.929 1.92 0.00 1.38 233 62.6 8.09e+03 8.90 90.0 6.80e+08 9.49e+07 4.22e+16 119 2.06e+08 786 226 8.52e+04 79.6 292
25.0 14 -1.0759130674265927 11.600961729663018 5.0 5.0 0.0 5.0 0.0 1.2 0.25 0.098 0.15 0.31 6.0 3.6 2.3 4.0 1.5 3.00 0.929 1.92 0.00 1.38 233 62.6 8.09e+03 8.90 90.0 6.80e+08 9.49e+07 4.22e+16 107 2.06e+08 786 260 8.34e+04 209 289
26.0 14 -1.0759130674265927 11.600961729663018 5.0 5.0 0.0 5.0 0.0 1.2 0.25 0.098 0.15 0.31 6.0 3.6 2.3 4.0 1.5 3.00 0.929 1.92 0.00 1.38 233 62.6 8.09e+03 8.90 90.0 1.33e+26 2.05e+25 1.94e+51 196 4.41e+25 786 260 8.34e+04 209 289
