#####################################################################
# Alchemist log file - simulation started at: 2025-02-18T17:56+0000 #
#####################################################################
#
# seed = 2.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN 3.00 3.00 0.00 3.00 0.00 NaN NaN NaN NaN NaN
0.0 2 12.493531879065856 10.179718580236734 1.0 1.0 1.0 1.1 1.1 0.0 1.1 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 0.00 0.102 0.00 5.40 2.70 14.6 2.70 3.82 0.102 0.102 0.00 0.102 0.00
1.0 2 12.493531879065856 10.179718580236734 1.0 1.0 1.0 1.1 1.1 0.0 1.1 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 2.99e-08 0.102 0.000173 69.9 38.7 1.94e+03 38.7 44.1 0.102 0.0763 0.00129 0.0763 0.0359
2.0 2 12.493531879065856 10.179718580236734 1.0 1.0 1.0 1.1 1.1 0.0 1.1 0.0 1.0 1.0 0.0 1.0 0.0 1.00 0.500 0.500 0.500 0.707 0.102 0.102 2.99e-08 0.102 0.000173 62.9 35.2 1.53e+03 35.2 39.1 0.102 0.0763 0.00129 0.0763 0.0359
3.0 5 16.47345962762479 9.968230947712993 2.0 2.0 2.0 2.8 0.82 1.7 0.21 1.3 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.103 0.101 1.46e-06 0.102 0.00121 62.9 14.1 755 0.00 27.5 0.103 0.0912 0.000510 0.101 0.0226
4.0 5 16.47345962762479 9.968230947712993 2.0 2.0 2.0 2.8 0.82 1.7 0.21 1.3 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.103 0.101 1.46e-06 0.102 0.00121 15.0 4.90 48.9 0.00 6.99 0.152 0.106 0.000771 0.101 0.0278
5.0 5 16.47345962762479 9.968230947712993 2.0 2.0 2.0 2.8 0.82 1.7 0.21 1.3 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.103 0.101 1.46e-06 0.102 0.00121 38.0 27.0 202 36.9 14.2 0.152 0.106 0.000771 0.101 0.0278
6.0 5 16.47345962762479 9.968230947712993 2.0 2.0 2.0 2.8 0.82 1.7 0.21 1.3 4.0 2.4 1.3 2.0 1.1 3.00 0.800 1.70 0.00 1.30 0.103 0.101 1.46e-06 0.102 0.00121 38.0 27.0 202 36.9 14.2 0.152 0.106 0.000771 0.101 0.0278
7.0 8 16.923467498215473 12.249424506566747 3.0 3.0 3.0 4.5 0.78 2.6 0.13 1.6 5.0 3.0 2.0 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.351 0.150 0.00791 0.102 0.0890 38.0 16.9 311 11.5 17.6 0.351 0.153 0.00802 0.120 0.0895
8.0 8 16.923467498215473 12.249424506566747 3.0 3.0 3.0 4.5 0.78 2.6 0.13 1.6 5.0 3.0 2.0 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.351 0.150 0.00791 0.102 0.0890 38.0 16.9 311 11.5 17.6 0.351 0.184 0.0120 0.144 0.110
9.0 8 16.923467498215473 12.249424506566747 3.0 3.0 3.0 4.5 0.78 2.6 0.13 1.6 5.0 3.0 2.0 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.351 0.150 0.00791 0.102 0.0890 38.0 17.9 306 15.7 17.5 0.351 0.207 0.0111 0.172 0.105
10.0 8 16.923467498215473 12.249424506566747 3.0 3.0 3.0 4.5 0.78 2.6 0.13 1.6 5.0 3.0 2.0 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.351 0.150 0.00791 0.102 0.0890 181 52.3 4.01e+03 18.6 63.3 0.351 0.207 0.0111 0.172 0.105
11.0 8 16.923467498215473 12.249424506566747 3.0 3.0 3.0 4.5 0.78 2.6 0.13 1.6 5.0 3.0 2.0 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.351 0.150 0.00791 0.102 0.0890 181 52.3 4.01e+03 18.6 63.3 0.351 0.207 0.0111 0.172 0.105
12.0 8 16.923467498215473 12.249424506566747 3.0 3.0 3.0 4.5 0.78 2.6 0.13 1.6 5.0 3.0 2.0 3.0 1.4 3.00 0.875 1.84 0.00 1.36 0.351 0.150 0.00791 0.102 0.0890 181 52.3 4.01e+03 18.6 63.3 0.351 0.207 0.0111 0.172 0.105
13.0 11 17.122233973466596 14.316710978724585 4.0 4.0 4.0 6.1 0.77 3.6 0.10 1.9 6.0 3.5 2.3 3.0 1.5 3.00 0.909 1.89 0.00 1.38 3.37 0.551 0.940 0.136 0.970 181 38.0 3.40e+03 11.3 58.3 3.37 0.593 0.907 0.275 0.952
14.0 11 17.122233973466596 14.316710978724585 4.0 4.0 4.0 6.1 0.77 3.6 0.10 1.9 6.0 3.5 2.3 3.0 1.5 3.00 0.909 1.89 0.00 1.38 3.37 0.551 0.940 0.136 0.970 181 38.0 3.40e+03 11.3 58.3 3.37 0.837 1.44 0.275 1.20
15.0 11 17.122233973466596 14.316710978724585 4.0 4.0 4.0 6.1 0.77 3.6 0.10 1.9 6.0 3.5 2.3 3.0 1.5 3.00 0.909 1.89 0.00 1.38 3.37 0.551 0.940 0.136 0.970 181 38.0 3.40e+03 11.3 58.3 3.37 0.960 1.47 0.275 1.21
