#####################################################################
# Alchemist log file - simulation started at: 2025-03-03T13:32+0000 #
#####################################################################
#
# seed = 362.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.06420174588274308 2 7.564490498294944 10.564175032329853 1.0 1.0 1.0 1.0 0.36 0.36 0.0 0.36 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.000518 0.000518 0.00 0.000518 0.00 NaN NaN NaN NaN NaN 0.000518 0.000518 0.00 0.000518 0.00 298 298 0.00 298 0.00
1.064201745882743 3 9.507625966186698 9.152212923902306 2.0 2.0 2.0 2.0 0.55 0.31 0.11 0.31 0.33 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.000971 0.000669 6.84e-08 0.000518 0.000262 0.00 0.00 0.00 0.00 0.00 0.00149 0.00132 8.95e-08 0.00149 0.000299 298 199 2.96e+04 298 172
2.064201745882743 6 9.146164643546618 8.200929964116325 3.0 4.0 4.0 4.0 1.1 0.30 0.20 0.096 0.45 3.0 1.7 0.67 1.5 0.82 2.00 0.667 1.07 0.00 1.03 0.000971 0.000340 1.57e-07 0.000265 0.000397 229 94.4 1.29e+04 74.5 114 0.00150 0.000667 5.52e-07 0.000492 0.000743 298 162 1.88e+04 189 137
3.064201745882743 9 6.3360986574074065 7.642947661957071 4.0 5.0 5.0 5.0 1.6 0.30 0.29 0.11 0.54 4.0 2.4 0.78 2.0 0.88 3.00 0.556 1.03 0.00 1.01 0.00114 0.000297 2.16e-07 1.26e-05 0.000464 304 62.8 1.15e+04 0.811 107 0.00153 0.000412 3.86e-07 1.28e-05 0.000621 304 100 1.75e+04 1.62 132
4.064201745882743 11 6.379478989996849 7.918790188307835 5.0 5.0 5.0 5.0 2.0 0.31 0.36 0.11 0.60 5.0 3.1 1.5 3.0 1.2 3.00 0.727 1.02 0.00 1.01 0.00117 0.000351 2.54e-07 1.28e-05 0.000504 143 22.4 2.32e+03 0.793 48.1 0.00267 0.000653 9.65e-07 2.00e-05 0.000983 298 61.0 1.16e+04 1.59 108
5.064201745882743 12 6.220803416437074 8.567098118942045 6.0 5.0 5.0 5.0 2.2 0.31 0.39 0.10 0.63 6.0 3.3 1.9 3.0 1.4 5.00 1.00 2.36 0.500 1.54 0.0439 0.00398 0.000158 1.64e-05 0.0126 80.5 12.8 774 0.891 27.8 0.0439 0.00445 0.000156 2.04e-05 0.0125 298 57.2 1.13e+04 0.984 106
6.064201745882743 13 6.357578956054447 9.388552041536071 6.0 5.0 5.0 5.0 2.4 0.31 0.43 0.094 0.65 6.0 3.2 2.2 3.0 1.5 5.00 0.923 2.08 0.00 1.44 0.897 0.0726 0.0614 2.00e-05 0.248 56.2 11.8 464 0.527 21.5 0.897 0.0801 0.0606 2.08e-05 0.246 298 46.5 8.04e+03 0.766 89.7
7.064201745882743 15 6.370649602350835 10.349554927510418 7.0 6.0 6.0 6.0 2.7 0.31 0.49 0.087 0.70 6.0 3.2 2.5 3.0 1.6 5.00 0.800 1.74 0.00 1.32 0.988 0.129 0.109 0.000518 0.331 77.2 17.6 1.01e+03 0.783 31.7 0.988 0.195 0.150 0.000984 0.387 298 52.4 9.29e+03 1.47 96.4
8.064201745882743 18 6.892137262771343 11.478125385605729 9.0 6.0 6.0 6.0 3.3 0.32 0.59 0.10 0.77 7.0 3.7 2.9 3.5 1.7 5.00 0.778 1.59 0.00 1.26 2.34 0.274 0.374 0.00106 0.611 81.0 14.8 722 0.237 26.9 2.34 0.484 0.524 0.00156 0.724 298 48.8 8.58e+03 0.766 92.6
