#####################################################################
# Alchemist log file - simulation started at: 2025-03-03T13:32+0000 #
#####################################################################
#
# seed = 39.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.6459272447052749 2 7.943865193050794 11.422079342249212 1.0 1.0 1.0 1.0 0.17 0.17 0.0 0.17 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.000518 0.000518 0.00 0.000518 0.00 NaN NaN NaN NaN NaN 0.000518 0.000518 0.00 0.000518 0.00 298 298 0.00 298 0.00
1.6459272447052749 3 8.931659587317013 9.309052508943132 2.0 2.0 2.0 2.0 0.26 0.17 0.016 0.17 0.13 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00540 0.00215 7.95e-06 0.000518 0.00282 0.00 0.00 0.00 0.00 0.00 0.00592 0.00575 8.95e-08 0.00592 0.000299 298 199 2.96e+04 298 172
2.645927244705275 6 7.776542083006902 8.65439501268717 3.0 4.0 4.0 4.0 0.51 0.17 0.040 0.082 0.20 3.0 1.7 0.67 1.5 0.82 2.00 0.667 1.07 0.00 1.03 0.0471 0.00893 0.000354 0.000518 0.0188 163 78.1 8.17e+03 74.5 90.4 0.0471 0.0107 0.000326 0.00566 0.0181 298 151 1.78e+04 156 133
3.645927244705275 9 5.37918332021634 9.787812615107176 4.0 5.0 5.0 5.0 0.77 0.17 0.062 0.060 0.25 3.0 2.2 0.69 2.0 0.83 3.00 0.556 1.03 0.00 1.01 0.0471 0.00823 0.000260 5.72e-05 0.0161 218 52.1 6.50e+03 0.0423 80.6 0.0531 0.0193 0.000610 5.72e-05 0.0247 298 90.5 1.40e+04 0.0846 118
4.645927244705275 12 4.543245420435226 10.603264688627915 5.0 6.0 6.0 6.0 1.0 0.18 0.085 0.070 0.29 4.0 2.7 1.2 3.0 1.1 3.00 0.667 0.970 0.00 0.985 0.0471 0.00713 0.000199 0.000355 0.0141 74.5 20.3 1.21e+03 0.0483 34.8 0.0680 0.0172 0.000657 0.000358 0.0256 298 62.1 1.09e+04 0.0724 105
5.645927244705275 15 3.6016611603878403 12.105528715544363 7.0 6.0 6.0 6.0 1.3 0.19 0.11 0.074 0.33 5.0 2.9 1.8 3.0 1.3 4.00 0.800 1.46 0.00 1.21 1.50 0.115 0.148 0.000518 0.385 72.2 14.3 620 0.0607 24.9 1.50 0.128 0.146 0.000582 0.383 298 51.7 9.01e+03 0.121 94.9
6.645927244705275 18 4.440143543861468 13.493678680078082 9.0 6.0 6.0 6.0 1.5 0.19 0.13 0.072 0.36 5.0 3.1 1.9 3.0 1.4 4.00 0.778 1.24 0.00 1.11 18.5 1.16 18.8 0.00296 4.33 91.8 14.0 809 0.0971 28.4 18.5 1.26 18.6 0.0424 4.32 298 42.9 7.59e+03 0.396 87.1
7.645927244705275 22 5.529347224045579 14.608719552927665 10.0 7.0 7.0 7.0 1.9 0.20 0.16 0.073 0.40 5.0 3.4 2.1 4.0 1.5 4.00 0.818 1.30 0.00 1.14 76.5 4.81 274 0.00809 16.6 52.0 11.4 308 0.109 17.5 76.5 5.94 281 0.216 16.8 298 38.2 6.05e+03 0.163 77.8
8.645927244705275 24 5.84231004644153 15.473391801682196 10.0 7.0 7.0 7.0 2.1 0.20 0.18 0.068 0.42 5.0 3.7 1.5 4.0 1.2 5.00 0.958 1.61 1.00 1.27 76.5 6.24 292 0.0158 17.1 47.9 6.55 174 0.00542 13.2 95.0 12.4 605 0.510 24.6 298 30.3 5.30e+03 0.0159 72.8
9.645927244705275 28 5.701597768779444 16.257980514014 13.0 7.0 7.0 7.0 2.4 0.21 0.21 0.073 0.46 7.0 3.9 2.6 4.0 1.6 5.00 0.821 1.34 0.500 1.16 76.5 5.67 252 0.0211 15.9 67.3 8.79 292 0.00852 17.1 96.8 20.6 1.07e+03 0.248 32.8 298 30.3 4.66e+03 0.836 68.3
10.645927244705275 29 5.7434688954419055 16.4596358116129 14.0 7.0 7.0 7.0 2.5 0.21 0.22 0.076 0.47 8.0 4.3 3.6 5.0 1.9 5.00 0.931 1.50 1.00 1.22 76.5 5.62 243 0.0213 15.6 45.2 7.33 149 1.67 12.2 113 26.1 1.66e+03 0.503 40.8 298 27.8 3.96e+03 3.35 63.0
11.645927244705275 34 5.92543041724634 17.691321097098637 17.0 7.0 7.0 7.0 2.9 0.21 0.26 0.078 0.51 9.0 4.7 4.5 4.0 2.1 5.00 0.824 1.48 0.00 1.22 76.5 8.34 330 0.0940 18.2 61.8 7.43 186 0.0570 13.6 155 28.5 2.25e+03 3.57 47.4 298 27.1 4.56e+03 0.0855 67.5
12.645927244705275 36 5.982565653821126 18.221171136392883 18.0 8.0 8.0 8.0 3.1 0.22 0.27 0.083 0.52 9.0 4.7 4.5 4.5 2.1 5.00 0.944 1.54 0.500 1.24 90.7 10.4 502 0.205 22.4 61.9 5.84 167 0.0442 12.9 160 34.5 2.64e+03 3.62 51.4 298 26.1 4.63e+03 0.199 68.0
13.645927244705275 38 6.318419166515913 19.082611874562634 19.0 9.0 9.0 9.0 3.2 0.22 0.29 0.075 0.54 9.0 4.6 4.7 4.0 2.2 5.00 0.921 1.64 0.00 1.28 112 13.9 769 0.280 27.7 61.9 6.75 170 0.187 13.0 169 43.0 3.45e+03 4.12 58.7 298 26.8 4.40e+03 0.486 66.4
14.645927244705275 40 6.644251642340618 19.710019229993712 19.0 9.0 9.0 9.0 3.4 0.22 0.31 0.078 0.55 9.0 4.6 4.9 4.5 2.2 5.00 0.925 1.61 0.00 1.27 125 16.8 1.04e+03 0.369 32.2 60.7 7.06 144 1.24 12.0 280 56.3 6.91e+03 5.21 83.1 298 26.6 3.92e+03 2.16 62.6
15.645927244705275 40 6.644251642340618 19.710019229993712 20.0 9.0 9.0 9.0 3.4 0.22 0.31 0.078 0.55 9.0 4.6 4.9 4.5 2.2 5.00 0.975 1.56 1.00 1.25 125 16.8 1.04e+03 0.369 32.2 61.1 5.84 133 0.917 11.5 338 70.8 1.23e+04 5.21 111 298 24.6 3.95e+03 2.08 62.8
16.645927244705277 41 6.83588479517224 19.989071241260035 20.0 9.0 9.0 9.0 3.5 0.22 0.31 0.080 0.56 9.0 4.6 4.8 4.0 2.2 5.00 0.951 1.60 0.00 1.26 125 18.0 1.08e+03 0.447 32.8 61.4 5.95 136 1.06 11.7 446 82.5 1.81e+04 6.29 135 298 24.5 3.94e+03 1.19 62.8
17.645927244705277 41 6.83588479517224 19.989071241260035 20.0 9.0 9.0 9.0 3.5 0.22 0.31 0.080 0.56 9.0 4.6 4.8 4.0 2.2 5.00 0.976 1.57 1.00 1.25 125 18.0 1.08e+03 0.447 32.8 62.0 6.01 148 0.971 12.2 487 95.1 2.52e+04 6.29 159 298 25.1 4.08e+03 1.08 63.9
18.645927244705277 42 6.7270547672098795 20.35705147530989 21.0 9.0 9.0 9.0 3.6 0.22 0.32 0.082 0.57 9.0 4.5 5.0 4.0 2.2 5.00 0.952 1.56 0.500 1.25 125 18.6 1.06e+03 0.576 32.6 62.0 6.07 147 0.807 12.1 578 105 3.22e+04 6.92 180 298 25.0 3.99e+03 0.880 63.2
19.645927244705277 42 6.7270547672098795 20.35705147530989 21.0 9.0 9.0 9.0 3.6 0.22 0.32 0.082 0.57 9.0 4.5 5.0 4.0 2.2 5.00 0.976 1.58 0.500 1.26 125 18.6 1.06e+03 0.576 32.6 62.1 5.89 151 0.863 12.3 670 112 3.80e+04 6.92 195 298 24.9 4.07e+03 0.882 63.8
20.645927244705277 42 6.7270547672098795 20.35705147530989 21.0 9.0 9.0 9.0 3.6 0.22 0.32 0.082 0.57 9.0 4.5 5.0 4.0 2.2 5.00 0.976 1.58 0.500 1.26 125 18.6 1.06e+03 0.576 32.6 62.1 6.30 150 1.03 12.3 739 117 4.27e+04 6.92 207 298 25.7 4.00e+03 1.11 63.3
21.645927244705277 42 6.7270547672098795 20.35705147530989 21.0 9.0 9.0 9.0 3.6 0.22 0.32 0.082 0.57 9.0 4.5 5.0 4.0 2.2 5.00 0.976 1.58 0.500 1.26 125 18.6 1.06e+03 0.576 32.6 62.1 6.06 144 0.856 12.0 739 118 4.34e+04 6.92 208 298 25.1 3.96e+03 1.02 62.9
22.645927244705277 42 6.7270547672098795 20.35705147530989 21.0 9.0 9.0 9.0 3.6 0.22 0.32 0.082 0.57 9.0 4.5 5.0 4.0 2.2 5.00 0.976 1.58 0.500 1.26 125 18.6 1.06e+03 0.576 32.6 62.1 6.04 144 0.857 12.0 739 120 4.52e+04 6.92 213 298 25.1 3.96e+03 1.02 62.9
