#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T10:11+0000 #
#####################################################################
#
# seed = 247.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.5729851323874322 2 11.82744267796543 11.706005058242955 1.0 1.0 1.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00268 0.00268 0.00 0.00268 0.00 NaN NaN NaN NaN NaN 0.00268 0.00268 0.00 0.00268 0.00 274 274 0.00 274 0.00
1.5729851323874322 3 9.551795249150354 11.113757842997096 2.0 2.0 2.0 0.24 0.17 0.0099 0.17 0.10 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.0493 0.0182 0.000725 0.00268 0.0269 0.00 0.00 0.00 0.00 0.00 0.0520 0.0511 2.40e-06 0.0520 0.00155 274 183 2.51e+04 274 158
2.572985132387432 6 8.854307719774177 10.333911542339392 4.0 4.0 4.0 0.48 0.18 0.031 0.12 0.18 3.0 2.0 0.80 2.0 0.89 2.00 0.667 1.07 0.00 1.03 0.0493 0.00944 0.000383 0.00210 0.0196 145 70.4 6.62e+03 68.5 81.4 0.0535 0.0264 0.000797 0.0254 0.0282 274 138 1.50e+04 141 123
3.572985132387432 9 10.801030335792895 12.022980071743273 5.0 5.0 5.0 0.72 0.19 0.054 0.086 0.23 3.0 2.0 1.0 2.0 1.0 3.00 0.556 1.03 0.00 1.01 3.29 0.433 1.17 0.00268 1.08 192 46.9 5.02e+03 2.72 70.9 3.29 0.448 1.16 0.0497 1.08 274 82.3 1.13e+04 5.45 106
4.572985132387432 13 11.504165400079453 13.882514617673902 6.0 6.0 6.0 1.0 0.20 0.084 0.072 0.29 4.0 2.5 1.6 2.0 1.3 3.00 0.615 0.923 0.00 0.961 51.8 4.54 202 0.0493 14.2 63.3 17.1 705 0.599 26.6 51.8 5.12 198 0.519 14.1 274 45.8 6.37e+03 1.17 79.8
5.572985132387432 17 11.388733435289366 15.087620374825526 6.0 6.0 6.0 1.4 0.21 0.11 0.071 0.34 5.0 3.3 1.6 3.0 1.3 4.00 0.765 1.44 0.00 1.20 51.8 6.83 284 0.0822 16.9 89.1 12.8 640 0.0149 25.3 55.0 10.6 406 1.59 20.1 274 37.4 5.88e+03 0.0805 76.7
6.572985132387432 24 12.160193413677126 16.605105124702398 6.0 6.0 6.0 1.9 0.22 0.17 0.073 0.41 7.0 4.1 2.3 4.0 1.5 5.00 0.708 1.43 0.00 1.20 210 17.9 2.19e+03 0.395 46.8 60.8 8.17 209 0.00743 14.5 210 27.4 2.54e+03 1.52 50.4 274 28.5 3.80e+03 0.0386 61.7
7.572985132387432 28 12.323846927969843 17.742890059670003 6.0 6.0 6.0 2.2 0.23 0.20 0.085 0.44 7.0 4.6 2.7 5.0 1.6 5.00 0.821 1.63 0.00 1.28 255 27.0 3.87e+03 0.830 62.2 71.1 8.46 271 0.553 16.5 262 50.3 6.49e+03 4.85 80.6 274 29.3 4.58e+03 0.830 67.7
8.572985132387432 31 12.215715316033334 18.517387462200404 6.0 6.0 6.0 2.5 0.23 0.22 0.094 0.47 8.0 5.1 3.4 5.0 1.9 5.00 0.871 1.65 0.00 1.28 289 36.8 5.70e+03 1.45 75.5 72.2 6.43 232 0.338 15.2 516 79.2 1.76e+04 12.4 133 274 26.3 4.29e+03 0.548 65.5
