#####################################################################
# Alchemist log file - simulation started at: 2025-03-03T13:32+0000 #
#####################################################################
#
# seed = 448.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.13112136591460244 2 11.474831983091626 7.981369121991338 1.0 1.0 1.0 1.0 0.17 0.17 0.0 0.17 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.000518 0.000518 0.00 0.000518 0.00 NaN NaN NaN NaN NaN 0.000518 0.000518 0.00 0.000518 0.00 298 298 0.00 298 0.00
1.1311213659146024 3 11.151755533142103 10.312369718898978 2.0 2.0 2.0 2.0 0.25 0.18 0.0097 0.18 0.098 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.000518 0.000347 8.76e-08 0.000518 0.000296 0.00 0.00 0.00 0.00 0.00 0.000524 0.000351 8.95e-08 0.000524 0.000299 298 199 2.96e+04 298 172
2.1311213659146024 6 11.509996685716155 11.378894750108627 3.0 4.0 4.0 4.0 0.50 0.19 0.035 0.15 0.19 3.0 2.0 0.80 2.0 0.89 2.00 0.667 1.07 0.00 1.03 1.51 0.259 0.376 0.000518 0.613 1.41e+04 3.56e+03 4.92e+07 74.5 7.01e+03 1.51 0.275 0.367 0.0457 0.606 1.41e+04 2.47e+03 3.24e+07 224 5.69e+03
3.1311213659146024 9 11.655659478180008 13.561506696272309 4.0 5.0 5.0 5.0 0.76 0.20 0.060 0.073 0.25 4.0 2.2 1.2 2.0 1.1 3.00 0.556 1.03 0.00 1.01 1.88 0.430 0.536 0.0409 0.732 201 50.0 5.74e+03 0.0121 75.8 1.88 0.775 0.689 0.383 0.830 298 88.6 1.35e+04 0.0242 116
4.131121365914602 11 11.927683928265914 14.953544885772107 5.0 6.0 6.0 6.0 0.92 0.21 0.078 0.082 0.28 4.0 2.2 1.4 2.0 1.2 3.00 0.727 1.02 0.00 1.01 9.58 1.23 8.10 0.0455 2.85 72.6 22.4 1.19e+03 2.02 34.4 9.58 1.76 7.95 0.424 2.82 298 67.5 1.12e+04 2.86 106
5.131121365914602 14 9.982559884838212 16.13109395980715 6.0 6.0 6.0 6.0 1.2 0.21 0.10 0.097 0.32 4.0 2.4 1.5 2.0 1.2 3.00 0.714 0.989 0.00 0.994 14.7 2.04 19.8 0.0800 4.44 65.2 17.2 548 6.38 23.4 14.7 3.41 26.6 0.404 5.15 298 53.4 7.77e+03 9.57 88.1
6.131121365914602 17 9.052396472068352 17.069950175068445 8.0 7.0 7.0 7.0 1.4 0.22 0.13 0.076 0.36 5.0 2.8 2.0 3.0 1.4 3.00 0.765 0.941 0.00 0.970 66.1 5.60 259 0.115 16.1 66.4 14.0 412 5.49 20.3 66.1 8.76 275 0.584 16.6 298 47.6 7.21e+03 7.60 84.9
7.131121365914602 20 8.275024637792669 18.781396967748073 10.0 8.0 8.0 8.0 1.7 0.22 0.16 0.067 0.40 5.0 2.9 2.0 3.0 1.4 3.00 0.800 1.12 0.00 1.06 135 12.4 1.06e+03 0.291 32.6 71.1 11.7 400 2.56 20.0 135 19.2 1.26e+03 0.911 35.4 298 42.8 6.83e+03 3.07 82.6
8.131121365914602 24 7.9838399993594225 20.96511814826552 13.0 9.0 9.0 9.0 2.0 0.22 0.19 0.061 0.44 5.0 3.1 2.1 3.0 1.4 3.00 0.792 1.13 0.00 1.06 135 22.1 1.73e+03 0.872 41.6 71.0 9.72 312 2.59 17.7 201 38.2 3.18e+03 1.62 56.4 298 36.7 5.81e+03 3.45 76.2
9.131121365914602 26 7.74894724022628 21.79403179728936 14.0 9.0 9.0 9.0 2.2 0.23 0.21 0.057 0.46 6.0 3.3 2.4 3.0 1.5 3.00 0.885 1.39 0.00 1.18 135 26.0 2.07e+03 1.20 45.5 72.8 8.94 304 1.07 17.4 320 60.2 8.06e+03 7.18 89.8 298 34.4 5.57e+03 2.63 74.6
10.131121365914602 26 7.74894724022628 21.79403179728936 14.0 9.0 9.0 9.0 2.2 0.23 0.21 0.057 0.46 6.0 3.3 2.4 3.0 1.5 3.00 0.962 1.48 0.00 1.22 135 26.0 2.07e+03 1.20 45.5 71.4 8.91 275 2.34 16.6 436 88.2 1.54e+04 7.18 124 298 35.6 5.45e+03 4.97 73.8
11.131121365914602 29 7.607597950947547 22.588626889172783 17.0 9.0 9.0 9.0 2.4 0.23 0.24 0.064 0.49 8.0 3.7 3.6 3.0 1.9 4.00 0.862 1.48 0.00 1.22 135 26.8 1.89e+03 1.51 43.4 73.7 7.99 274 0.566 16.6 555 104 2.44e+04 16.7 156 298 31.9 5.15e+03 0.994 71.7
12.131121365914602 30 7.842165843611222 22.969177312150098 17.0 9.0 9.0 9.0 2.5 0.23 0.25 0.066 0.50 8.0 3.7 3.5 3.0 1.9 4.00 0.933 1.79 0.00 1.34 135 28.9 1.95e+03 1.69 44.1 74.0 7.51 267 0.405 16.3 683 128 3.78e+04 16.9 194 298 31.1 5.03e+03 1.08 70.9
13.131121365914602 30 7.842165843611222 22.969177312150098 16.0 9.0 9.0 9.0 2.5 0.23 0.25 0.066 0.50 8.0 3.7 3.5 3.0 1.9 5.00 1.00 1.86 0.00 1.36 135 28.9 1.95e+03 1.69 44.1 74.2 5.29 247 0.0901 15.7 704 162 5.49e+04 21.8 234 298 28.0 5.23e+03 0.0933 72.3
14.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.906 1.44 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 6.84 262 0.143 16.2 899 185 8.75e+04 16.3 296 298 27.6 4.80e+03 0.267 69.2
15.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 6.31 222 1.29 14.9 1.43e+03 197 1.32e+05 17.4 363 298 27.1 4.67e+03 1.34 68.3
16.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 6.34 238 0.994 15.4 1.44e+03 213 1.64e+05 17.4 405 298 27.7 4.82e+03 1.54 69.5
17.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.5 7.21 240 1.05 15.5 882 179 9.53e+04 17.4 309 298 29.7 4.84e+03 1.60 69.6
18.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.23 239 1.15 15.5 886 179 9.56e+04 17.4 309 298 29.7 4.83e+03 1.67 69.5
19.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
20.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
21.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
22.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
23.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
24.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
25.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
26.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
27.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
28.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
29.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
30.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
31.131121365914602 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
32.1311213659146 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
33.1311213659146 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
34.1311213659146 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
35.1311213659146 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
36.1311213659146 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
37.1311213659146 32 7.761058409058486 23.420342714721375 17.0 9.0 9.0 9.0 2.7 0.23 0.27 0.059 0.52 8.0 3.6 3.5 3.0 1.9 3.00 0.969 1.45 0.00 1.20 135 27.7 1.85e+03 3.60 43.0 74.4 7.21 239 1.15 15.5 887 179 9.60e+04 17.4 310 298 29.7 4.83e+03 1.66 69.5
