#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T10:11+0000 #
#####################################################################
#
# seed = 308.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.025178062604258145 2 11.213880313594343 7.81448070604076 1.0 1.0 1.0 0.19 0.19 0.0 0.19 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.00268 0.00268 0.00 0.00268 0.00 NaN NaN NaN NaN NaN 0.00268 0.00268 0.00 0.00268 0.00 274 274 0.00 274 0.00
1.0251780626042581 3 10.710712182343352 10.20673813379498 2.0 2.0 2.0 0.28 0.20 0.014 0.20 0.12 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00268 0.00179 2.36e-06 0.00268 0.00154 0.00 0.00 0.00 0.00 0.00 0.00270 0.00181 2.40e-06 0.00270 0.00155 274 183 2.51e+04 274 158
2.025178062604258 6 10.214707325956683 9.528037119711565 4.0 4.0 4.0 0.57 0.22 0.043 0.15 0.21 3.0 1.7 0.67 1.5 0.82 2.00 0.667 1.07 0.00 1.03 1.44 0.280 0.330 0.00268 0.575 1.80e+04 4.54e+03 8.08e+07 68.5 8.99e+03 1.44 0.360 0.292 0.241 0.541 1.80e+04 3.12e+03 5.33e+07 206 7.30e+03
3.025178062604258 9 9.132183771717033 11.427574301771255 5.0 5.0 5.0 0.85 0.22 0.076 0.098 0.28 3.0 1.8 0.69 2.0 0.83 3.00 0.556 1.03 0.00 1.01 26.5 3.28 76.3 0.00268 8.74 185 46.0 4.85e+03 0.00785 69.7 26.5 3.62 74.3 1.29 8.62 274 81.5 1.14e+04 0.0157 107
4.025178062604258 13 10.310908737427408 14.759265550307223 6.0 6.0 6.0 1.2 0.22 0.12 0.081 0.35 4.0 2.2 1.3 2.0 1.1 3.00 0.615 0.923 0.00 0.961 106 12.5 858 1.29 29.3 68.5 17.1 726 0.00333 26.9 106 15.0 850 2.96 29.2 274 50.2 7.95e+03 0.00538 89.2
5.025178062604258 17 10.77991026374346 16.71963817587416 7.0 7.0 7.0 1.6 0.23 0.16 0.064 0.40 5.0 2.6 2.0 2.0 1.4 3.00 0.706 1.10 0.00 1.05 171 27.9 2.78e+03 1.44 52.7 51.4 12.9 366 1.46 19.1 171 41.0 3.10e+03 21.7 55.7 274 44.8 6.75e+03 2.92 82.2
6.025178062604258 24 10.190440170051435 19.166330207089942 8.0 8.0 8.0 2.3 0.24 0.24 0.055 0.49 6.0 3.3 2.0 3.0 1.4 4.00 0.708 1.43 0.00 1.20 448 53.3 1.04e+04 3.10 102 51.4 8.94 172 0.000273 13.1 448 81.9 1.33e+04 28.4 115 274 32.6 4.68e+03 0.342 68.4
7.025178062604258 27 9.4219959300779 19.821337347812886 8.0 8.0 8.0 2.5 0.24 0.27 0.061 0.52 7.0 3.5 2.5 3.0 1.6 4.00 0.889 1.41 0.00 1.19 448 54.1 9.59e+03 4.67 97.9 54.8 3.59 117 1.98e-05 10.8 574 152 3.37e+04 43.2 183 274 21.1 4.34e+03 3.95e-05 65.9
8.025178062604258 31 9.538955328502734 19.71738137251104 8.0 8.0 8.0 2.9 0.25 0.32 0.065 0.56 8.0 3.9 3.0 4.0 1.7 4.00 0.839 1.41 0.00 1.19 448 54.4 9.36e+03 4.67 96.8 69.6 4.99 181 0.0112 13.5 863 175 5.59e+04 77.6 237 274 19.7 3.07e+03 0.0169 55.4
