#####################################################################
# Alchemist log file - simulation started at: 2025-03-03T13:32+0000 #
#####################################################################
#
# seed = 230.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord number-of-leaves network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
0.0 1 10.0 10.0 1.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.3702579059120945 2 11.903788667960946 11.620366843570764 1.0 1.0 1.0 1.0 0.16 0.16 0.0 0.16 0.0 1.0 1.0 0.0 1.0 0.0 0.00 0.00 0.00 0.00 0.00 0.000518 0.000518 0.00 0.000518 0.00 NaN NaN NaN NaN NaN 0.000518 0.000518 0.00 0.000518 0.00 298 298 0.00 298 0.00
1.3702579059120945 3 10.010705155720878 12.172941922003568 2.0 2.0 2.0 2.0 0.24 0.18 0.0075 0.18 0.087 2.0 1.3 0.33 1.0 0.58 1.00 0.667 0.333 1.00 0.577 0.00803 0.00302 1.88e-05 0.000518 0.00434 0.00 0.00 0.00 0.00 0.00 0.00855 0.00838 8.95e-08 0.00855 0.000299 298 199 2.96e+04 298 172
2.3702579059120943 6 9.146993023369003 11.74611884206722 3.0 3.0 3.0 3.0 0.49 0.20 0.031 0.13 0.18 3.0 2.0 0.80 2.0 0.89 2.00 0.667 1.07 0.00 1.03 0.101 0.0199 0.00160 0.00427 0.0401 159 76.9 7.91e+03 74.5 88.9 0.101 0.0253 0.00142 0.0126 0.0377 298 151 1.78e+04 154 133
3.3702579059120943 11 9.387767212518964 12.56944342961911 5.0 5.0 5.0 5.0 0.89 0.21 0.073 0.079 0.27 4.0 2.2 1.2 2.0 1.1 3.00 0.455 0.873 0.00 0.934 1.56 0.156 0.219 0.00459 0.468 205 40.4 3.96e+03 24.4 62.9 1.56 0.176 0.214 0.00883 0.462 298 72.9 9.73e+03 48.8 98.6
4.370257905912094 15 9.78676290901928 13.422653200697425 7.0 5.0 5.0 5.0 1.2 0.22 0.11 0.083 0.33 5.0 2.7 1.5 3.0 1.2 3.00 0.667 0.952 0.00 0.976 1.56 0.202 0.198 0.00459 0.445 69.0 16.0 775 0.0776 27.8 1.66 0.326 0.327 0.0349 0.572 298 49.1 8.41e+03 0.155 91.7
5.370257905912094 19 9.513469055066485 15.198588553737451 8.0 7.0 7.0 7.0 1.5 0.22 0.14 0.070 0.38 6.0 2.9 2.2 3.0 1.5 4.00 0.789 1.40 0.00 1.18 5.28 0.706 2.28 0.00834 1.51 40.4 12.4 292 0.333 17.1 5.28 1.04 2.35 0.457 1.53 298 43.5 5.99e+03 0.333 77.4
6.370257905912094 19 9.513469055066485 15.198588553737451 8.0 7.0 7.0 7.0 1.5 0.22 0.14 0.070 0.38 6.0 2.9 2.2 3.0 1.5 4.00 1.00 1.22 1.00 1.11 5.28 0.706 2.28 0.00834 1.51 58.1 3.60 185 0.00234 13.6 6.13 1.99 4.83 0.752 2.20 298 28.6 7.07e+03 0.00469 84.1
7.370257905912094 22 10.401317450208587 14.98106245132579 10.0 7.0 7.0 7.0 1.8 0.23 0.17 0.068 0.41 6.0 3.2 2.3 3.0 1.5 4.00 0.818 1.20 0.500 1.10 5.28 0.623 2.00 0.00818 1.42 69.2 8.07 333 0.0292 18.3 7.69 2.07 6.40 0.402 2.53 298 27.9 4.76e+03 0.0868 69.0
8.370257905912094 25 9.704744894829872 15.079714873999382 12.0 7.0 7.0 7.0 2.0 0.23 0.19 0.073 0.44 6.0 3.3 2.5 3.0 1.6 5.00 0.880 1.61 0.00 1.27 18.6 1.29 14.8 0.00803 3.84 64.5 7.45 250 0.140 15.8 18.6 3.54 23.3 0.506 4.83 298 28.4 4.84e+03 0.280 69.6
9.370257905912094 30 8.91239110902183 16.710058576371466 14.0 8.0 8.0 8.0 2.4 0.24 0.23 0.088 0.48 7.0 3.6 3.3 3.0 1.8 5.00 0.800 1.48 0.00 1.21 53.1 3.99 115 0.0375 10.7 50.2 9.56 230 0.00467 15.2 53.1 6.27 118 2.32 10.9 298 30.7 4.14e+03 0.530 64.3
10.370257905912094 39 8.934536929924379 18.353223838794868 20.0 9.0 9.0 9.0 3.2 0.25 0.31 0.079 0.56 9.0 4.3 3.9 4.0 2.0 5.00 0.744 1.30 0.00 1.14 53.1 5.53 156 0.297 12.5 43.7 8.44 146 0.0509 12.1 71.7 11.0 287 2.71 16.9 298 27.2 3.04e+03 0.102 55.1
11.370257905912094 42 9.725358354643165 18.650157522004758 24.0 9.0 9.0 9.0 3.4 0.25 0.34 0.077 0.58 9.0 4.5 4.1 4.0 2.0 5.00 0.905 1.50 0.00 1.23 53.1 5.30 146 0.306 12.1 53.2 3.89 79.6 0.0699 8.92 124 15.3 754 2.89 27.5 298 17.4 2.67e+03 0.189 51.7
12.370257905912094 43 9.876907971672905 18.95231049971416 23.0 9.0 9.0 9.0 3.5 0.26 0.35 0.079 0.59 9.0 4.5 4.2 4.0 2.1 5.00 0.977 1.83 0.00 1.35 53.1 6.37 191 0.315 13.8 57.9 5.59 117 1.06 10.8 147 26.1 1.76e+03 5.14 42.0 298 22.0 2.96e+03 1.45 54.4
13.370257905912094 43 9.876907971672905 18.95231049971416 23.0 9.0 9.0 9.0 3.5 0.26 0.35 0.079 0.59 9.0 4.5 4.2 4.0 2.1 5.00 0.977 1.69 0.00 1.30 53.1 6.37 191 0.315 13.8 72.7 4.69 147 0.800 12.1 329 39.3 6.27e+03 6.30 79.2 298 20.0 3.30e+03 0.820 57.5
14.370257905912094 44 9.960018007439873 19.04935056230762 23.0 9.0 9.0 9.0 3.6 0.26 0.36 0.081 0.60 10 4.7 5.3 4.5 2.3 5.00 0.955 1.67 0.00 1.29 53.1 6.37 187 0.347 13.7 73.9 5.16 167 0.330 12.9 214 32.1 2.85e+03 6.53 53.4 298 20.9 3.46e+03 0.668 58.8
15.370257905912094 46 9.89235904961903 19.346181164498518 25.0 9.0 9.0 9.0 3.7 0.26 0.37 0.084 0.61 11 4.9 6.5 5.0 2.5 5.00 0.957 1.64 0.00 1.28 125 8.82 485 0.419 22.0 68.9 5.46 148 0.263 12.2 223 37.2 3.58e+03 10.4 59.9 298 21.1 3.21e+03 0.299 56.6
16.370257905912094 47 9.777535448542823 19.370994978702054 25.0 9.0 9.0 9.0 3.8 0.26 0.38 0.086 0.62 11 5.0 6.8 5.0 2.6 5.00 0.957 1.69 0.00 1.30 125 8.66 476 0.457 21.8 66.3 5.43 118 2.68 10.9 377 46.9 8.42e+03 6.30 91.8 298 21.0 2.98e+03 3.06 54.6
17.370257905912094 47 9.777535448542823 19.370994978702054 24.0 9.0 9.0 9.0 3.8 0.26 0.38 0.086 0.62 11 5.0 6.8 5.0 2.6 5.00 0.979 1.76 0.00 1.33 125 8.66 476 0.457 21.8 73.1 4.61 166 0.240 12.9 282 46.1 6.12e+03 11.6 78.2 298 19.0 3.23e+03 0.258 56.8
18.370257905912094 49 10.021723629223413 19.79747967375675 25.0 9.0 9.0 9.0 4.0 0.26 0.40 0.088 0.63 11 5.1 6.5 5.0 2.6 5.00 0.939 1.68 0.00 1.30 125 10.5 616 0.506 24.8 69.8 5.15 149 0.249 12.2 407 54.1 1.01e+04 11.6 100 298 19.8 3.05e+03 0.327 55.3
19.370257905912094 50 9.885828158000665 19.976246253243836 26.0 8.0 8.0 8.0 4.1 0.26 0.41 0.088 0.64 11 5.2 6.2 5.0 2.5 5.00 0.960 1.67 0.00 1.29 125 10.8 608 0.530 24.7 73.8 4.94 146 1.43 12.1 407 55.6 1.02e+04 11.7 101 298 19.2 3.03e+03 1.67 55.1
20.370257905912094 51 9.770364312212736 20.192025099061148 25.0 8.0 8.0 8.0 4.1 0.26 0.42 0.090 0.65 11 5.2 5.9 5.0 2.4 5.00 0.961 1.68 0.00 1.30 125 11.6 624 0.553 25.0 73.6 4.87 146 1.43 12.1 407 60.0 1.09e+04 12.7 104 298 19.1 3.02e+03 1.48 55.0
21.370257905912094 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.962 1.61 0.500 1.27 125 13.6 832 0.599 28.8 73.6 4.83 141 1.45 11.9 504 69.1 1.51e+04 13.6 123 298 18.8 2.95e+03 1.74 54.4
22.370257905912094 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 75.4 4.82 143 1.20 12.0 551 74.6 1.80e+04 13.6 134 298 18.8 2.99e+03 2.57 54.7
23.370257905912094 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 76.0 4.82 147 1.10 12.1 540 79.1 2.00e+04 13.6 141 298 18.8 3.03e+03 2.17 55.0
24.370257905912094 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 75.9 4.85 151 1.12 12.3 638 87.4 2.61e+04 13.6 162 298 18.9 3.05e+03 2.21 55.2
25.370257905912094 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 76.9 4.82 152 0.950 12.3 708 91.4 3.06e+04 13.6 175 298 18.9 3.07e+03 1.87 55.4
26.370257905912094 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.83 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 18.9 3.10e+03 1.81 55.6
27.370257905912094 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.86 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.82 55.7
28.370257905912094 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
29.370257905912094 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
30.370257905912094 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
31.370257905912094 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
32.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
33.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
34.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
35.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
36.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
37.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
38.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
39.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
40.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
41.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
42.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
43.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
44.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
45.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
46.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
47.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
48.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
49.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
50.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
51.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
52.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
53.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
54.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
55.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
56.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
57.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
58.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
59.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
60.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
61.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
62.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
63.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
64.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
65.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
66.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
67.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
68.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
69.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
70.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
71.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
72.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
73.3702579059121 52 9.825626231668025 20.495748588705574 26.0 8.0 8.0 8.0 4.2 0.27 0.42 0.092 0.65 11 5.2 5.8 5.0 2.4 5.00 0.981 1.63 0.500 1.28 125 13.6 832 0.599 28.8 77.5 4.87 156 0.857 12.5 708 91.4 3.06e+04 13.6 175 298 19.0 3.10e+03 1.83 55.7
