#####################################################################
# Alchemist log file - simulation started at: 2025-02-24T10:11+0000 #
#####################################################################
#
# seed = 239.0
#
# The columns have the following meaning: 
# time nodes network-hub-xCoord network-hub-yCoord network-diameter[max] network-diameter[mean] network-diameter[median] network-density[max] network-density[mean] network-density[variance] network-density[median] network-density[StandardDeviation] nodes-degree[max] nodes-degree[mean] nodes-degree[variance] nodes-degree[median] nodes-degree[StandardDeviation] children-count[max] children-count[mean] children-count[variance] children-count[median] children-count[StandardDeviation] local-success[max] local-success[mean] local-success[variance] local-success[median] local-success[StandardDeviation] resource[max] resource[mean] resource[variance] resource[median] resource[StandardDeviation] success[max] success[mean] success[variance] success[median] success[StandardDeviation] local-resource[max] local-resource[mean] local-resource[variance] local-resource[median] local-resource[StandardDeviation] 
15.160360391668776 39 9.026354345815355 22.350157113484453 9.0 9.0 9.0 3.4 0.23 0.33 0.079 0.57 7.0 3.4 3.2 3.0 1.8 4.00 0.974 1.39 1.00 1.18 642 107 2.98e+04 24.6 173 54.7 5.40 134 1.26 11.6 3.69e+03 593 1.03e+06 70.5 1.01e+03 274 23.1 3.52e+03 1.76 59.3
16.160360391668775 39 9.026354345815355 22.350157113484453 9.0 9.0 9.0 3.4 0.23 0.33 0.079 0.57 7.0 3.4 3.2 3.0 1.8 4.00 0.974 1.39 1.00 1.18 642 107 2.98e+04 24.6 173 54.7 5.40 133 1.34 11.5 3.70e+03 635 1.23e+06 70.5 1.11e+03 274 23.1 3.52e+03 1.90 59.3
17.160360391668775 40 9.184101944823189 22.614915331275704 9.0 9.0 9.0 3.5 0.23 0.34 0.081 0.58 7.0 3.6 3.3 4.0 1.8 4.00 0.950 1.38 0.500 1.18 642 114 3.09e+04 26.8 176 54.7 5.29 132 0.758 11.5 3.67e+03 637 1.23e+06 81.8 1.11e+03 274 22.5 3.45e+03 1.46 58.7
18.160360391668775 40 9.184101944823189 22.614915331275704 9.0 9.0 9.0 3.5 0.23 0.34 0.081 0.58 7.0 3.6 3.3 4.0 1.8 4.00 1.00 1.49 0.500 1.22 642 114 3.09e+04 26.8 176 54.7 5.16 135 0.668 11.6 4.17e+03 674 1.37e+06 81.8 1.17e+03 274 22.4 3.46e+03 1.10 58.8
19.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.951 1.45 0.00 1.20 642 120 3.18e+04 28.9 178 54.7 5.14 131 0.876 11.5 4.18e+03 700 1.53e+06 93.1 1.24e+03 274 22.0 3.38e+03 1.12 58.2
20.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.10 129 1.51 11.4 4.18e+03 719 1.59e+06 93.1 1.26e+03 274 22.0 3.38e+03 1.62 58.1
21.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.16 131 1.39 11.4 4.54e+03 737 1.71e+06 93.1 1.31e+03 274 22.0 3.39e+03 1.49 58.2
22.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.12 132 1.42 11.5 4.91e+03 765 1.90e+06 93.1 1.38e+03 274 22.0 3.39e+03 1.46 58.2
23.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.17 131 1.39 11.5 4.92e+03 783 2.03e+06 93.1 1.43e+03 274 22.0 3.39e+03 1.49 58.2
24.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.92e+03 774 1.96e+06 93.1 1.40e+03 274 22.0 3.39e+03 1.37 58.3
25.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
26.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
27.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
28.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
29.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
30.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
31.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
32.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
33.160360391668775 41 9.175942383496395 23.051703338081637 9.0 9.0 9.0 3.6 0.24 0.34 0.083 0.59 7.0 3.6 3.1 4.0 1.8 4.00 0.976 1.47 0.00 1.21 642 120 3.18e+04 28.9 178 54.7 5.14 132 1.35 11.5 4.93e+03 793 2.11e+06 93.1 1.45e+03 274 22.0 3.39e+03 1.37 58.3
